appleL0587年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1998"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 87 年,,,,單位：元,1 9 9 8 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,6273056,603808,687559,452628,3152979,62786,1029268,284028,No. of households
平均每戶人數,3.77,1,2,2.84,4.18,3.22,5.94,3.22,No. of persons per household
平均每戶成年人數,2.59,1,2,2.08,2.61,1.99,4,2.94,No. of adults per household
平均每戶就業人數,1.64,0.49,0.92,1.43,1.85,0.81,2.29,1.74,No. of persons employed per household
平均每戶所得收入者人數,1.68,1,1.22,1.56,1.77,1.17,2.16,1.85,No. of income recipients per household
一、所得收入總計,1070268,432068,760654,832911,1210130,645459,1352698,1072572,A.Total receipts
1.受僱人員報酬,622207,186738,341641,509274,742417,216746,764486,646699,1.Compensation of employees
(1)本業薪資,483999,137780,225237,410119,582278,145412,603380,515405,(1)Full time payroll
(2)兼業薪資,28495,22045,62309,18782,23453,45657,28950,26366,(2)Part time payroll
(3)其他收入,109713,26913,54096,80374,136687,25678,132156,104928,(3)Other receipts or subsidies
2.產業主所得,179353,53293,98273,89529,217401,64873,253401,121369,2.Entrepreneurial income
3.財產所得收入,67698,35169,78539,53003,70405,63558,74964,78577,3. Property income
4.自用住宅設算租金收入,67018,34632,58902,53523,73989,51193,76712,68001,4.Imputed rent income
5.經常移轉收入,133756,122062,183104,127347,105693,248842,182797,157733,5.Current transfer receipts
(1)從私人,40101,57539,79682,47856,23124,146687,41078,56211,(1)From individuals
(2)從政府,30303,36030,38980,30214,22408,39749,43623,34541,(2)From government
(3)社會保險受益,61453,26636,63184,47923,58705,58672,94955,62547,(3)Benefit of social insurance
(4)從企業,1171,756,358,466,1293,45,2137,545,(4)From enterprises
(5)從國外,728,1100,900,888,162,3689,1004,3890,(5)From abroad
