appleL0494年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2005",,94年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 94 年,,,單位：元,2 0 0 5 Unit:NT$,,,,,民 國 94 年,,單位：元,2 0 0 5 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
家庭戶數,7206883,473199,415275,1082237,382919,1021611,No. of households,,家庭戶數,443093,847836,991806,327799,1221108,No. of households
平均每戶人數,3.42,3.81,3.47,3.71,3.37,3.6,No. of persons per household,,平均每戶人數,3.12,4.1100000000000003,4.0199999999999996,3.45,2.0099999999999998,No. of persons per household
平均每戶成年人數,2.57,2.71,2.57,2.69,2.64,2.68,No. of adults per household,,平均每戶成年人數,2.56,2.87,2.88,2.62,1.8,No. of adults per household
平均每戶就業人數,1.51,1.89,1.67,1.75,1.62,1.88,No. of persons employed per household,,平均每戶就業人數,1.79,1.86,1.85,1.71,0.07,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.85,1.75,1.81,1.75,1.61,No. of income recipients per household,,平均每戶所得收入者人數,1.45,1.83,1.84,1.75,1.08,No. of income recipients per household
一、所得收入總計,1082168,1956266,1744213,1423921,1151110,1050449,A.Total receipts,,一、所得收入總計,668750,1010009,1010422,809125,552005,A.Total receipts
1.受僱人員報酬,628527,1189548,1286650,1051541,828171,396132,1.Compensation of employees,,1.受僱人員報酬,181116,602100,635503,513324,150177,1.Compensation of employees
(1)本業薪資,474690,907325,958529,780126,603595,309903,(1)Full time payroll,,(1)本業薪資,145523,521568,512247,426130,38661,(1)Full time payroll
(2)兼業薪資,38729,37262,57399,47390,56959,16218,(2)Part time payroll,,(2)兼業薪資,16213,13438,15026,22241,87798,(2)Part time payroll
(3)其他收入,115107,244962,270723,224025,167617,70012,(3)Other receipts or subsidies,,(3)其他收入,19380,67094,108230,64952,23718,(3)Other receipts or subsidies
2.產業主所得,163882,408907,122681,78158,42961,407358,2.Entrepreneurial income,,2.產業主所得,225223,179686,144384,68006,1483,2.Entrepreneurial income
3.財產所得收入,46789,108566,73656,54473,49242,29351,3. Property income,,3.財產所得收入,20013,17472,17969,15328,82647,3. Property income
4.自用住宅設算租金收入,63480,99306,90900,76451,67620,61830,4.Imputed rent income,,4.自用住宅設算租金收入,38958,57526,55487,46266,53006,4.Imputed rent income
5.經常移轉收入,179313,149775,170182,163174,162972,155594,5.Current transfer receipts,,5.經常移轉收入,203174,153054,156967,165928,264450,5.Current transfer receipts
(1)從私人,50542,29881,41203,33580,43727,36301,(1)From individuals,,(1)從私人,57023,27964,29611,39866,124002,(1)From individuals
(2)從政府,39030,20594,21003,26462,25798,35260,(2)From government,,(2)從政府,69695,37546,33447,45188,63529,(2)From government
(3)社會保險受益,86911,97255,104992,99855,90304,81275,(3)Benefit of social insurance,,(3)社會保險受益,75169,86150,92213,79898,71298,(3)Benefit of social insurance
(4)從企業,1564,1797,1916,3003,784,1950,(4)From enterprises,,(4)從企業,412,1159,959,731,1417,(4)From enterprises
(5)從國外,1265,247,1068,274,2360,808,(5)From abroad,,(5)從國外,875,235,737,246,4204,(5)From abroad
6.雜項收入,177,163,143,125,144,184,6.Miscellaneous receipts,,6.雜項收入,267,171,113,273,242,6.Miscellaneous receipts
二、非消費支出,187594,410429,347747,266927,202527,166049,B.Nonconsumption expenditures,,二、非消費支出,98381,166127,171024,116012,69758,B.Nonconsumption expenditures
1.利息支出,20469,45771,34488,30560,22500,21230,1.Interest,,1.利息支出,5424,19911,18653,11970,5283,1.Interest
2.經常移轉支出,167125,364659,313259,236367,180027,144819,2.Current transfer expenditures,,2.經常移轉支出,92956,146216,152371,104043,64475,2.Current transfer expenditures
(1)對私人,52794,116587,100334,70996,55668,49828,(1)To private,,(1)對私人,33433,43194,41735,28161,26642,(1)To private
(2)對政府,35835,100321,78618,56697,37180,27112,(2)To government,,(2)對政府,14131,26828,27610,16991,10549,(2)To government
(3)社會保險,75224,131490,122324,105646,83982,66404,(3)Social insurance,,(3)社會保險,44241,74845,82308,57983,25454,(3)Social insurance
(4)對國外,3271,16261,11983,3028,3197,1475,(4)To abroad,,(4)對國外,1151,1349,718,908,1830,(4)To abroad
,,,,,,,,,,,,,,,
94年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2005",,94年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 94 年,,,單位：元,2 0 0 5 Unit:NT$,,,,,民 國 94 年,,單位：元,2 0 0 5 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,701076,1107230,972329,872257,740060,692015,C.Consumption expenditures,,三、消費支出,458808,695839,690998,552948,434576,C.Consumption expenditures
1.食品費,153072,204170,181449,177427,158496,158427,1.Food,,1.食品費,113591,172110,169702,140821,86742,1.Food
2.飲料費,6461,9918,6906,7289,5916,6888,2.Beverage,,2.飲料費,6004,7642,7075,5663,3115,2.Beverage
3.菸草,6091,6184,3273,5639,4666,6838,3.Tobacco,,3.菸草,7321,9572,8405,6849,2292,3.Tobacco
4.衣著、鞋、襪類,23863,44421,35630,31684,26386,23683,4.Clothing and footwear,,4.衣著、鞋、襪類,13051,23339,24271,17454,10001,4.Clothing and footwear
5.房地租及水費,144110,221032,200055,171151,157012,146313,5.Rent and water charges,,5.房地租及水費,82600,130428,126506,112948,119905,5.Rent and water charges
6.燃料及燈光,19455,24399,21607,21418,19932,20348,6.Fuel and light,,6.燃料及燈光,15858,21223,20917,18030,13446,6.Fuel and light
7.家具及家庭設備,12233,25294,24473,16746,14622,10490,7.Furniture and family facilities,,7.家具及家庭設備,6660,9967,9750,7599,6573,7.Furniture and family facilities
8.家事管理,13109,25958,28542,19941,13358,10492,8.Household operations,,8.家事管理,4008,8641,9508,6829,9955,8.Household operations
9.保健及醫療,93982,114147,104728,101849,88941,88585,9.Health care and medical,,9.保健及醫療,86191,89688,93896,87205,89338,9.Health care and medical
10.運輸交通及通訊,88037,154907,136487,125319,95421,84380,10.Transport and communications,,10.運輸交通及通訊,52621,90644,89700,60005,30565,10.Transport and communications
(1)交通及通訊工具之購置,12642,23845,25579,22014,15796,10962,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,5807,10740,11762,5730,2384,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,40319,71605,62444,57349,40414,38476,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,26154,43644,42446,26556,11891,(2)Operation of transport equipment
(3)乘交通設備之費用,8112,14241,11313,10125,10295,7293,(3)Purchased transportation,,(3)乘交通設備之費用,4917,7507,7167,6667,5598,(3)Purchased transportation
(4)其他通訊費,22041,36183,29567,29007,23999,22717,(4)Other communications,,(4)其他通訊費,12418,23675,23230,18018,9122,(4)Other communications
(5)汽機車保險費支出,4922,9034,7585,6824,4916,4931,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3326,5078,5096,3035,1570,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,91059,181163,151723,126378,98378,88036,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,40427,87318,87221,56118,37912,"11.Recreation ,education and culture"
(1)旅遊費用,20951,52487,45591,31341,24179,15394,(1)Traveling,,(1)旅遊費用,9290,13552,12832,8807,14001,(1)Traveling
(2)娛樂消遣服務,9433,15162,13211,11586,10264,9560,(2)Recreation service,,(2)娛樂消遣服務,5246,9034,9255,7305,6164,(2)Recreation service
(3)書報雜誌文具,4419,8456,8624,6039,4983,4185,(3)Books and stationery,,(3)書報雜誌文具,1893,3867,3885,2429,2273,(3)Books and stationery
(4)娛樂器材及附屬品,8485,17900,17708,12914,9527,7161,(4)Recreation facilities,,(4)娛樂器材及附屬品,3761,6865,6959,4686,3655,(4)Recreation facilities
(5)教育與研究費,47772,87158,66589,64498,49424,51737,(5)Education and research,,(5)教育與研究費,20238,54001,54291,32890,11818,(5)Education and research
12.什項消費,49602,95637,77456,67417,56932,47536,12.Miscellaneous,,12.什項消費,30476,45267,44048,33426,24733,12.Miscellaneous
可支配所得,894574,1545836,1396466,1156994,948583,884400,Disposable income,,可支配所得,570369,843882,839397,693112,482248,Disposable income
消費支出,701076,1107230,972329,872257,740060,692015,Consumption expenditures,,消費支出,458808,695839,690998,552948,434576,Consumption expenditures
儲蓄,193497,438606,424137,284737,208523,192385,Saving,,儲蓄,111561,148043,148399,140164,47672,Saving
所得總額,1133642,2037136,1819041,1485668,1207313,1099442,Current receipts,,所得總額,699299,1056424,1053850,846900,596955,Current receipts
