appleL0287年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1998",,87年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1998",,87年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1998"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 87 年,,,,單位：元,1 9 9 8 Unit:NT$,,,,,民 國 87 年,,,,單位：元,1 9 9 8 Unit:NT$,,,,,,民 國 87 年,,,,,單位：元,1 9 9 8 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,6273056,864480,463751,1046108,125727,456872,106788,No. of households,,家庭戶數,138171,374654,303982,143025,193110,148732,310252,359502,No. of households,,家庭戶數,240310,70750,101798,26439,120278,102920,281490,76999,216918,No. of households
平均每戶人數,3.77,3.61,3.77,3.85,4.0199999999999996,3.98,4.18,No. of persons per household,,平均每戶人數,4.1900000000000004,3.88,4.24,3.86,3.38,3.3,3.62,3.57,No. of persons per household,,平均每戶人數,3.78,3.27,3.37,3.09,3.66,3.75,3.84,3.5,3.81,No. of persons per household
平均每戶成年人數,2.59,2.59,2.59,2.61,2.66,2.57,2.69,No. of adults per household,,平均每戶成年人數,2.81,2.5499999999999998,2.86,2.67,2.44,2.41,2.5499999999999998,2.5099999999999998,No. of adults per household,,平均每戶成年人數,2.62,2.2799999999999998,2.29,2.2999999999999998,2.5499999999999998,2.6,2.59,2.4900000000000002,2.6,No. of adults per household
平均每戶就業人數,1.64,1.55,1.55,1.7,1.63,1.62,1.75,No. of persons employed per household,,平均每戶就業人數,1.82,1.63,1.91,1.71,1.73,1.61,1.81,1.52,No. of persons employed per household,,平均每戶就業人數,1.67,1.49,1.32,0.96,1.59,1.63,1.63,1.46,1.66,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.67,1.63,1.75,1.74,1.75,1.82,No. of income recipients per household,,平均每戶所得收入者人數,1.84,1.66,1.84,1.65,1.54,1.48,1.76,1.61,No. of income recipients per household,,平均每戶所得收入者人數,1.59,1.48,1.5,1.29,1.64,1.79,1.67,1.53,1.67,No. of income recipients per household
