appleL0693年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 93 年,,,單位：元,2 0 0 4 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7083445,1416689,1416689,1416689,1416689,1416689,No. of households
平均每戶人數,3.5,1.96,3.16,3.81,4.1399999999999997,4.43,No. of persons per household
平均每戶成年人數,2.57,1.71,2.2599999999999998,2.62,2.96,3.33,No. of adults per household
平均每戶就業人數,1.53,0.6,1.21,1.59,1.93,2.34,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.06,1.29,1.58,1.91,2.37,No. of income recipients per household
一、所得收入總計,1074665,355973,673726,943044,1253339,2147241,A.Total receipts
1.受僱人員報酬,621281,96924,333013,520424,755530,1400513,1.Compensation of employees
(1)本業薪資,471575,77293,265572,406386,581235,1027391,(1)Full time payroll
(2)兼業薪資,33625,11051,23303,26534,28773,78466,(2)Part time payroll
(3)其他收入,116080,8580,44139,87503,145522,294655,(3)Other receipts or subsidies
2.產業主所得,169961,45671,111078,176572,213126,303359,2.Entrepreneurial income
3.財產所得收入,48999,14601,23355,27975,43619,135446,3. Property income
4.自用住宅設算租金收入,63389,32873,50067,62297,73763,97945,4.Imputed rent income
5.經常移轉收入,170862,165706,156048,155625,167127,209804,5.Current transfer receipts
(1)從私人,50623,70187,52854,42170,42915,44988,(1)From individuals
(2)從政府,38412,54760,41357,36568,31277,28097,(2)From government
(3)社會保險受益,78969,39893,59994,74743,88700,131513,(3)Benefit of social insurance
(4)從企業,1454,234,423,803,1124,4688,(4)From enterprises
(5)從國外,1404,632,1420,1341,3111,518,(5)From abroad
6.雜項收入,173,198,165,151,175,174,6.Miscellaneous receipts
二、非消費支出,183416,58669,118275,167325,217367,355445,B.Nonconsumption expenditures
1.利息支出,20141,6322,16596,21138,25763,30886,1.Interest
2.經常移轉支出,163275,52347,101679,146187,191605,324559,2.Current transfer expenditures
(1)對私人,50113,19483,33263,42793,57340,97683,(1)To private
(2)對政府,35570,7393,16359,26361,38756,88981,(2)To government
(3)社會保險,73566,24064,50836,71685,92635,128609,(3)Social insurance
(4)對國外,4027,1408,1220,5348,2874,9286,(4)To abroad
,,,,,,,
93年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 93 年,,,單位：元,2 0 0 4 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,692648,295476,513243,678420,831215,1144888,C.Consumption expenditures
1.食品費,151516,73173,125428,158627,182267,218086,1.Food
2.飲料費,6497,2799,5185,6398,7854,10252,2.Beverage
3.菸草,6185,3690,6006,6542,7262,7423,3.Tobacco
4.衣著、鞋、襪類,24065,7544,15264,22666,29172,45681,4.Clothing and footwear
5.房地租及水費,140303,78324,115578,136320,161060,210232,5.Rent and water charges
6.燃料及燈光,19417,11902,16815,20460,22393,25514,6.Fuel and light
7.家具及家庭設備,12489,3433,7434,11142,15683,24754,7.Furniture and family facilities
8.家事管理,13370,4014,7570,11455,16576,27236,8.Household operations
9.保健及醫療,89447,49412,69982,87716,105949,134174,9.Health care and medical
10.運輸交通及通訊,86873,24370,55773,82830,103901,167493,10.Transport and communications
(1)交通及通訊工具之購置,12854,1485,4631,9165,11112,37877,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,38898,10431,26036,38686,49225,70112,(2)Operation of transport equipment
(3)乘交通設備之費用,7983,3616,5717,7696,9670,13217,(3)Purchased transportation
(4)其他通訊費,22180,7468,16327,22636,27861,36609,(4)Other communications
(5)汽機車保險費支出,4958,1370,3062,4646,6033,9678,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,92213,21258,57626,89631,120161,172391,"11.Recreation ,education and culture"
(1)旅遊費用,20545,5239,10380,14991,23216,48901,(1)Traveling
(2)娛樂消遣服務,9551,4880,7515,9357,11141,14861,(2)Recreation service
(3)書報雜誌文具,4619,1223,3098,4427,5747,8602,(3)Books and stationery
(4)娛樂器材及附屬品,8866,2201,5022,7561,11354,18194,(4)Recreation facilities
(5)教育與研究費,48632,7717,31611,53296,68702,81834,(5)Education and research
12.什項消費,50272,15558,30581,44634,58935,101653,12.Miscellaneous
可支配所得,891249,297305,555452,775719,1035972,1791796,Disposable income
消費支出,692648,295476,513243,678420,831215,1144888,Consumption expenditures
儲蓄,198600,1829,42208,97299,204757,646909,Saving
所得總額,1122966,384325,712844,990074,1308726,2218863,Current receipts
