L09110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021",,110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021",,110年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2021"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 110 年,,,,,2 0 2 1,,,,,民 國 110 年,,,,,2 0 2 1,,,,,民 國 110 年,,,,,2 0 2 1,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8919896,1612821,1057695,853848,1009568,705803,1123351,No. of households,,家庭戶數,173265,207824,194320,397597,179671,244369,184817,No. of households,,家庭戶數,292214,83767,127594,41840,155737,172450,101345,No. of households
平均每戶人數,2.89,2.95,2.75,3.07,2.92,2.85,2.87,No. of persons per household,,平均每戶人數,2.87,3.26,3.09,3.08,2.93,2.7,2.66,No. of persons per household,,平均每戶人數,2.67,2.4300000000000002,2.46,2.1,2.61,3.07,2.71,No. of persons per household
平均每戶成年人數,2.46,2.54,2.4300000000000002,2.54,2.4500000000000002,2.4500000000000002,2.44,No. of adults per household,,平均每戶成年人數,2.39,2.57,2.61,2.5099999999999998,2.48,2.2999999999999998,2.34,No. of adults per household,,平均每戶成年人數,2.2400000000000002,2.0699999999999998,2.09,1.86,2.33,2.56,2.41,No. of adults per household
平均每戶就業人數,1.35,1.4,1.28,1.44,1.4,1.39,1.33,No. of persons employed per household,,平均每戶就業人數,1.18,1.46,1.41,1.48,1.41,1.26,1.1399999999999999,No. of persons employed per household,,平均每戶就業人數,1.29,1.0900000000000001,1.07,0.64,1.1399999999999999,1.39,1.24,No. of persons employed per household
平均每戶所得收入者人數,1.79,1.93,1.88,1.83,1.76,1.75,1.75,No. of income recipients per household,,平均每戶所得收入者人數,1.71,1.85,1.84,1.78,1.68,1.59,1.58,No. of income recipients per household,,平均每戶所得收入者人數,1.63,1.47,1.54,1.35,1.67,1.79,1.65,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
