appleL0297年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2008",,97年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2008",,97年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 97 年,,,,單位：元,2 0 0 8 Unit:NT$,,,,,民 國 97 年,,,,單位：元,2 0 0 8 Unit:NT$,,,,,,民 國 97 年,,,,,單位：元,2 0 0 8 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,7544629,951823,566024,1322485,148278,627325,149993,No. of households,,家庭戶數,164705,446510,350439,165444,220904,170184,355793,417235,No. of households,,家庭戶數,268267,78195,117707,30854,143150,131931,365884,92124,259375,No. of households
平均每戶人數,3.35,3.29,3.29,3.41,3.28,3.53,3.74,No. of persons per household,,平均每戶人數,3.44,3.7,3.68,3.33,2.96,2.87,3.28,3.28,No. of persons per household,,平均每戶人數,3.14,2.99,3.06,3,3.12,3.59,3.3,2.99,3.36,No. of persons per household
平均每戶成年人數,2.56,2.59,2.59,2.61,2.44,2.57,2.8,No. of adults per household,,平均每戶成年人數,2.59,2.76,2.69,2.57,2.2999999999999998,2.2999999999999998,2.59,2.5,No. of adults per household,,平均每戶成年人數,2.4,2.1800000000000002,2.2999999999999998,2.2999999999999998,2.41,2.64,2.5099999999999998,2.2799999999999998,2.59,No. of adults per household
平均每戶就業人數,1.49,1.4,1.44,1.58,1.31,1.53,1.68,No. of persons employed per household,,平均每戶就業人數,1.45,1.66,1.66,1.51,1.38,1.34,1.49,1.5,No. of persons employed per household,,平均每戶就業人數,1.43,1.23,1.19,1.1299999999999999,1.28,1.52,1.42,1.2,1.61,No. of persons employed per household
平均每戶所得收入者人數,1.65,1.64,1.61,1.73,1.59,1.75,2,No. of income recipients per household,,平均每戶所得收入者人數,1.66,1.69,1.74,1.59,1.4,1.57,1.63,1.66,No. of income recipients per household,,平均每戶所得收入者人數,1.48,1.4,1.45,1.42,1.51,1.86,1.52,1.42,1.71,No. of income recipients per household
