6.雜項收入,24.291662875,5.7667948659,29.569106559,15.352219881,9.6690825394,31.754582192,43.680408552,6.Miscellaneous receipts
二、非消費支出,108942.5298,107060.84333,144608.82716,122966.8308,107842.20343,90602.626361,103590.30857,B.Nonconsumption expenditures
1.利息支出,5959.3684984,6340.6415071,7446.6729886,7084.9526006,7184.814982,4415.4464959,5240.528673,1.Interest
2.經常移轉支出,102983.16131,100720.20182,137162.15417,115881.8782,100657.38845,86187.179865,98349.779896,2.Current transfer expenditures
(1)對私人,24747.628305,25806.30376,37001.675035,23705.320834,25593.762991,16263.119256,22545.859409,(1)To private
(2)對政府,18648.993198,14044.617486,30932.593291,21181.081395,16275.413725,13905.805357,18059.307542,(2)To government
(3)社會保險,58670.032586,60717.105305,67633.527996,69866.106117,56058.159653,55653.309527,56952.905354,(3)Social insurance
(4)對國外,916.50721618,152.17526783,1594.3578448,1129.3698539,2730.0520775,364.94572478,791.70759146,(4)To abroad
三、可支配所得,557634.38573,560173.45555,706690.91755,595765.10808,568723.28558,482696.61887,518670.02459,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分(續一),Table 1. Income Sources of Income Recipients by Areas (Cont.1),,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,
,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,
,County,County,County,County,County,County,County,
所得收入者人數,285982.69907,383102.62435,304708.17891,661598.0463,283873.67306,371615.03626,270182.36347,No. of income recipients
一、所得收入總計,589054.88123,746371.82301,606093.29751,557055.82245,535781.02381,539299.64527,511053.49323,A.Total receipts
1.受僱人員報酬,296930.5933,529701.25702,358622.08573,305820.87155,258774.33883,220529.26168,229471.17242,1.Compensation of employees
(1)本業薪資,219750.59084,366065.90445,251949.96523,235841.2933,186076.65914,147026.8982,170453.48986,(1)Full time payroll
(2)兼業薪資,26394.010107,26841.006067,34975.144812,15979.406874,28294.051188,32787.033843,22062.880081,(2)Part time payroll
(3)其他收入,50785.992345,136794.3465,71696.975682,54000.171377,44403.628495,40715.329636,36954.80248,(3)Other receipts or subsidies
2.產業主所得,105023.42149,69359.13697,90068.585227,114197.2803,131689.24005,138649.18994,117033.40012,2.Entrepreneurial income
(1)農業淨收入,7052.9757844,10170.051903,26515.57175,26403.623125,46384.880339,70234.20689,65342.337645,(1)Net agricultural income
(2)營業淨收入,97970.445702,59189.085067,63553.013477,87793.657174,85304.359707,68414.983045,51691.062475,(2)Net operation surplus
3.財產所得收入,16836.263663,33483.007495,32342.054553,11188.161711,15366.390696,17877.327679,13964.338722,3. Property income
4.自用住宅設算租金收入,36645.664924,37914.872161,29426.874317,30058.204172,27267.707125,27850.832002,28104.018526,4.Imputed rent income
5.經常移轉收入,133566.92987,75913.549364,95621.014558,95782.623956,102635.09189,134338.42156,122475.96566,5.Current transfer receipts
(1)從私人,29726.727646,16137.31465,25471.206365,24279.214865,21727.478304,37152.993977,30317.857325,(1)From individuals
(2)從政府,21333.956999,17042.425432,21968.604708,18691.746015,21254.892356,27294.227774,32711.18544,(2)From government
(3)社會保險受益,78303.987771,40672.447392,47412.06706,52583.730529,58282.001045,67616.66935,59075.426886,(3)Benefit of social insurance
(4)從企業,1781.3790302,783.95933258,769.13642506,227.9325476,873.81136862,1976.6571543,371.49600692,(4)From enterprises
(5)從國外,2420.8784267,1277.4025574,0,0,496.90881178,297.87330065,0,(5)From abroad
6.雜項收入,52.007992138,0,12.683127445,8.6807603482,48.255230012,54.612422763,4.5977847196,6.Miscellaneous receipts
二、非消費支出,87820.94372,150416.1626,96522.160263,85241.008326,79687.324233,74556.303128,66675.789624,B.Nonconsumption expenditures
1.利息支出,6478.9127021,13390.545479,2877.4841787,2610.3105385,2496.5163433,3048.673859,871.53563365,1.Interest
2.經常移轉支出,81342.031018,137025.61712,93644.676084,82630.697787,77190.80789,71507.629269,65804.25399,2.Current transfer expenditures
(1)對私人,21946.679637,29699.649124,22855.677576,15979.659024,18350.273987,19784.146734,14116.584991,(1)To private
(2)對政府,13368.585378,33356.364447,15239.037722,14917.136552,13388.786851,12223.596137,11225.755259,(2)To government
(3)社會保險,45744.438047,71749.129414,55249.59038,51335.937082,44369.37901,39431.363477,40447.073323,(3)Social insurance
(4)對國外,282.32795656,2220.4741371,300.37040611,397.96512965,1082.368041,68.52292106,14.84041739,(4)To abroad
三、可支配所得,501233.93751,595955.66041,509571.13725,471814.81412,456093.69958,464743.34214,444377.70361,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,County,County,County,County,City,City,City,
所得收入者人數,462999.57823,124304.87694,190656.41569,61451.035129,266444.8707,307483.56692,164560.49635,No. of income recipients
一、所得收入總計,538349.98682,534970.20689,577619.21119,625457.22859,604225.39383,824073.46726,675137.42452,A.Total receipts
1.受僱人員報酬,290256.22638,269653.37699,300092.60048,334871.92528,384400.60693,580389.98095,396679.8443,1.Compensation of employees
(1)本業薪資,213752.34999,184023.89029,204681.78185,236332.11459,287899.08896,389385.9494,264243.23525,(1)Full time payroll
(2)兼業薪資,32298.853032,44323.411429,43689.936722,31786.251325,26652.036489,26727.958158,59885.808484,(2)Part time payroll
(3)其他收入,44205.023358,41306.075266,51720.881902,66753.559369,69849.481483,164276.0734,72550.800562,(3)Other receipts or subsidies
2.產業主所得,90570.675247,96552.036434,88283.564343,100818.65633,52750.811862,71594.818503,116620.14802,2.Entrepreneurial income
(1)農業淨收入,30532.088052,39983.448998,15251.532314,32811.607411,3357.8162413,4091.8356757,3282.0531956,(1)Net agricultural income
(2)營業淨收入,60038.587195,56568.587435,73032.032029,68007.048916,49392.995621,67502.982827,113338.09483,(2)Net operation surplus
3.財產所得收入,19650.199333,16632.826648,19365.794932,7873.1545731,20818.230729,40645.798699,23612.775766,3. Property income
4.自用住宅設算租金收入,22762.051977,21691.586483,39385.238154,30896.529579,26122.552604,37332.203564,35861.50503,4.Imputed rent income
5.經常移轉收入,115045.61487,130367.7803,130432.12686,150944.65083,120112.17733,94065.434481,102352.42833,5.Current transfer receipts
(1)從私人,36789.446356,33480.640496,39460.805174,28427.75316,34639.650605,26523.557764,21275.278231,(1)From individuals
(2)從政府,26090.518864,29993.660457,25002.003213,34258.677982,16172.627742,23251.464438,14261.761201,(2)From government
(3)社會保險受益,51548.30966,66698.07527,64020.136652,87473.993931,65437.051925,42076.9215,66244.861483,(3)Benefit of social insurance
(4)從企業,617.33999348,195.40407845,1949.1818247,784.22575489,3862.84706,486.41677886,570.52741006,(4)From enterprises
(5)從國外,0,0,0,0,0,1727.0739996,0,(5)From abroad
6.雜項收入,65.21900491,72.600032015,59.886422822,52.312002074,21.01437659,45.231065454,10.723077957,6.Miscellaneous receipts
二、非消費支出,79394.342377,76114.510026,86026.422323,98789.797044,92379.445213,165893.0496,101162.14603,B.Nonconsumption expenditures
1.利息支出,2877.4080151,2854.1302816,4173.2968545,2639.6069871,4460.4934154,12746.325798,3680.0696188,1.Interest
2.經常移轉支出,76516.934362,73260.379744,81853.125469,96150.190057,87918.951798,153146.7238,97482.076411,2.Current transfer expenditures
(1)對私人,21141.550243,19932.569233,23339.451845,27550.30157,22779.533622,28587.619937,25791.649326,(1)To private
(2)對政府,10898.478269,9459.3359042,12022.767912,13156.526245,11534.335588,49411.712056,17600.625375,(2)To government
(3)社會保險,44339.875689,42435.013565,46329.624552,55443.362241,53530.065241,74643.47667,53934.235627,(3)Social insurance
(4)對國外,137.03016117,1433.4610417,161.28115979,0,75.017347251,503.91514172,155.56608247,(4)To abroad
三、可支配所得,458955.64444,458855.69686,491592.78887,526667.43155,511845.94862,658180.41766,573975.27849,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
