appleL03104年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 104 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8386495,786060,7600435,No. of households
平均每戶人數,3.1,3.34,3.08,No. of persons per household
平均每戶成年人數,2.5299999999999998,2.81,2.5,No. of adults per household
平均每戶就業人數,1.43,1.9,1.38,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.86,1.71,No. of income recipients per household
一、所得收入總計,1167284,975893,1187078,A.Total receipts
1.受僱人員報酬,665122,383296,694269,1.Compensation of employees
(1)本業薪資,493144,286537,514511,(1)Full time payroll
(2)兼業薪資,45639,34150,46827,(2)Part time payroll
(3)其他收入,126340,62609,132931,(3)Other receipts or subsidies
2.產業主所得,147585,258601,136104,2.Entrepreneurial income
3.財產所得收入,52896,33373,54915,3. Property income
4.自用住宅設算租金收入,72486,57331,74054,4.Imputed rent income
5.經常移轉收入,229085,243151,227631,5.Current transfer receipts
(1)從私人,67194,51032,68866,(1)From individuals
(2)從政府,49433,85513,45701,(2)From government
(3)社會保險受益,109387,104549,109888,(3)Benefit of social insurance
(4)從企業,1856,1890,1853,(4)From enterprises
(5)從國外,1214,166,1323,(5)From abroad
6.雜項收入,109,142,106,6.Miscellaneous receipts
二、非消費支出,202388,142711,208560,B.Nonconsumption expenditures
1.利息支出,10113,3013,10847,1.Interest
2.經常移轉支出,192276,139698,197714,2.Current transfer expenditures
(1)對私人,44529,34856,45529,(1)To private
(2)對政府,32518,21938,33613,(2)To government
(3)社會保險,113304,82611,116478,(3)Social insurance
(4)對國外,1924,294,2093,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 5,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,759647,651658,770815,C.Consumption expenditures
1.食品及非酒精飲料,111500,116248,111009,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9119,11767,8845,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22459,17013,23022,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,187145,132330,192814,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,167148,111858,172866,(1)Rent and water charges
(2)電費及燃料,19997,20472,19948,(2)Power and fuel
5.家具設備及家務維護,18605,14253,19055,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,114303,117886,113932,6.Health
7.交通,69490,69736,69465,7.Transport
(1)個人交通工具之購置,11719,13806,11503,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43046,44674,42878,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9719,5784,10125,(3)Transport services
(4)汽、機車保險費,5006,5472,4958,(4)Insurance of vehicles
8.通訊,26760,21905,27262,8.Communication
9.休閒與文化,42626,26330,44312,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),21089,11863,22043,(1)Package holidays
(2)娛樂消遣及文化服務,10759,6805,11169,(2)Recreational and cultural services
(3)書報雜誌文具,4658,3646,4763,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6120,4017,6338,(4)Recreational facilities
10.教育,30616,22823,31422,10.Education
11.餐廳及旅館,85579,66589,87543,11.Restaurants and hotels
12.什項消費,41446,34779,42135,12.Miscellaneous goods and services
可支配所得,964895,833182,978517,Disposable income
消費支出,759647,651658,770815,Consumption expenditures
儲蓄,205248,181524,207702,Saving
所得總額,1224600,1011408,1246649,Current receipts
