appleL04107年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2018",,107年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 107 年,,,單位：元,2 0 1 8 Unit:NT$,,,,,民 國 107 年,,單位：元,2 0 1 8 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
家庭戶數,8643140,402954,828889,1281040,464732,1195612,No. of households,,家庭戶數,393885,1008183,849745,374788,1843313,No. of households
平均每戶人數,3.05,3.6,3.41,3.49,3.11,3.13,No. of persons per household,,平均每戶人數,2.72,3.69,3.59,2.98,1.87,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.87,2.7,2.85,2.71,2.61,No. of adults per household,,平均每戶成年人數,2.38,2.98,2.93,2.44,1.76,No. of adults per household
平均每戶就業人數,1.42,1.88,1.67,1.82,1.62,1.76,No. of persons employed per household,,平均每戶就業人數,1.67,1.96,1.87,1.6,0.04,No. of persons employed per household
平均每戶所得收入者人數,1.77,2.0099999999999998,1.94,2.04,1.98,1.77,No. of income recipients per household,,平均每戶所得收入者人數,1.46,2.0499999999999998,2.04,1.76,1.19,No. of income recipients per household
一、所得收入總計,1249031,2602010,1900432,1618511,1184988,1171866,A.Total receipts,,一、所得收入總計,863938,1270838,1198226,897279,635066,A.Total receipts
