appleL12112年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2023",,112年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2023",,112年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 112 年,,,,單位：元,2 0 2 3 Unit:NT$,,,,,民 國 112 年,,,,單位：元,2 0 2 3 Unit:NT$,,,,,民 國 112 年,,,,單位：元,2 0 2 3 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
所得收入者人數,16459687,3090292,2069694,1693900,1874342,1265484,2039488,No. of income recipients,,所得收入者人數,279885,380431,366972,717284,316386,404192,289591,No. of income recipients,,所得收入者人數,503978,124669,193604,65314,271947,329802,182433,No. of income recipients
一、所得收入總計,709084,726650,859054,729470,695257,613638,691098,A.Total receipts,,一、所得收入總計,640075,1002578,663904,593771,545249,596548,532868,A.Total receipts,,一、所得收入總計,569169,575075,620021,629024,601724,951025,701255,A.Total receipts
1.受僱人員報酬,417100,453222,513859,451340,377483,357508,393449,1.Compensation of employees,,1.受僱人員報酬,315394,701611,437083,344988,266419,291234,228434,1.Compensation of employees,,1.受僱人員報酬,305061,277605,314914,324767,339053,646398,368324,1.Compensation of employees
(1)本業薪資,305587,357367,374477,330131,281710,251665,272585,(1)Full time payroll,,(1)本業薪資,224635,451100,316898,266147,189041,223019,170917,(1)Full time payroll,,(1)本業薪資,228099,194557,225659,213517,262447,398718,262901,(1)Full time payroll
(2)兼業薪資,25433,12053,34392,24393,25526,25705,35046,(2)Part time payroll,,(2)兼業薪資,38438,25295,32866,17595,33782,10879,23152,(2)Part time payroll,,(2)兼業薪資,26811,39859,40590,54628,13961,28812,38139,(2)Part time payroll
(3)其他收入,86081,83802,104990,96816,70247,80138,85819,(3)Other receipts or subsidies,,(3)其他收入,52321,225216,87320,61245,43596,57336,34365,(3)Other receipts or subsidies,,(3)其他收入,50151,43189,48665,56622,62645,218869,67284,(3)Other receipts or subsidies
2.產業主所得,88033,62282,91129,85255,103381,86060,97024,2.Entrepreneurial income,,2.產業主所得,101655,84574,61379,89897,109406,118667,108113,2.Entrepreneurial income,,2.產業主所得,94745,118908,98730,91690,68075,98202,125284,2.Entrepreneurial income
(1)農業淨收入,9245,435,776,1812,9300,13440,6135,(1)Net agricultural income,,(1)農業淨收入,18034,7505,14447,19444,38204,53823,55468,(1)Net agricultural income,,(1)農業淨收入,26076,28159,19495,8284,898,0,5080,(1)Net agricultural income
(2)營業淨收入,78789,61847,90352,83443,94081,72620,90889,(2)Net operation surplus,,(2)營業淨收入,83622,77069,46933,70454,71202,64844,52645,(2)Net operation surplus,,(2)營業淨收入,68669,90748,79235,83406,67177,98202,120204,(2)Net operation surplus
3.財產所得收入,33303,31105,68832,30817,33513,19434,32593,3. Property income,,3.財產所得收入,17228,66804,19887,16065,16626,9834,17021,3. Property income,,3.財產所得收入,16259,14941,20524,10291,11805,53511,25778,3. Property income
4.自用住宅設算租金收入,40145,45749,50211,51266,41615,37191,34715,4.Imputed rent income,,4.自用住宅設算租金收入,42394,38409,23636,29472,23909,26904,28129,4.Imputed rent income,,4.自用住宅設算租金收入,21136,20586,41842,34130,31791,30923,41158,4.Imputed rent income
5.經常移轉收入,130489,134283,135021,110786,139262,113433,133299,5.Current transfer receipts,,5.經常移轉收入,163346,111165,121821,113337,128885,149901,151171,5.Current transfer receipts,,5.經常移轉收入,131937,143028,143977,168076,150962,121985,140696,5.Current transfer receipts
