appleL13101年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 101 年,,2 0 1 2,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,13537783,1500559,12037225,No. of income recipients
一、所得收入總計,621576,468660,640638,A.Total receipts
1.受僱人員報酬,383905,202637,406502,1.Compensation of employees
(1)本業薪資,286470,152123,303217,(1)Full time payroll
(2)兼業薪資,23373,16133,24276,(2)Part time payroll
(3)其他收入,74062,34381,79009,(3)Other receipts or subsidies
2.產業主所得,88472,132882,82935,2.Entrepreneurial income
(1)農業淨收入,10619,86238,1192,(1)Net agricultural income
(2)營業淨收入,77853,46643,81743,(2)Net operation surplus
3.財產所得收入,26800,13201,28495,3. Property income
4.自用住宅設算租金收入,38189,26138,39691,4.Imputed rent income
5.經常移轉收入,84149,93724,82955,5.Current transfer receipts
(1)從私人,26443,22252,26965,(1)From individuals
(2)從政府,18716,32909,16946,(2)From government
(3)社會保險受益,37799,37013,37897,(3)Benefit of social insurance
(4)從企業,722,1158,668,(4)From enterprises
(5)從國外,469,393,479,(5)From abroad
6.雜項收入,61,78,59,6.Miscellaneous receipts
二、非消費支出,105679,66640,110545,B.Nonconsumption expenditures
1.利息支出,7070,1590,7753,1.Interest
2.經常移轉支出,98609,65050,102792,2.Current transfer expenditures
(1)對私人,26730,19219,27666,(1)To private
(2)對政府,19437,11945,20371,(2)To government
(3)社會保險,51204,33544,53405,(3)Social insurance
(4)對國外,1238,342,1350,(4)To abroad
三、可支配所得,515897,402020,530093,C.Disposable income
