appleL0584年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,5731179,440298,600676,375186,3056683,52513,972895,232928,No. of households
平均每戶人數,3.94,1,2,2.88,4.25,3.47,6.05,3.42,No. of persons per household
平均每戶成年人數,2.58,1,2,2.0299999999999998,2.5299999999999998,2.0299999999999998,3.97,3.01,No. of adults per household
平均每戶就業人數,1.72,0.51,1.01,1.5,1.83,1,2.4,1.9,No. of persons employed per household
平均每戶所得收入者人數,1.7,1,1.21,1.58,1.75,1.23,2.2000000000000002,1.86,No. of income recipients per household
一、所得收入總計,985929,380476,634383,775902,1091975,562977,1248659,981628,A.Total receipts
1.受僱人員報酬,570468,169105,272445,466861,663878,172952,705060,566233,1.Compensation of employees
(1)本業薪資,449488,116598,184992,383604,523623,123953,570401,462454,(1)Full time payroll
(2)兼業薪資,25901,30826,47167,13535,24463,31694,21805,16353,(2)Part time payroll
(3)其他收入,95078,21681,40285,69723,115792,17304,112854,87426,(3)Other receipts or subsidies
2.產業主所得,182869,49981,97866,104850,211145,81694,248738,155557,2.Entrepreneurial income
3.財產所得收入,57197,30725,62609,46676,59742,47676,62202,58082,3. Property income
4.自用住宅設算租金收入,54432,27228,42657,44384,60002,38379,61489,53461,4.Imputed rent income
5.經常移轉收入,120564,103162,158366,112856,96749,222035,170851,147990,5.Current transfer receipts
(1)從私人,34717,47971,75712,40345,20830,123698,36128,51165,(1)From individuals
(2)從政府,23795,26218,26653,20827,18670,30898,37036,26977,(2)From government
(3)從企業,61632,27854,55474,51307,57144,58451,97567,67510,(3)From enterprises
(4)從國外,419,1119,527,377,104,8988,120,2338,(4)From abroad
6.雜項收入,399,275,440,275,459,242,319,306,6.Miscellaneous receipts
二、非消費支出,174591,63508,107502,121239,202224,86137,204957,173987,B.Nonconsumption expenditures
1.利息支出,38349,13108,18634,27736,49363,11149,35415,27855,1.Interest
2.經常移轉支出,136242,50399,88868,93503,152862,74988,169542,146132,2.Current transfer expenditures
(1)對私人,45092,24177,36247,30212,50398,27600,49308,48111,(1)To private
(2)對政府,26442,7511,16848,16649,31567,14709,29570,25055,(2)To government
(3)對企業,62151,13819,28847,46183,69644,30710,89752,58588,(3)To enterprises
(4)對國外,2557,4892,6926,459,1253,1970,911,14378,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
84年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,591035,232058,372939,473161,658103,396921,741360,557647,C.Consumption expenditures
1.食品費,139736,46574,77351,110813,154390,104049,189861,129680,1.Food
2.飲料費,6046,3060,3511,4721,6586,4264,7926,5816,2.Beverage
3.菸草,4950,2699,3297,3934,5006,3775,7150,5452,3.Tobacco
4.衣著、鞋、襪類,27213,8973,14417,20390,31027,15143,34808,26623,4.Clothing and footwear
5.房地租及水費,130722,72594,101292,116837,144917,90093,139264,126070,5.Rent and water charges
6.燃料及燈光,16506,7142,11738,13536,17880,13165,20913,15608,6.Fuel and light
7.家具及家庭設備,15823,5559,10768,12280,18290,8031,17465,16485,7.Furniture and family facilities
8.家事管理,11215,3444,5229,7628,14028,3948,11891,9022,8.Household operations
9.保健及醫療,61271,28033,54076,49518,56464,60953,99666,64379,9.Health care and medical
10.運輸交通及通訊,59089,16914,29994,42116,67926,29124,76074,61022,10.Transport and communications
(1)交通及通訊工具之購置,15453,2884,5903,10907,17435,7954,22127,18976,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,25020,5649,12198,15664,29381,8764,32826,23596,(2)Operation of transport equipment
(3)乘交通設備之費用,8880,4651,5363,8840,10134,6109,9287,8478,(3)Purchased transportation
(4)其他通訊費,5819,2909,4536,4835,6360,4955,6569,6171,(4)Other communications
(5)汽機車保險費支出,3917,820,1994,1869,4615,1341,5265,3801,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,77519,20768,34394,57497,96718,42574,84882,53429,"11.Recreation ,education and culture"
(1)旅遊費用,24041,11790,22281,16680,26189,13005,26952,25726,(1)Traveling
(2)娛樂消遣服務,7752,3586,4623,7337,8823,4827,8623,7321,(2)Recreation service
(3)書報雜誌文具,5124,1560,2760,3714,6197,3179,5849,3569,(3)Books and stationery
(4)娛樂器材及附屬品,7719,2985,4418,5559,9197,4206,8487,6843,(4)Recreation facilities
(5)教育與研究費,32884,847,312,24206,46312,17356,34972,9969,(5)Education and research
12.什項消費,40945,16299,26870,33894,44871,21802,51461,44061,12.Miscellaneous
可支配所得,811338,316968,526881,654663,889751,476840,1043701,807642,Disposable income
消費支出,591035,232058,372939,473161,658103,396921,741360,557647,Consumption expenditures
儲蓄,220303,84910,153942,181502,231647,79919,302341,249994,Saving
所得總額,1029053,401979,669467,808417,1139609,595937,1297902,1020992,Current receipts
