黃麗妃L0887年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 87 年,,1 9 9 8,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,6273056,5246047,1027009,Total
"未滿200,000元",98794,50299,48495,"Under NT$200,000"
"200,000～299,999",229212,143559,85653,"200,000～299,999"
"300,000～399,999",282999,209079,73920,"300,000～399,999"
"400,000～499,999",308094,224941,83153,"400,000～499,999"
"500,000～599,999",384948,287734,97214,"500,000～599,999"
"600,000～699,999",415466,329278,86188,"600,000～699,999"
"700,000～799,999",467868,382664,85204,"700,000～799,999"
"800,000～899,999",497046,429276,67770,"800,000～899,999"
"900,000～999,999",496154,427761,68393,"900,000～999,999"
"1,000,000～1,099,999",471284,417587,53697,"1,000,000～1,099,999"
"1,100,000～1,199,999",413279,366100,47179,"1,100,000～1,199,999"
"1,200,000～1,299,999",352969,316121,36848,"1,200,000～1,299,999"
"1,300,000～1,399,999",295443,262983,32460,"1,300,000～1,399,999"
"1,400,000～1,499,999",246286,223651,22635,"1,400,000～1,499,999"
"1,500,000～1,649,999",296176,267711,28465,"1,500,000～1,649,999"
"1,650,000～1,799,999",238628,216269,22359,"1,650,000～1,799,999"
"1,800,000～1,999,999",236236,212554,23682,"1,800,000～1,999,999"
"2,000,000～2,299,999",223513,197417,26096,"2,000,000～2,299,999"
"2,300,000～2,699,999",154765,137973,16792,"2,300,000～2,699,999"
"2,700,000～3,499,999",104152,90475,13677,"2,700,000～3,499,999"
"3,500,000元及以上",59744,52615,7129,"Above $3,500,000"
