2020-08-14T00:00:00L01108年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,Table 1. Average Family Income and Expenditure per,,,,,,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 108 年,,,,,單位：元,2 0 1 9 Unit:NT$,,,,,
,總 平 均,1   人,2   人,3   人,4   人,5   人,6   人,7   人,8   人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,8734575.9999,1071148.2404,2632545.593,2052097.1222,1779830.2593,720464.46621,309777.52991,110985.5091,34525.140971,23202.138763,No. of households
平均每戶人數,3.02,1,2,3,4,5,6,7,8,9.61,No. of persons per household
平均每戶成年人數,2.52,1,1.95,2.66,3.08,3.69,4.32,4.85,5.7,6.16,No. of adults per household
平均每戶就業人數,1.4,0.45,0.82,1.53,1.98,2.27,2.51,3.02,3.59,4.02,No. of persons employed per household
平均每戶所得收入者人數,1.78,1,1.4,1.84,2.12,2.46,2.81,3.12,3.59,4.26,No. of income recipients per household
一、所得收入總計,1274195.6699,526466.83908,927585.92866,1365884.1362,1693442.846,1809724.9889,1969006.5013,2205675.1748,2317073.1199,2937795.4997,A.Total receipts
1.受僱人員報酬,724606.62939,207860.01298,415848.81181,816883.1335,1097378.7397,1108263.2546,1175604.5997,1254127.6651,1182733.1308,1707006.7432,1.Compensation of employees
(1)本業薪資,535854.75208,149721.56442,277075.15674,604947.22319,833617.95863,849510.91885,907953.2122,978041.80706,944437.27061,1340692.2963,(1)Full time payroll
(2)兼業薪資,45782.034052,22140.221576,66295.229628,48414.853965,35202.140351,34021.622606,32740.563196,30615.543629,27535.582483,27495.407936,(2)Part time payroll
(3)其他收入,142969.84326,35998.226987,72478.425442,163521.05634,228558.64077,224730.71314,234910.82433,245470.31446,210760.27768,338819.03899,(3)Other receipts or subsidies
2.產業主所得,157174.3657,48909.634773,108742.92116,158911.11166,209586.40757,254367.99137,262443.87684,357550.03134,525215.48911,546660.12931,2.Entrepreneurial income
3.財產所得收入,56964.164684,27496.193727,62406.696658,59947.3758,60128.295037,55910.258571,62843.765345,92087.907385,60271.888638,74587.773568,3. Property income
4.自用住宅設算租金收入,75450.399164,45239.022985,70280.098576,79683.297023,87089.328227,87695.452543,91169.795708,91160.347439,81326.262848,115627.536,4.Imputed rent income
5.經常移轉收入,259929.95688,196878.80182,270227.03142,250396.23548,239196.90814,303442.50007,376913.40712,410629.15472,467140.7314,493854.57645,5.Current transfer receipts
(1)從私人,72422.426611,91582.220934,94646.081566,60750.51478,46670.945961,59839.108129,74225.306167,70392.652807,61183.20634,67166.431698,(1)From individuals
(2)從政府,48088.672556,36824.352677,44212.936813,46518.688966,47357.692363,61183.822659,77228.510625,90713.333502,111025.15508,109570.88935,(2)From government
(3)社會保險受益,136111.3222,66543.21345,128812.37868,139480.85542,141037.76488,178034.55103,219745.88579,248089.91866,291012.20276,315467.03826,(3)Benefit of social insurance
(4)從企業,2358.2081349,899.26079854,1653.4692095,2596.531384,2923.1106804,3749.7977501,5541.3934438,1433.2497529,3920.1672203,1650.2171431,(4)From enterprises
(5)從國外,949.32737352,1029.7539601,902.16515167,1049.644925,1207.394252,635.22049656,172.31109566,0,0,0,(5)From abroad
6.雜項收入,70.154075826,83.172792269,80.36903108,62.982730617,63.167251128,45.531720625,31.056547677,120.0688042,385.61716677,58.741192683,6.Miscellaneous receipts
二、非消費支出,214464.76108,78000.44133,142418.47211,237149.52816,309786.00661,301647.07497,315543.28358,342207.0026,360913.67771,484886.065,B.Nonconsumption expenditures
1.利息支出,10795.056782,4937.8911563,6886.8461363,13057.920881,16641.348481,13660.851177,9662.2012216,10622.495994,2518.3450928,15301.026917,1.Interest
2.經常移轉支出,203669.7043,73062.550174,135531.62597,224091.60728,293144.65813,287986.2238,305881.08236,331584.5066,358395.33262,469585.03808,2.Current transfer expenditures
(1)對私人,46693.894503,26013.736417,38787.272822,50959.852952,62480.091329,53355.576283,47856.874848,51168.705036,46051.506256,67421.052428,(1)To private
(2)對政府,34401.475626,12570.374454,27273.76972,38030.620737,49559.791663,39893.228487,41300.54481,41323.794219,42224.438762,59813.495435,(2)To government
(3)社會保險,120840.44944,33555.109395,67018.540603,133637.75384,178822.76879,194243.10773,215942.80612,238907.09073,269927.72725,341882.29503,(3)Social insurance
(4)對國外,1733.8847268,923.32990888,2452.0428264,1463.3797537,2282.0063484,494.31130074,780.85657999,184.91662343,191.66035072,468.19518305,(4)To abroad
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
108年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分(續),Table 1. Average Family Income and Expenditure per,,,,,,,,,,
,,,,,,,,Household by Size of Household (Cont.),,,
民 國 108 年,,,,,單位：元,2 0 1 9 Unit:NT$,,,,,
,總 平 均,1   人,2   人,3   人,4   人,5   人,6   人,7   人,8   人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
三、消費支出,829198.82563,367728.33136,627309.5197,859559.08155,1076066.5717,1182187.4781,1306883.33,1451897.9176,1561921.6757,2010192.9642,C.Consumption expenditures
1.食品及非酒精飲料,116605.16931,42973.760023,86710.696297,118242.33629,146715.99294,176769.22516,219031.05252,243830.74643,277895.25078,368861.10607,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9479.0004254,5158.5070527,6707.4030714,9941.9234906,11265.47635,14289.794428,15532.429675,21149.918976,29396.858776,29755.841343,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23219.992024,8183.5492243,15394.1992,23683.63297,32805.680882,36581.552747,39263.385935,44420.687196,46124.009892,64402.974627,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,195833.5362,132225.66131,178178.38572,206933.27216,226911.70408,224979.98642,225153.73329,226341.76864,229777.11112,276871.48445,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,177839.58332,122932.56112,163688.73698,188748.8465,205392.3019,199542.19672,195886.33413,192849.98802,192322.35278,231622.6361,(1)Rent and water charges
(2)電費及燃料,17993.95288,9293.1001878,14489.64874,18184.425666,21519.402178,25437.789694,29267.399152,33491.780625,37454.758339,45248.848359,(2)Power and fuel
5.家具設備及家務維護,21626.436024,9803.847046,17094.638067,23527.145254,27999.113767,28365.326297,30216.819547,29597.961707,36932.675991,39804.622352,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,132718.65681,59656.849964,115810.54935,135336.07304,150836.39404,182756.41295,218208.41598,251348.1895,267516.9928,339612.42821,6.Health
7.交通,77372.283218,25455.944753,52408.707133,80320.117612,110534.96747,116058.69428,126863.72051,147532.87704,154650.18737,189271.27609,7.Transport
(1)個人交通工具之購置,13724.676606,3964.268802,8068.909291,12374.624317,22507.193957,21453.679555,26131.690663,33485.607281,30765.550351,26204.369935,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46314.68739,14455.170197,31873.800015,49429.726709,63867.963623,70506.933945,75040.325115,87105.477193,96192.419827,129535.9537,(2)Operation of transport equipment
