appleL03103年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 103 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8290000,767417,7522583,No. of households
平均每戶人數,3.15,3.44,3.12,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.86,2.52,No. of adults per household
平均每戶就業人數,1.45,1.88,1.4,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.86,1.7,No. of income recipients per household
一、所得收入總計,1157926,984815,1175586,A.Total receipts
1.受僱人員報酬,667520,380913,696758,1.Compensation of employees
(1)本業薪資,493931,285498,515194,(1)Full time payroll
(2)兼業薪資,44037,29212,45549,(2)Part time payroll
(3)其他收入,129552,66203,136015,(3)Other receipts or subsidies
2.產業主所得,151601,265762,139955,2.Entrepreneurial income
3.財產所得收入,50945,34264,52647,3. Property income
4.自用住宅設算租金收入,69901,52625,71663,4.Imputed rent income
5.經常移轉收入,217829,251027,214442,5.Current transfer receipts
(1)從私人,63228,54782,64089,(1)From individuals
(2)從政府,48386,82880,44868,(2)From government
(3)社會保險受益,102305,109880,101533,(3)Benefit of social insurance
(4)從企業,2535,3372,2450,(4)From enterprises
(5)從國外,1374,113,1503,(5)From abroad
6.雜項收入,130,224,121,6.Miscellaneous receipts
二、非消費支出,201077,143804,206920,B.Nonconsumption expenditures
1.利息支出,11839,2822,12759,1.Interest
2.經常移轉支出,189238,140982,194161,2.Current transfer expenditures
(1)對私人,45272,36140,46204,(1)To private
(2)對政府,32093,23025,33018,(2)To government
(3)社會保險,109480,80897,112396,(3)Social insurance
(4)對國外,2393,920,2543,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 4,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,755169,662536,764619,C.Consumption expenditures
1.食品及非酒精飲料,110468,116976,109804,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9377,12144,9095,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22832,17845,23341,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,184701,127825,190503,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,163062,105519,168932,(1)Rent and water charges
(2)電費及燃料,21639,22306,21571,(2)Power and fuel
5.家具設備及家務維護,18464,14454,18873,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,112270,120879,111392,6.Health
7.交通,72146,72785,72080,7.Transport
(1)個人交通工具之購置,11720,12540,11636,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46013,48956,45713,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9770,6008,10154,(3)Transport services
(4)汽、機車保險費,4643,5280,4578,(4)Insurance of vehicles
8.通訊,26933,21800,27457,8.Communication
9.休閒與文化,40232,26128,41671,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),18019,9842,18853,(1)Package holidays
(2)娛樂消遣及文化服務,10744,7287,11096,(2)Recreational and cultural services
(3)書報雜誌文具,5022,4139,5112,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6448,4861,6610,(4)Recreational facilities
10.教育,32147,25743,32801,10.Education
11.餐廳及旅館,83661,67591,85300,11.Restaurants and hotels
12.什項消費,41938,38365,42302,12.Miscellaneous goods and services
可支配所得,956849,841011,968666,Disposable income
消費支出,755169,662536,764619,Consumption expenditures
儲蓄,201680,178475,204047,Saving
所得總額,1213703,1021346,1233327,Current receipts
