2020-08-14T00:00:00L07108年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
第7表  平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分           及經濟戶長性別、年齡組別、教育程度別分,"Table 7.  Average Family Income and Expenditure per Household by Five Equal                  Divisions of Households According to Disposable Income and Sex, Age                  and Educational Attainment of Household Heads",,,,,,,,
,,,,,,,,,
,,,,,,,,,
民 國 108 年,,,,單位：戶；人；元,2 0 1 9 Unit:Household;Person;NT$,,,,
,總      平      均,可 支 配 所 得 按 戶 數 五 等 分 位 組,,,,,,,
,General        average,Five equal divisions of households according to disposable income,,,,,,,
,戶  數,平均每戶人數,可支配所得,消費支出,1,,,,
,,,,,戶  數,平均每戶人數,可支配所得,消費支出,
,Number of households,Average No.   of    persons,Disposable income,Consumption expenditure,Number of households,Average No.   of    persons,Disposable income,Consumption expenditure,
,,,,,,,,,
65 歲 及 以 上,441287.55953,2.0458005983,620075.46484,591581.93906,246720.72708,2.2914117756,894138.04024,778052.644,65 years and over
按 教 育 程 度 別 分,,,,,,,,,Educational attainment
國 小 及 以 下,242525.63626,2.1778100386,617319.88639,564647.66618,101984.20149,2.6531133924,889737.66039,778791.48891,Primary school and below
國（初） 中（初 職）,303479.51344,2.6110756093,638885.44721,569908.54693,232714.00076,3.2737018478,907673.70152,768861.37338,Junior middle (vocational)
高 中,237448.74855,2.5352487746,644450.95853,589327.37691,200874.31114,3.1564599443,913796.79714,763998.01932,High school
高 職,407636.92795,2.6153528236,651435.73991,596498.00524,437725.89806,3.3849173598,915595.98338,790177.41021,Senior vocational school
專 科,199306.95151,2.3119318806,652879.09913,607771.81767,271213.15466,3.2021029668,914677.81248,803461.00141,Junior college
大 學 及 以 上,356517.22229,2.3313627806,658969.53537,624639.18839,502403.43388,2.8911290999,911733.84459,803021.29596,College and above
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
108年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
第7表  平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分           及經濟戶長性別、年齡組別、教育程度別分(續完),"Table 7.  Average Family Income and Expenditure per Household by Five Equal                  Divisions of Households According to Disposable Income and Sex, Age                  and Educational Attainment of Household Heads (Cont.End)",,,,,,,,
,,,,,,,,,
,,,,,,,,,
民 國 108 年,,,,單位：戶；人；元,2 0 1 9 Unit:Household;Person;NT$,,,,
,可   支   配   所   得   按,戶   數   五   等   分   位   組,,,,,,,
,Five    equal    divisions    of    households,according    to    disposable    income,,,,,,,
,4,5,,,,,,,
,戶  數,平均每戶人數,可支配所得,消費支出,戶  數,平均每戶人數,可支配所得,消費支出,
,Number of households,Average No.   of    persons,Disposable income,Consumption expenditure,Number of households,Average No.   of    persons,Disposable income,Consumption expenditure,
,,,,,,,,,
全 體 家 庭,1746915,3.6773870201,1253751.0698,1001417.3702,1746915.9999,4.1285384967,2137870.9711,1393267.1387,All Families
按 性 別 分,,,,,,,,,Sex
男,1372359.5864,3.77910312,1254796.2928,1007155.2805,1408579.8146,4.2363398593,2136724.1717,1404877.1464,Male
女,374555.4136,3.3047023392,1249921.4046,980393.84219,338336.18529,3.679733935,2142645.3893,1344931.7161,Female
按 年 齡 組 別 分,,,,,,,,,Age
未 滿 30 歲,85011.999008,3.7790428893,1255363.3636,990851.75471,51828.990072,4.3107528768,1974154.4831,1334722.3355,Under 30 years
30 ～ 34 歲,117973.21303,3.801661028,1248144.7643,1015599.4146,97434.448557,4.3928787395,1947796.6358,1385978.6083,30 ～ 34 years
35 ～ 39 歲,235230.16796,3.9509290442,1248032.7677,1015539.7681,190974.81007,4.4714329338,2007634.064,1382309.0173,35 ～ 39 years
40 ～ 44 歲,259888.00779,4.1064009206,1254709.0372,1038989.4687,238595.54322,4.387496234,2078271.9512,1443030.3189,40 ～ 44 years
45 ～ 54 歲,521419.52466,3.8399568247,1250677.1134,1026717.8565,528036.88887,4.1985492135,2107903.1697,1434728.054,45 ～ 54 years
55 ～ 64 歲,396430.66526,3.3005670271,1266250.8533,947580.78743,516287.45575,3.9101444224,2257639.0183,1331736.4599,55 ～ 64 years
65 歲 及 以 上,130961.42229,2.6501536234,1240525.8457,957808.00625,123757.86338,3.4281036896,2300175.3376,1424283.746,65 years and over
按 教 育 程 度 別 分,,,,,,,,,Educational attainment
國 小 及 以 下,66830.292212,3.3650515675,1256419.6711,907826.96393,42096.850741,4.8598566133,2131257.1623,1331541.4395,Primary school and below
國（初） 中（初 職）,199247.47271,3.7776681339,1253060.6883,951808.18814,149327.34008,4.8414472979,2072878.4281,1349609.0818,Junior middle (vocational)
高 中,162772.65203,3.8486529647,1249969.0857,990933.45718,144253.55656,4.2322982455,2074142.9951,1311342.1474,High school
高 職,377039.18147,4.0271179811,1247244.723,995791.34077,287125.85681,4.5776519455,2130071.677,1356317.2443,Senior vocational school
專 科,306618.64708,3.6285013805,1254307.4349,1028511.1478,247646.01631,4.1235199619,2097240.1058,1370853.8871,Junior college
大 學 及 以 上,634406.7545,3.4506275688,1258255.0771,1019795.877,876466.37943,3.8091652183,2173785.6656,1435591.1729,College and above
