appleL03111年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 111 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8968428,582823,8385605,No. of households
平均每戶人數,2.83,3.11,2.81,No. of persons per household
平均每戶成年人數,2.42,2.78,2.4,No. of adults per household
平均每戶就業人數,1.34,1.87,1.3,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.86,1.77,No. of income recipients per household
一、所得收入總計,1340848,1145928,1354395,A.Total receipts
1.受僱人員報酬,747733,361808,774556,1.Compensation of employees
(1)本業薪資,546627,259003,566617,(1)Full time payroll
(2)兼業薪資,47948,37660,48663,(2)Part time payroll
(3)其他收入,153158,65144,159275,(3)Other receipts or subsidies
2.產業主所得,157772,350912,144348,2.Entrepreneurial income
3.財產所得收入,62195,42704,63550,3. Property income
4.自用住宅設算租金收入,77445,49728,79372,4.Imputed rent income
5.經常移轉收入,295661,340676,292532,5.Current transfer receipts
(1)從私人,71640,72125,71607,(1)From individuals
(2)從政府,68224,108624,65416,(2)From government
(3)社會保險受益,152534,157998,152154,(3)Benefit of social insurance
(4)從企業,2871,1894,2939,(4)From enterprises
(5)從國外,392,35,417,(5)From abroad
6.雜項收入,42,100,38,6.Miscellaneous receipts
二、非消費支出,232278,156420,237551,B.Nonconsumption expenditures
1.利息支出,11324,2213,11957,1.Interest
2.經常移轉支出,220954,154207,225594,2.Current transfer expenditures
(1)對私人,48380,33382,49422,(1)To private
(2)對政府,35398,21349,36375,(2)To government
(3)社會保險,134816,99358,137280,(3)Social insurance
(4)對國外,2360,118,2516,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 2 2,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,834537,717662,842660,C.Consumption expenditures
1.食品及非酒精飲料,118305,129563,117523,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8766,11743,8559,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22687,17324,23060,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,205629,131163,210805,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,188652,112819,193922,(1)Rent and water charges
(2)電費及燃料,16978,18344,16883,(2)Power and fuel
5.家具設備及家務維護,24479,16868,25008,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,148598,159686,147827,6.Health
7.交通,72787,74041,72700,7.Transport
(1)個人交通工具之購置,10934,12855,10801,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46400,49065,46215,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,7796,3611,8087,(3)Transport services
(4)汽、機車保險費,7657,8510,7598,(4)Insurance of vehicles
8.通訊,24068,22224,24196,8.Communication
9.休閒與文化,27091,16818,27804,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),4007,2136,4137,(1)Package holidays
(2)娛樂消遣及文化服務,11898,7859,12179,(2)Recreational and cultural services
(3)書報雜誌文具,3403,2593,3459,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7783,4230,8030,(4)Recreational facilities
10.教育,25813,16307,26474,10.Education
11.餐廳及旅館,114915,84842,117005,11.Restaurants and hotels
12.什項消費,41399,37085,41699,12.Miscellaneous goods and services
可支配所得,1108569,989508,1116845,Disposable income
消費支出,834537,717662,842660,Consumption expenditures
儲蓄,274032,271846,274184,Saving
所得總額,1406998,1189764,1422097,Current receipts
