appleL04101年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 101 年,,,單位：元,2 0 1 2 Unit:NT$,,,,,民 國 101 年,,單位：元,2 0 1 2 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
家庭戶數,8077323,391472,663018,1107041,487834,1223729,No. of households,,家庭戶數,407794,935403,904605,429126,1527302,No. of households
平均每戶人數,3.23,3.68,3.47,3.55,3.3,3.37,No. of persons per household,,平均每戶人數,3.07,3.81,3.83,3.22,1.95,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.74,2.65,2.77,2.67,2.64,No. of adults per household,,平均每戶成年人數,2.57,2.88,2.92,2.5099999999999998,1.79,No. of adults per household
平均每戶就業人數,1.46,1.85,1.66,1.78,1.6,1.81,No. of persons employed per household,,平均每戶就業人數,1.83,1.89,1.89,1.65,0.05,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.9,1.82,1.91,1.8,1.64,No. of income recipients per household,,平均每戶所得收入者人數,1.51,1.89,1.93,1.73,1.1200000000000001,No. of income recipients per household
一、所得收入總計,1122379,2182649,1730394,1474334,1161311,1051882,A.Total receipts,,一、所得收入總計,796291,1088969,1086289,813925,591182,A.Total receipts
1.受僱人員報酬,647332,1446240,1266593,1046405,814800,433416,1.Compensation of employees,,1.受僱人員報酬,180367,635481,688413,501446,150973,1.Compensation of employees
(1)本業薪資,480144,1085175,939366,767086,597433,334776,(1)Full time payroll,,(1)本業薪資,127320,541086,554233,418818,26968,(1)Full time payroll
(2)兼業薪資,42664,31958,50873,43001,51373,21497,(2)Part time payroll,,(2)兼業薪資,30335,10209,15588,18146,101875,(2)Part time payroll
(3)其他收入,124524,329107,276355,236318,165994,77143,(3)Other receipts or subsidies,,(3)其他收入,22712,84185,118592,64482,22130,(3)Other receipts or subsidies
2.產業主所得,148332,338341,125473,109647,38756,331135,2.Entrepreneurial income,,2.產業主所得,311205,184907,128402,46611,623,2.Entrepreneurial income
3.財產所得收入,47446,116622,70646,52964,42367,26962,3. Property income,,3.財產所得收入,21103,16215,16178,11505,88456,3. Property income
4.自用住宅設算租金收入,67398,111696,94464,81101,74228,63865,4.Imputed rent income,,4.自用住宅設算租金收入,42768,60309,58346,44134,57827,4.Imputed rent income
5.經常移轉收入,211718,169720,173145,184150,191086,196326,5.Current transfer receipts,,5.經常移轉收入,240692,191846,194822,209935,293074,5.Current transfer receipts
(1)從私人,57935,33008,39452,39653,52214,42986,(1)From individuals,,(1)從私人,53513,34535,33325,52011,131156,(1)From individuals
(2)從政府,50284,34314,33586,34373,39329,48107,(2)From government,,(2)從政府,87994,48102,47100,58926,69128,(2)From government
