appleL13107年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 107 年,,2 0 1 8,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,15304387,1292142,14012245,No. of income recipients
一、所得收入總計,655771,512239,669007,A.Total receipts
1.受僱人員報酬,396112,206508,413596,1.Compensation of employees
(1)本業薪資,295312,155219,308230,(1)Full time payroll
(2)兼業薪資,24270,16027,25030,(2)Part time payroll
(3)其他收入,76530,35262,80335,(3)Other receipts or subsidies
2.產業主所得,89720,164113,82859,2.Entrepreneurial income
(1)農業淨收入,11057,120820,935,(1)Net agricultural income
(2)營業淨收入,78663,43293,81925,(2)Net operation surplus
3.財產所得收入,29816,12957,31370,3. Property income
4.自用住宅設算租金收入,39951,28930,40967,4.Imputed rent income
5.經常移轉收入,100149,99695,100191,5.Current transfer receipts
(1)從私人,31967,24758,32631,(1)From individuals
(2)從政府,17394,28294,16388,(2)From government
(3)社會保險受益,49104,45570,49430,(3)Benefit of social insurance
(4)從企業,1063,830,1085,(4)From enterprises
(5)從國外,621,243,656,(5)From abroad
6.雜項收入,24,35,24,6.Miscellaneous receipts
二、非消費支出,108040,67442,111784,B.Nonconsumption expenditures
1.利息支出,5790,1178,6216,1.Interest
2.經常移轉支出,102250,66264,105568,2.Current transfer expenditures
(1)對私人,25981,16270,26877,(1)To private
(2)對政府,18639,11619,19286,(2)To government
(3)社會保險,56608,37927,58331,(3)Social insurance
(4)對國外,1022,448,1075,(4)To abroad
三、可支配所得,547731,444796,557223,C.Disposable income
