L10113年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 113 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(8)有線電視頻道設備(含多媒體隨選視訊),81.7,78.400000000000006,81.900000000000006,(8)Cable TV(MOD included)
(9)家用電腦,66.959999999999994,49.59,68.02,(9)Personal computer
(10)電話機,76.849999999999994,87.85,76.180000000000007,(10)Telephone
(11)行動電話,97.55,96.61,97.61,(11)Cell phone
(12)連網(使用電腦或其他設備),96.09,92.04,96.34,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2024"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 2 4,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,60.64,77.22,59.64,(13)Sedan vehicle
(14)機車,83.72,93.9,83.1,(14)Motorcycle
(15)電磁爐,33.89,28.32,34.229999999999997,(15)Electro-magnetic oven
(16)冷暖氣機,97.47,93.58,97.7,(16)Air conditioner
(17)除濕機,46.26,23.37,47.65,(17)Dehumidifier
(18)洗衣機,99.26,99.37,99.26,(18)Washing machine
(19)烘衣機,15.19,11.91,15.38,(19)Drier
(20)空氣清淨機,29.42,13.44,30.39,(20)Air-clean machine
(21)濾水器,42.84,27.99,43.75,(21)Water filter machine
(22)吸塵器,52.85,35.68,53.89,(22)Vacuum cleaner
(23)熱水器,99.8,99.41,99.82,(23)Geyser
(24)開飲機,36.549999999999997,51.1,35.659999999999997,(24)Hot-warm water fountain
(25)微波爐,50.41,40.020000000000003,51.05,(25)Microwave oven
(26)報紙,5.28,7.95,5.12,(26)Newspaper
(27)期刊雜誌,2.13,1.2,2.19,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,141.72,142.81,141.65,(1)Color TV
(2)數位影音光碟機,5.95,2.82,6.14,(2)DVD player
(3)攝影機,3.33,1.87,3.42,(3)Movies camera
(4)音響,14.25,10.68,14.47,(4)Stereo
(5)鋼琴(含電子琴),5.99,3.55,6.14,(5)Piano
(6)數位相機,7.54,3.18,7.8,(6)Digital camera
(7)電視遊樂器,12.62,3.14,13.19,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),82.64,79.13,82.85,(8)Cable TV(MOD included)
(9)家用電腦,115.77,75.63,118.21,(9)Personal computer
(10)電話機,77.709999999999994,88.78,77.040000000000006,(10)Telephone
(11)行動電話,240.18,256.87,239.17,(11)Cell phone
(12)汽車,72.61,104.1,70.7,(12)Sedan vehicle
(13)機車,152.52000000000001,196.32,149.86000000000001,(13)Motorcycle
(14)電磁爐,34.340000000000003,28.66,34.68,(14)Electro-magnetic oven
(15)冷暖氣機,276.12,262.08999999999997,276.97000000000003,(15)Air conditioner
(16)除濕機,61.22,30.85,63.07,(16)Dehumidifier
(17)洗衣機,103.04,107.55,102.77,(17)Washing machine
(18)烘衣機,15.29,11.91,15.49,(18)Drier
(19)空氣清淨機,36.76,15.94,38.020000000000003,(19)Air-clean machine
(20)濾水器,43.29,28.56,44.19,(20)Water filter machine
(21)吸塵器,62.25,42.14,63.47,(21)Vacuum cleaner
(22)熱水器,109.03,115.39,108.64,(22)Geyser
(23)開飲機,37.22,52.25,36.31,(23)Hot-warm water fountain
(24)微波爐,50.6,40.020000000000003,51.24,(24)Microwave oven
(25)報紙,5.37,8.0299999999999994,5.21,(25)Newspaper
(26)期刊雜誌,2.42,1.54,2.48,(26)Magazine
