L10109年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 109 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
家庭戶數,8829466,583855,8245611,No. of households
平均每戶人數,2.92,3.08,2.91,No. of persons per household
平均每戶成年人數,2.48,2.68,2.46,No. of adults per household
平均每戶就業人數,1.37,1.85,1.33,No. of persons employed per household
平均每戶所得收入者人數,1.76,1.81,1.76,No. of income recipients per household
一、家庭住宅概況(％),,,,A.Housing (%)
1.住宅所有權,,,,1.By tenure of dwelling
(1)自有(戶內經常   居住成員所擁有),84.68,95.79,83.9,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,4.9000000000000004,2.11,5.09,"(2)Owned by spouse, parentsor children not living together"
(3)租押,7.63,0.99,8.1,(3)Rented
(4)其他(含配住及借用),2.79,1.1200000000000001,2.91,(4)Allotted and others
2.住宅用途,,,,2.By usage of dwelling
(1)專用,96.95,96.79,96.97,(1)Independent
(2)併用,3.05,3.21,3.03,(2)Connected
3.建築式樣,,,,3.By style of building
(1)平房,8.52,30.01,7,(1)One story
(2)二～三層樓,36.869999999999997,62.16,35.08,(2)Two or three stories
(3)四～五層樓,30.64,6.48,32.35,(3)Four or five stories
(4)六層樓以上,23.97,1.35,25.58,"(4)Apartment, six stories or over"
4.具有自來水設備,97.11,88.87,97.69,4.Piped water equipment
5.有車家庭停車位情形,,,,5.Parking lot
(1)自有停車位,50.6,71.959999999999994,48.78,(1)Self-owned
(2)租借停車位,15.25,3.69,16.23,(2)Rented
(3)無停車位,34.159999999999997,24.35,34.99,(3)None
6.每戶建坪平均數(坪),44.92,53.58,44.31,6.Space per household average (pin)
7.每戶建坪中位數(坪),38,50,37,7.Space per household median (pin)
二、家庭主要設備,,,,B.Main household equipment (%)
1.普及率(％),,,,1.Percentage of household with equip.
(1)彩色電視機,98.78,99.6,98.72,(1)Color TV
一般彩色電視機,5.12,8.99,4.8499999999999996,Non-LCD TV
液晶、電漿電視,96.19,94.57,96.3,LCD、PDP TV
(2)數位影音光碟機,11.16,5.86,11.54,(2)DVD player
(3)攝影機,3.34,2.75,3.38,(3)Movies camera
(4)音響,19.2,15.11,19.489999999999998,(4)Stereo
(5)鋼琴(含電子琴),6.68,2.4700000000000002,6.98,(5)Piano
