appleL0399年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 99 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,7840923,791033,7049890,No. of households
平均每戶人數,3.25,3.45,3.23,No. of persons per household
平均每戶成年人數,2.5299999999999998,2.79,2.5,No. of adults per household
平均每戶就業人數,1.44,1.78,1.4,No. of persons employed per household
平均每戶所得收入者人數,1.62,1.71,1.61,No. of income recipients per household
一、所得收入總計,1071938,833770,1098662,A.Total receipts
1.受僱人員報酬,619014,339681,650357,1.Compensation of employees
(1)本業薪資,463898,265018,486214,(1)Full time payroll
(2)兼業薪資,38575,20797,40570,(2)Part time payroll
(3)其他收入,116541,53865,123573,(3)Other receipts or subsidies
2.產業主所得,145430,201566,139131,2.Entrepreneurial income
3.財產所得收入,48387,22847,51253,3. Property income
4.自用住宅設算租金收入,65885,48198,67870,4.Imputed rent income
5.經常移轉收入,193047,221285,189878,5.Current transfer receipts
(1)從私人,59536,47131,60928,(1)From individuals
(2)從政府,47575,84309,43453,(2)From government
(3)社會保險受益,83174,88467,82580,(3)Benefit of social insurance
(4)從企業,1396,1215,1417,(4)From enterprises
(5)從國外,1365,163,1500,(5)From abroad
6.雜項收入,174,194,172,6.Miscellaneous receipts
二、非消費支出,182585,130937,188380,B.Nonconsumption expenditures
1.利息支出,12825,2973,13930,1.Interest
2.經常移轉支出,169760,127963,174450,2.Current transfer expenditures
(1)對私人,43435,34388,44450,(1)To private
(2)對政府,29467,20852,30434,(2)To government
(3)社會保險,93834,70711,96428,(3)Social insurance
(4)對國外,3025,2012,3139,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2010"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 0,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,702292,574317,716652,C.Consumption expenditures
1.食品及非酒精飲料,107662,101589,108344,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9201,10417,9065,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22664,17034,23296,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,172576,119302,178554,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,152036,99288,157954,(1)Rent and water charges
(2)電費及燃料,20540,20013,20599,(2)Power and fuel
5.家具設備及家務維護,17429,13359,17886,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,101089,107558,100363,6.Health
7.交通,64650,58280,65365,7.Transport
(1)個人交通工具之購置,7574,4894,7875,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43536,42787,43620,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9496,6133,9873,(3)Transport services
(4)汽、機車保險費,4045,4466,3998,(4)Insurance of vehicles
8.通訊,23283,17918,23885,8.Communication
9.休閒與文化,37247,24099,38722,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),13888,7842,14566,(1)Package holidays
(2)娛樂消遣及文化服務,9795,6656,10147,(2)Recreational and cultural services
(3)書報雜誌文具,6089,4709,6244,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7475,4891,7765,(4)Recreational facilities
10.教育,40054,29092,41285,10.Education
11.餐廳及旅館,68195,44824,70817,11.Restaurants and hotels
12.什項消費,38241,30846,39071,12.Miscellaneous goods and services
可支配所得,889353,702834,910281,Disposable income
消費支出,702292,574317,716652,Consumption expenditures
儲蓄,187061,128517,193630,Saving
所得總額,1123761,869150,1152330,Current receipts
