appleL05110年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2021"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 110 年,,,,單位：元,2 0 2 1 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8919896,1244633,1813282,963983,2944951,85576,1038783,828687,No. of households
平均每戶人數,2.89,1,2,2.38,3.62,2.89,5.14,2.79,No. of persons per household
平均每戶成年人數,2.46,1,2,2.11,2.94,2.2000000000000002,3.83,2.62,No. of adults per household
平均每戶就業人數,1.35,0.47,0.7,1.28,1.85,0.95,2.21,1.37,No. of persons employed per household
平均每戶所得收入者人數,1.79,1,1.46,1.61,2.1,1.54,2.56,1.85,No. of income recipients per household
一、所得收入總計,1314023,571413,1006725,1063640,1746255,938314,1835901,1241606,A.Total receipts
1.受僱人員報酬,732783,233946,407107,625846,1107012,357742,1033048,651449,1.Compensation of employees
(1)本業薪資,539122,171133,248241,490972,822461,269792,785128,496835,(1)Full time payroll
(2)兼業薪資,47219,20967,90637,22434,46417,27883,38696,36004,(2)Part time payroll
(3)其他收入,146442,41846,68229,112440,238133,60067,209223,118610,(3)Other receipts or subsidies
2.產業主所得,154289,55228,127438,88187,209608,82025,243038,138341,2.Entrepreneurial income
3.財產所得收入,57048,32912,76257,37779,67833,45606,51098,43992,3. Property income
4.自用住宅設算租金收入,76477,46747,77270,64312,90481,60188,88747,70076,4.Imputed rent income
5.經常移轉收入,293389,202535,318635,247440,271294,392610,419924,337705,5.Current transfer receipts
(1)從私人,69363,82577,96252,57897,43995,132808,72848,83250,(1)From individuals
(2)從政府,73931,51052,59165,72119,71515,99472,120929,89744,(2)From government
(3)社會保險受益,146818,67111,160253,114378,153076,154196,220932,158964,(3)Benefit of social insurance
(4)從企業,2390,740,2226,2990,2645,3143,4305,1151,(4)From enterprises
(5)從國外,886,1056,739,56,64,2990,910,4596,(5)From abroad
6.雜項收入,38,45,18,76,28,143,46,43,6.Miscellaneous receipts
二、非消費支出,223469,82770,153135,167703,326229,115425,298903,204975,B.Nonconsumption expenditures
1.利息支出,10684,6475,6860,8115,17178,3985,8706,8455,1.Interest
2.經常移轉支出,212785,76294,146275,159588,309051,111440,290197,196521,2.Current transfer expenditures
(1)對私人,46078,20898,45678,25848,64764,21151,46397,44068,(1)To private
(2)對政府,34601,13735,31948,19768,51907,14889,36467,27197,(2)To government
(3)社會保險,130305,39972,65617,113339,191393,66567,205724,122207,(3)Social insurance
(4)對國外,1801,1689,3031,633,986,8832,1610,3048,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
110年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2021"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 110 年,,,,單位：元,2 0 2 1 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,815442,381279,652003,666213,1029622,692246,1190414,780289,C.Consumption expenditures
1.食品及非酒精飲料,119642,44682,99910,91708,145832,116224,198993,115714,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9381,5239,6680,7702,10687,7399,15571,11268,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22299,8678,15339,17954,30526,16599,33976,19759,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,200444,143974,190575,178625,234841,162588,218786,190911,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,183294,135030,176056,163588,214846,146052,193037,174053,(1)Rent and water charges
(2)電費及燃料,17149,8944,14519,15037,19995,16536,25748,16858,(2)Power and fuel
5.家具設備及家務維護,23978,11360,21695,17735,31431,17036,29018,23103,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,144966,61837,134823,116316,162392,158724,229289,156290,6.Health
7.交通,73598,25907,52491,54522,103691,38657,111043,63331,7.Transport
(1)個人交通工具之購置,13345,4151,7222,9791,21241,107,21582,7670,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45749,15570,34285,32694,62683,27966,69529,43193,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,7442,3833,5281,7464,10090,5981,9084,6250,(3)Transport services
(4)汽、機車保險費,7062,2353,5704,4572,9678,4604,10848,6218,(4)Insurance of vehicles
8.通訊,23833,9495,16073,21298,31851,19166,35507,22646,8.Communication
9.休閒與文化,25018,11821,18053,20505,35300,19986,32633,19759,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),2591,1099,2792,1727,3536,1603,2850,1814,(1)Package holidays
(2)娛樂消遣及文化服務,11610,6719,8780,9932,15645,9413,13973,10029,(2)Recreational and cultural services
(3)書報雜誌文具,3542,650,1085,2835,5712,3172,7054,2004,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7275,3353,5395,6011,10407,5798,8755,5911,(4)Recreational facilities
10.教育,26701,326,250,15931,50740,20691,59474,10828,10.Education
11.餐廳及旅館,104169,37962,62964,92246,142719,78582,162536,100120,11.Restaurants and hotels
12.什項消費,41414,20000,33150,31671,49613,36594,63587,46560,12.Miscellaneous goods and services
可支配所得,1090554,488644,853590,895937,1420027,822889,1536998,1036630,Disposable income
消費支出,815442,381279,652003,666213,1029622,692246,1190414,780289,Consumption expenditures
儲蓄,275112,107364,201587,229724,390405,130643,346584,256341,Saving
所得總額,1378390,613210,1073735,1117716,1821872,991595,1905228,1301007,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
