appleL0283年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
8.家事管理,10542,3253,5621,13666,13273,10534,9437,9286,8926,20058,8.Household operations
9.保健及醫療,46365,21302,38396,43866,45383,49066,58866,67683,70332,86463,9.Health care and medical
10.運輸交通及通訊,53894,14358,27868,49665,63990,63950,61620,70024,71914,92300,10.Transport and communications
(1)交通及通訊工具之購置,13322,1647,5120,11935,16998,17174,14517,16553,17232,18335,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,22880,5312,11175,21058,27101,26792,26777,31301,32179,45566,(2)Operation of transport equipment
(3)乘交通設備之費用,8617,4176,6011,7799,9581,9790,10271,10793,10266,10617,(3)Purchased transportation
(4)其他通訊費,5152,2461,3918,5315,5540,5563,5622,5885,6627,8477,(4)Other communications
(5)汽機車保險費支出,3922,763,1644,3558,4769,4631,4433,5493,5610,9306,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,73582,17474,32776,59167,90302,93000,93635,90232,88056,107386,"11.Recreation ,education and culture"
(1)旅遊費用,22844,9893,17841,23809,26575,22977,24309,22721,25835,37561,(1)Traveling
(2)娛樂消遣服務,7096,2898,4512,6773,8592,7815,7767,8004,7954,9265,(2)Recreation service
(3)書報雜誌文具,5175,1554,2822,4574,6387,6087,6028,6018,6009,7036,(3)Books and stationery
(4)娛樂器材及附屬品,7515,2716,4543,7291,9544,8302,7465,8394,7422,9846,(4)Recreation facilities
(5)教育與研究費,30952,414,3058,16720,39205,47819,48066,45094,40836,43678,(5)Education and research
12.什項消費,38236,13114,26464,37294,43584,41280,42773,47532,49166,70906,12.Miscellaneous
可支配所得,769755,290709,489099,727794,844842,855112,905274,1051858,1190672,1487456,Disposable income
消費支出,545987,204822,342276,501493,611101,627121,652360,700840,740038,920512,Consumption expenditures
儲蓄,223768,85887,146823,226301,233741,227992,252914,351018,450635,566944,Saving
所得總額,948941,362954,612921,902063,1054924,1049376,1098874,1256705,1416715,1751728,Current receipts
