appleL0691年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2002"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 91 年,,,單位：元,2 0 0 2 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,6839390,1367878,1367878,1367878,1367878,1367878,No. of households
平均每戶人數,3.65,2.16,3.32,3.92,4.2699999999999996,4.57,No. of persons per household
平均每戶成年人數,2.63,1.78,2.2999999999999998,2.67,3.01,3.36,No. of adults per household
平均每戶就業人數,1.57,0.7,1.25,1.62,1.98,2.3199999999999998,No. of persons employed per household
平均每戶所得收入者人數,1.65,1.06,1.3,1.6,1.96,2.34,No. of income recipients per household
一、所得收入總計,1064153,363033,666859,910059,1223928,2156884,A.Total receipts
1.受僱人員報酬,604696,109913,325664,492768,735687,1359448,1.Compensation of employees
(1)本業薪資,466445,86106,261391,394128,578829,1011774,(1)Full time payroll
(2)兼業薪資,33776,13345,23377,24083,28764,79309,(2)Part time payroll
(3)其他收入,104475,10463,40897,74557,128094,268365,(3)Other receipts or subsidies
2.產業主所得,177074,45161,118115,172952,210486,338658,2.Entrepreneurial income
3.財產所得收入,54279,18273,28763,34221,48894,141244,3. Property income
4.自用住宅設算租金收入,62785,34808,50566,59022,71231,98297,4.Imputed rent income
5.經常移轉收入,165148,154650,143620,150924,157452,219095,5.Current transfer receipts
(1)從私人,46837,62164,45428,39744,38175,48675,(1)From individuals
(2)從政府,35111,50804,35283,34224,28399,26845,(2)From government
(3)社會保險受益,80493,41268,61614,76118,88401,135064,(3)Benefit of social insurance
(4)從企業,1655,153,228,477,789,6628,(4)From enterprises
(5)從國外,1052,260,1067,360,1687,1884,(5)From abroad
6.雜項收入,170,228,130,172,179,142,6.Miscellaneous receipts
二、非消費支出,188234,70920,128275,166172,218654,357151,B.Nonconsumption expenditures
1.利息支出,32118,15231,28980,32932,38381,45066,1.Interest
2.經常移轉支出,156116,55689,99295,133240,180274,312086,2.Current transfer expenditures
(1)對私人,47185,19508,30633,39361,52975,93446,(1)To private
(2)對政府,34826,7748,17133,24561,37327,87358,(2)To government
(3)社會保險,69198,25611,49658,67068,86081,117572,(3)Social insurance
(4)對國外,4908,2821,1871,2249,3891,13709,(4)To abroad
,,,,,,,
91年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2002"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 91 年,,,單位：元,2 0 0 2 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,672619,302415,500714,647533,804065,1108368,C.Consumption expenditures
1.食品費,149335,73348,118663,156261,181034,217370,1.Food
2.飲料費,6208,2959,4681,6038,7671,9689,2.Beverage
3.菸草,6213,4125,6156,6724,7399,6664,3.Tobacco
4.衣著、鞋、襪類,23958,8171,15903,21875,29291,44548,4.Clothing and footwear
5.房地租及水費,140356,81770,116452,132553,158654,212351,5.Rent and water charges
6.燃料及燈光,19093,11769,16906,19674,22041,25073,6.Fuel and light
7.家具及家庭設備,11211,3403,6387,9345,13772,23145,7.Furniture and family facilities
8.家事管理,13750,4818,8073,10593,15989,29276,8.Household operations
9.保健及醫療,82627,47071,66024,83065,96023,120951,9.Health care and medical
10.運輸交通及通訊,82248,25202,54662,75984,102109,153281,10.Transport and communications
(1)交通及通訊工具之購置,12659,1623,5364,8281,14432,33595,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,35857,10619,25148,35425,46167,61927,(2)Operation of transport equipment
(3)乘交通設備之費用,8653,3992,6029,8198,10482,14562,(3)Purchased transportation
(4)其他通訊費,20219,7562,14915,19522,25065,34032,(4)Other communications
(5)汽機車保險費支出,4859,1405,3205,4559,5962,9165,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,90919,23726,57773,84559,113960,174575,"11.Recreation ,education and culture"
(1)旅遊費用,21449,5885,9932,14949,23982,52495,(1)Traveling
(2)娛樂消遣服務,9453,4554,7451,9041,10965,15254,(2)Recreation service
(3)書報雜誌文具,5066,1484,3438,4746,6107,9554,(3)Books and stationery
(4)娛樂器材及附屬品,7967,2145,4416,6770,9492,17011,(4)Recreation facilities
(5)教育與研究費,46984,9658,32535,49053,63414,80261,(5)Education and research
12.什項消費,46703,16053,29033,40862,56121,91444,12.Miscellaneous
可支配所得,875919,292113,538584,743888,1005274,1799733,Disposable income
消費支出,672619,302415,500714,647533,804065,1108368,Consumption expenditures
儲蓄,203300,-10302,37871,96355,201210,691365,Saving
所得總額,1111550,390541,705005,955366,1277010,2229826,Current receipts
