作者不明2026-08-13T18:04:37.425L12114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 114 年,,,,單位：元,2 0 2 5 Unit:NT$,,,,,民 國 114 年,,,,單位：元,2 0 2 5 Unit:NT$,,,,,民 國 114 年,,,,單位：元,2 0 2 5 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
所得收入者人數,17419907,3340765,2125201,1798723,2033905,1342906,2194441,No. of income recipients,,所得收入者人數,326687,418545,383823,710177,312930,403783,311903,No. of income recipients,,所得收入者人數,516928,128014,200374,69040,266380,348792,186589,No. of income recipients
一、所得收入總計(中位數),626757,666947,740521,660032,621290,572679,625212,A.Total receipts(median),,一、所得收入總計(中位數),564897,722286,591464,529527,493629,540892,478303,A.Total receipts(median),,一、所得收入總計(中位數),542188,506199,532217,540833,608780,717257,637176,A.Total receipts(median)
二、所得收入總計(平均數),763882,762413,909339,791474,778173,671496,756563,B.Total receipts(mean),,二、所得收入總計(平均數),637359,1094222,703714,620808,579783,620282,582176,B.Total receipts(mean),,二、所得收入總計(平均數),631901,597260,641282,647540,658698,1061496,783247,B.Total receipts(mean)
1.受僱人員報酬,447973,466894,544360,481322,428078,401050,444538,1.Compensation of employees,,1.受僱人員報酬,315030,799135,418835,340729,289521,264808,262543,1.Compensation of employees,,1.受僱人員報酬,320630,287018,313432,323730,407667,697335,415196,1.Compensation of employees
(1)本業薪資,325860,361930,403274,353857,318127,278646,313823,(1)Full time payroll,,(1)本業薪資,234839,486675,300386,261154,199139,199045,179123,(1)Full time payroll,,(1)本業薪資,218947,195745,231279,214225,304427,427389,292842,(1)Full time payroll
(2)兼業薪資,27604,18083,32660,18328,29989,32337,33010,(2)Part time payroll,,(2)兼業薪資,20564,31618,31906,21339,42715,13519,46208,(2)Part time payroll,,(2)兼業薪資,43588,45517,37550,42224,24090,17374,50078,(2)Part time payroll
(3)其他收入,94509,86880,108426,109137,79963,90067,97705,(3)Other receipts or subsidies,,(3)其他收入,59627,280843,86544,58235,47667,52244,37212,(3)Other receipts or subsidies,,(3)其他收入,58096,45756,44603,67282,79151,252572,72276,(3)Other receipts or subsidies
2.產業主所得,90944,62654,81133,87761,113018,82515,95618,2.Entrepreneurial income,,2.產業主所得,114442,87004,96891,102628,97896,152697,97323,2.Entrepreneurial income,,2.產業主所得,124532,135476,115441,101955,40665,110354,141482,2.Entrepreneurial income
(1)農業淨收入,8477,103,210,1280,6784,12934,6124,(1)Net agricultural income,,(1)農業淨收入,12373,4399,14864,20664,24932,67222,31436,(1)Net agricultural income,,(1)農業淨收入,38087,40235,13379,17166,0,0,1301,(1)Net agricultural income
(2)營業淨收入,82467,62551,80923,86481,106234,69581,89494,(2)Net operation surplus,,(2)營業淨收入,102068,82605,82028,81964,72964,85475,65886,(2)Net operation surplus,,(2)營業淨收入,86445,95241,102061,84789,40665,110354,140181,(2)Net operation surplus
3.財產所得收入,40781,35936,88690,41432,46570,23409,39164,3. Property income,,3.財產所得收入,16127,55190,24364,13895,21936,12194,33171,3. Property income,,3.財產所得收入,16366,7405,11824,17826,13835,68108,27167,3. Property income
4.自用住宅設算租金收入,42973,48529,48382,57967,41913,38674,42697,4.Imputed rent income,,4.自用住宅設算租金收入,35654,36642,28663,28341,28272,25429,33914,4.Imputed rent income,,4.自用住宅設算租金收入,27383,21531,36570,32528,37128,49415,37932,4.Imputed rent income
5.經常移轉收入,141197,148397,146773,122979,148587,125810,134533,5.Current transfer receipts,,5.經常移轉收入,156103,116250,134904,135191,142152,165047,155226,5.Current transfer receipts,,5.經常移轉收入,142975,145808,163988,171475,159402,136234,161466,5.Current transfer receipts
(1)從私人,36156,46856,44556,26387,46217,25420,29985,(1)From individuals,,(1)從私人,37265,17855,31394,26844,20398,34701,36239,(1)From individuals,,(1)從私人,28536,27124,32173,24572,39444,29889,39886,(1)From individuals
(2)從政府,33417,30197,28579,33561,33019,34881,31355,(2)From government,,(2)從政府,35129,35209,35618,35220,35970,51832,48903,(2)From government,,(2)從政府,39429,45111,39678,47049,35510,36846,28565,(2)From government
(3)社會保險受益,69498,70583,72196,60140,66249,63229,70345,(3)Benefit of social insurance,,(3)社會保險受益,82735,61694,62164,71352,84093,75636,69234,(3)Benefit of social insurance,,(3)社會保險受益,73469,71908,89651,99191,81692,65380,90219,(3)Benefit of social insurance
(4)從企業,1642,623,570,2395,2693,1450,2252,(4)From enterprises,,(4)從企業,974,1245,2597,1775,1691,2866,851,(4)From enterprises,,(4)從企業,1540,1666,2487,663,2658,2313,2794,(4)From enterprises
(5)從國外,484,138,872,496,409,830,595,(5)From abroad,,(5)從國外,0,247,3131,0,0,13,0,(5)From abroad,,(5)從國外,0,0,0,0,99,1805,0,(5)From abroad
