appleL06109年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 109 年,,,單位：元,2 0 2 0 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8829466,1765893,1765893,1765893,1765893,1765894,No. of households
平均每戶人數,2.92,1.6,2.3199999999999998,3.04,3.57,4.09,No. of persons per household
平均每戶成年人數,2.48,1.54,2.04,2.5099999999999998,2.95,3.35,No. of adults per household
平均每戶就業人數,1.37,0.39,0.93,1.4,1.82,2.2999999999999998,No. of persons employed per household
平均每戶所得收入者人數,1.76,1.1000000000000001,1.35,1.71,2.11,2.5499999999999998,No. of income recipients per household
一、所得收入總計,1293719,414167,779163,1116780,1535528,2622958,A.Total receipts
1.受僱人員報酬,725932,91633,344943,608551,933852,1650679,1.Compensation of employees
(1)本業薪資,537318,73638,260092,457733,699209,1195920,(1)Full time payroll
(2)兼業薪資,46561,6452,32207,46452,56195,91497,(2)Part time payroll
(3)其他收入,142053,11543,52645,104366,178448,363262,(3)Other receipts or subsidies
2.產業主所得,155828,26887,80568,125082,172467,374136,2.Entrepreneurial income
3.財產所得收入,56716,14457,28890,37328,48448,154458,3. Property income
4.自用住宅設算租金收入,76072,40126,63108,69424,89520,118180,4.Imputed rent income
5.經常移轉收入,279122,240975,261611,276336,291209,325477,5.Current transfer receipts
(1)從私人,71247,89687,87764,70300,57018,51465,(1)From individuals
(2)從政府,61052,64214,60792,63378,59217,57660,(2)From government
(3)社會保險受益,143566,86392,111748,140631,171035,208025,(3)Benefit of social insurance
(4)從企業,2767,549,975,1222,3405,7685,(4)From enterprises
(5)從國外,489,133,333,804,534,642,(5)From abroad
6.雜項收入,50,88,43,59,31,28,6.Miscellaneous receipts
二、非消費支出,214071,59207,121850,187228,255505,446563,B.Nonconsumption expenditures
1.利息支出,10589,2136,6170,10012,12977,21653,1.Interest
2.經常移轉支出,203481,57071,115680,177216,242529,424911,2.Current transfer expenditures
(1)對私人,47164,15714,27516,38375,53297,100920,(1)To private
(2)對政府,34291,7485,14387,22155,30523,96906,(2)To government
(3)社會保險,120668,33025,73007,115488,158192,223626,(3)Social insurance
(4)對國外,1358,847,769,1198,517,3459,(4)To abroad
,,,,,,,
109年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 109 年,,,單位：元,2 0 2 0 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,815100,372529,586597,785424,984604,1346345,C.Consumption expenditures
1.食品及非酒精飲料,118015,67752,93021,119496,141154,168654,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9187,4674,7696,9725,11371,12470,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22396,7864,13764,20579,27400,42371,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,198145,117058,166094,191117,223533,292923,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,180916,105720,151444,173512,203751,270153,(1)Rent and water charges
(2)電費及燃料,17229,11338,14650,17604,19782,22770,(2)Power and fuel
5.家具設備及家務維護,22907,8091,14655,20743,26974,44072,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,139010,65095,97289,134202,174173,224293,6.Health
7.交通,72553,24746,44549,66770,88617,138080,7.Transport
(1)個人交通工具之購置,13425,3285,6159,9080,14458,34142,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43889,15772,28584,43698,55640,75750,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,8462,3303,5609,7728,10475,15196,(3)Transport services
(4)汽、機車保險費,6777,2386,4198,6264,8044,12992,(4)Insurance of vehicles
8.通訊,23191,9677,16497,23481,29030,37272,8.Communication
9.休閒與文化,33993,10321,20357,29998,38677,70610,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),12056,1570,6590,9522,12876,29724,(1)Package holidays
(2)娛樂消遣及文化服務,11550,5849,8040,10687,12795,20377,(2)Recreational and cultural services
(3)書報雜誌文具,3582,762,2003,3738,4724,6684,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6804,2139,3724,6050,8283,13826,(4)Recreational facilities
10.教育,27471,2829,11521,26262,38336,58407,10.Education
11.餐廳及旅館,106533,38482,74379,105871,135587,178346,11.Restaurants and hotels
12.什項消費,41699,15940,26776,37181,49751,78847,12.Miscellaneous goods and services
可支配所得,1079648,354959,657313,929551,1280022,2176394,Disposable income
消費支出,815100,372529,586597,785424,984604,1346345,Consumption expenditures
儲蓄,264548,-17569,70716,144128,295418,830049,Saving
所得總額,1356343,451030,828548,1177869,1607827,2716440,Current receipts
