appleL0596年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 96 年,,,,單位：元,2 0 0 7 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7414281,711519,1179758,702348,3200101,98159,1087238,435159,No. of households
平均每戶人數,3.38,1,2,2.72,3.93,3.12,5.46,2.91,No. of persons per household
平均每戶成年人數,2.57,1,2,2.1,2.8,2.08,3.86,2.66,No. of adults per household
平均每戶就業人數,1.5,0.49,0.78,1.35,1.84,0.83,2.14,1.4,No. of persons employed per household
平均每戶所得收入者人數,1.66,1,1.23,1.53,1.83,1.33,2.16,1.63,No. of income recipients per household
一、所得收入總計,1108674,455814,765640,857468,1346272,712742,1434642,1039207,A.Total receipts
1.受僱人員報酬,640733,196326,307267,508648,849578,209125,834506,562012,1.Compensation of employees
(1)本業薪資,485369,142955,183855,409796,652014,147438,647432,430477,(1)Full time payroll
(2)兼業薪資,37132,19114,74891,21226,32527,35545,32392,35957,(2)Part time payroll
(3)其他收入,118233,34256,48521,77626,165038,26142,154682,95579,(3)Other receipts or subsidies
2.產業主所得,160457,43918,103364,95157,208994,81024,220614,121855,2.Entrepreneurial income
3.財產所得收入,54538,34869,71284,31366,58318,50440,55136,50338,3. Property income
4.自用住宅設算租金收入,65747,42889,61700,53765,73215,58369,72010,64538,4.Imputed rent income
5.經常移轉收入,187030,137614,221847,168302,156022,313473,252215,240310,5.Current transfer receipts
(1)從私人,53986,65559,88305,59347,32191,142189,50679,82008,(1)From individuals
(2)從政府,42184,33853,57598,39207,30812,70021,59571,52733,(2)From government
(3)社會保險受益,86893,35127,73487,66980,90411,95079,138088,84390,(3)Benefit of social insurance
(4)從企業,2279,373,1639,1679,2485,1194,2085,7308,(4)From enterprises
(5)從國外,1689,2703,818,1089,123,4989,1793,13872,(5)From abroad
6.雜項收入,168,198,178,230,145,311,160,154,6.Miscellaneous receipts
二、非消費支出,184800,72064,118612,127405,238146,82773,224893,171756,B.Nonconsumption expenditures
1.利息支出,18278,8549,9821,15861,25399,5475,15810,17701,1.Interest
2.經常移轉支出,166522,63515,108791,111544,212747,77298,209082,154055,2.Current transfer expenditures
(1)對私人,51717,30806,45009,28853,64079,31402,51955,54081,(1)To private
(2)對政府,35131,12280,23071,23107,46132,12432,42295,30923,(2)To government
(3)社會保險,76943,19436,35195,58946,100269,33292,111995,63929,(3)Social insurance
(4)對國外,2731,993,5516,638,2267,172,2838,5122,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
96年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 96 年,,,,單位：元,2 0 0 7 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,716094,305082,491124,573515,856300,536265,946731,661434,C.Consumption expenditures
1.食品費,160563,54799,99342,131004,192166,127822,230445,147555,1.Food
2.飲料費,6525,2853,4248,5204,7829,4352,8651,6420,2.Beverage
3.菸草,6212,2982,3944,4702,7052,2579,9596,6260,3.Tobacco
4.衣著、鞋、襪類,23431,8590,13447,18428,29569,13367,30828,21488,4.Clothing and footwear
5.房地租及水費,147927,99250,129425,134091,167282,123955,155681,143714,5.Rent and water charges
6.燃料及燈光,20465,9921,15649,17951,22923,18029,27601,19460,6.Fuel and light
7.家具及家庭設備,12358,5126,9705,8311,14872,6928,14770,14611,7.Furniture and family facilities
8.家事管理,12151,6545,8091,8468,15263,6797,14097,11719,8.Household operations
9.保健及醫療,102407,46284,91429,76107,104295,105829,162587,101379,9.Health care and medical
10.運輸交通及通訊,89256,28199,48195,67106,115337,41453,119087,80611,10.Transport and communications
(1)交通及通訊工具之購置,8632,2455,3177,3711,12474,229,12145,6330,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,45103,12138,25314,30929,58129,18126,62685,41894,(2)Operation of transport equipment
(3)乘交通設備之費用,7929,4037,4906,7765,9690,6551,9036,7341,(3)Purchased transportation
(4)其他通訊費,22769,8190,11945,21362,28891,14354,28636,20446,(4)Other communications
(5)汽機車保險費支出,4822,1378,2853,3340,6152,2193,6585,4600,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,89680,22837,36812,66398,126203,55463,113267,60081,"11.Recreation ,education and culture"
(1)旅遊費用,22149,10933,22116,13001,26092,12053,24087,23778,(1)Traveling
(2)娛樂消遣服務,8372,5428,6637,8062,9495,6858,9214,8374,(2)Recreation service
(3)書報雜誌文具,3871,1378,2060,2904,5174,2585,4818,2765,(3)Books and stationery
(4)娛樂器材及附屬品,9045,3839,5029,6374,11991,4870,10202,9143,(4)Recreation facilities
(5)教育與研究費,46243,1259,971,36056,73451,29098,64946,16022,(5)Education and research
12.什項消費,45120,17695,30836,35745,53509,29690,60122,48134,12.Miscellaneous
可支配所得,923874,383750,647028,730063,1108127,629968,1209749,867452,Disposable income
消費支出,716094,305082,491124,573515,856300,536265,946731,661434,Consumption expenditures
儲蓄,207780,78668,155904,156548,251827,93703,263017,206018,Saving
所得總額,1162366,490680,815042,901077,1406469,762765,1493251,1092307,Current receipts
