appleL05106年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 106 年,,,,單位：元,2 0 1 7 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8559187,1036876,1600688,859111,3056210,94670,1179085,732548,No. of households
平均每戶人數,3.07,1,2,2.46,3.71,2.81,5.19,2.98,No. of persons per household
平均每戶成年人數,2.54,1,2,2.08,2.93,2.0699999999999998,3.83,2.77,No. of adults per household
平均每戶就業人數,1.43,0.49,0.7,1.28,1.89,0.84,2.17,1.49,No. of persons employed per household
平均每戶所得收入者人數,1.75,1,1.34,1.54,2.02,1.53,2.39,1.81,No. of income recipients per household
一、所得收入總計,1231112,506202,919509,926023,1591683,838069,1636524,1189804,A.Total receipts
1.受僱人員報酬,695838,205502,339916,557368,1024990,336975,923801,636221,1.Compensation of employees
(1)本業薪資,517444,148804,198010,441325,771037,242016,713443,488625,(1)Full time payroll
(2)兼業薪資,43307,20468,87025,19010,41724,48372,32207,32421,(2)Part time payroll
(3)其他收入,135086,36230,54881,97034,212229,46586,178151,115175,(3)Other receipts or subsidies
2.產業主所得,156791,52079,126569,75466,203181,62025,241859,148201,2.Entrepreneurial income
3.財產所得收入,55466,23438,80853,33195,62922,44876,53701,44549,3. Property income
4.自用住宅設算租金收入,73780,46602,74796,58872,83974,64257,84370,69173,4.Imputed rent income
5.經常移轉收入,249137,178462,297272,200970,216537,329848,332693,291567,5.Current transfer receipts
(1)從私人,70221,88297,114614,61559,38798,146305,62706,91154,(1)From individuals
(2)從政府,48115,34003,45312,49057,42156,57458,72329,57788,(2)From government
(3)社會保險受益,127233,53627,133803,88509,132691,123312,191661,136506,(3)Benefit of social insurance
(4)從企業,2147,1460,2400,1679,2586,901,2047,1610,(4)From enterprises
(5)從國外,1420,1074,1142,166,306,1871,3949,4509,(5)From abroad
6.雜項收入,100,119,103,152,78,89,101,93,6.Miscellaneous receipts
二、非消費支出,212171,77995,142833,144013,300036,91308,264831,197818,B.Nonconsumption expenditures
1.利息支出,10838,6484,6681,7209,16823,2736,8821,9658,1.Interest
