appleL05107年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 107 年,,,,單位：元,2 0 1 8 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8643140,1107095,1622177,830683,2997838,114337,1211717,759293,No. of households
平均每戶人數,3.05,1,2,2.41,3.69,2.86,5.24,2.95,No. of persons per household
平均每戶成年人數,2.5499999999999998,1,2,2.1,2.97,2.04,3.88,2.77,No. of adults per household
平均每戶就業人數,1.42,0.47,0.7,1.28,1.89,0.73,2.19,1.48,No. of persons employed per household
平均每戶所得收入者人數,1.77,1,1.36,1.57,2.0499999999999998,1.48,2.44,1.85,No. of income recipients per household
一、所得收入總計,1249031,523786,914424,978506,1612670,812848,1695745,1234377,A.Total receipts
1.受僱人員報酬,707123,207381,346824,570298,1042051,249374,970360,681698,1.Compensation of employees
(1)本業薪資,522907,150072,202562,441594,781317,160784,746854,516771,(1)Full time payroll
(2)兼業薪資,46297,21767,86797,27197,45736,55551,33935,36977,(2)Part time payroll
(3)其他收入,137918,35541,57465,101507,214998,33038,189572,127950,(3)Other receipts or subsidies
2.產業主所得,158872,48888,121054,92207,210376,86169,244701,143601,2.Entrepreneurial income
3.財產所得收入,56416,30681,72119,36127,63134,25714,65305,46498,3. Property income
4.自用住宅設算租金收入,74649,45982,72543,63745,86562,61981,85859,69852,4.Imputed rent income
5.經常移轉收入,251904,190773,301818,216022,210495,389541,329455,292663,5.Current transfer receipts
(1)從私人,70046,85996,105626,66257,39538,175314,66689,84880,(1)From individuals
(2)從政府,47839,37163,45366,48446,39989,67844,71024,59006,(2)From government
(3)社會保險受益,130726,65383,148331,98632,128037,143002,187689,141365,(3)Benefit of social insurance
(4)從企業,2188,460,1959,1608,2777,1796,2483,3089,(4)From enterprises
(5)從國外,1105,1771,536,1079,153,1585,1570,4323,(5)From abroad
6.雜項收入,67,81,66,108,52,70,64,66,6.Miscellaneous receipts
二、非消費支出,212726,78686,136270,149463,302032,83559,275420,207529,B.Nonconsumption expenditures
1.利息支出,10421,4802,6500,7559,16404,2350,10119,8194,1.Interest
2.經常移轉支出,202306,73883,129770,141904,285628,81209,265300,199335,2.Current transfer expenditures
(1)對私人,48885,26940,43832,24047,67785,19695,46570,52326,(1)To private
(2)對政府,34216,12808,26945,20019,48686,12746,41316,31266,(2)To government
(3)社會保險,117324,33206,56569,97663,166305,48671,176260,114177,(3)Social insurance
(4)對國外,1881,929,2424,175,2853,97,1154,1566,(4)To abroad
,,,,,,,,,
