L1084年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,
第9表家庭住宅及主要設備概況按農家、非農家及都市化程度別分,Table 9. Household Housing and Household Facilities,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization,,,
民 國 84 年,,,,1 9 9 5,,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree  of  urbanization,,,
,General,Farm,Non-farm,都 市,城 鎮,鄉 村,
,average,,,City,Town,Village,
,,,,,,,
(27)期刊雜誌,12.87,6.56,13.82,15.74,10.52,5.4,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,2.Average No. per hundred households
(1)彩色電視機,128.54,121.45,129.6,133.30000000000001,125.4,114.72,(1)Color TV
(2)碟影機,4.32,1.57,4.7300000000000004,5.41,3.56,1.27,(2)Laser-disk player
(3)攝影機,6.08,1.91,6.71,8.4499999999999993,3.51,1.22,(3)Movies camera
(4)音響,41.62,31.66,43.12,46.08,38.86,28.3,(4)Stereo
(5)收錄音機,93.1,75.77,95.71,102.86,83.77,70.48,(5)Radio and recorder
(6)鋼琴(含電子琴),12.1,3.37,13.41,16.63,7,3.08,(6)Piano
(7)照相機,68.58,46.37,71.930000000000007,79.34,59.48,41.34,(7)Camera
(8)電視遊樂器,18.32,7.19,20,22.43,15.67,6.29,(8)Video game
(9)錄放影機,65.63,52.17,67.66,71.89,62.3,45.91,(9)Video tape recorder
(10)有線電視頻道設備,54.25,41.39,56.18,60.8,50.2,34.69,(10)Cable TV
(11)家用電腦,19.71,6.8,21.65,25.72,13.83,6.05,(11)Personal computer
(12)電話機,103.83,100.31,104.37,107.34,100.61,95.45,(12)Telephone
(13)汽車,52.33,53.29,52.19,52.48,56.39,43.66,(13)Sedan vehicle
(14)機車,126.88,159.21,122.01,116.06,143.91999999999999,138.69,(14)Motor bicycle
(15)電冰箱,105.39,104.72,105.49,106.24,104.9,102.79,(15)Refrigerator
(16)冷暖氣機,111.73,59.84,119.54,138.06,85.4,53.04,(16)Air conditioner
(17)除濕機,19.5,4.3600000000000003,21.78,26.14,13.88,2.66,(17)Dehumidifier
(18)洗衣機,94.35,92.31,94.66,96.05,93.17,89.52,(18)Washing machine
(19)烘衣機,20.21,9.99,21.75,24.32,18.510000000000002,6.27,(19)Drier
(20)果菜(汁)機,45.96,34.049999999999997,47.76,52.46,39.21,32.020000000000003,(20)Mixer
(21)排油煙機,89.67,85.91,90.23,91.66,89.87,80.87,(21)Exhaust fan
(22)吸塵器,34.71,15.39,37.619999999999997,42.16,29.49,13.73,(22)Vacuum cleaner
(23)瓦斯熱水器,93.51,91.64,93.79,94.25,94.49,88.47,(23)Gas geyser
(24)電熱水器,8.32,6.44,8.6,8.8699999999999992,8.49,5.67,(24)Electric geyser
(25)微波爐(含烤箱),37.31,14.72,40.71,48.27,26.46,12.71,(25)Oven
(26)報紙,60.54,49.96,62.13,66.84,56.26,42.54,(26)Newspaper
(27)期刊雜誌,17.21,7.55,18.670000000000002,21.84,12.66,6.73,(27)Magazine
