appleL1497年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2008",,97年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,,,,,,,
第2表 所得收入者平均每人所得來源按職業別分,,,,Table 2. Income Sources of Income Recipients by Occupation,,,,,第2表 所得收入者平均每人所得來源按職業別分(續),,,Table 2. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 97 年,,,單位：元,2 0 0 8 Unit:NT$,,,,,民 國 97 年,,單位：元,2 0 0 8 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作    工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
所得收入者人數,12458121,518241,826906,1942944,1293752,1910601,No. of income recipients,,所得收入者人數,584110,1067377,1689682,607929,2016579,No. of income recipients
一、所得收入總計,619804,1426071,1065019,760552,528250,553684,A.Total receipts,,一、所得收入總計,386783,588319,501997,400727,464726,A.Total receipts
1.受僱人員報酬,375059,839133,833513,592305,429208,220434,1.Compensation of employees,,1.受僱人員報酬,50754,331926,344129,273181,143650,1.Compensation of employees
(1)本業薪資,286169,641041,643962,460782,346050,185151,(1)Full time payroll,,(1)本業薪資,37971,295082,286354,237750,18926,(1)Full time payroll
(2)兼業薪資,21631,13162,9593,6821,3028,2249,(2)Part time payroll,,(2)兼業薪資,10214,6228,3815,3312,105220,(2)Part time payroll
(3)其他收入,67260,184930,179957,124702,80130,33034,(3)Other receipts or subsidies,,(3)其他收入,2569,30616,53961,32119,19504,(3)Other receipts or subsidies
2.產業主所得,90622,334334,76004,44595,8030,219135,2.Entrepreneurial income,,2.產業主所得,189313,132096,63990,27029,505,2.Entrepreneurial income
(1)農業淨收入,9290,1678,118,622,42,614,(1)Net agricultural income,,(1)農業淨收入,188515,964,514,393,43,(1)Net agricultural income
(2)營業淨收入,75336,327377,13579,35499,7304,217261,(2)Net operation surplus,,(2)營業淨收入,798,131133,63476,25659,417,(2)Net operation surplus
(3)執行業務淨收入,5996,5280,62307,8473,683,1260,(3)Net professional income,,(3)執行業務淨收入,0,0,0,977,45,(3)Net professional income
3.財產所得收入,29434,83671,38132,21321,14945,14450,3. Property income,,3.財產所得收入,11869,11192,6845,7288,83585,3. Property income
4.自用住宅設算租金收入,38987,94405,52503,42587,22343,31891,4.Imputed rent income,,4.自用住宅設算租金收入,31440,42650,30552,26425,44235,4.Imputed rent income
5.經常移轉收入,85628,74462,64821,59720,53700,67699,5.Current transfer receipts,,5.經常移轉收入,103243,70395,56448,66681,192585,5.Current transfer receipts
(1)從私人,24500,11844,14066,11036,9886,14784,(1)From individuals,,(1)從私人,24888,10678,7380,14988,88000,(1)From individuals
(2)從政府,16518,8915,7278,6905,6437,11803,(2)From government,,(2)從政府,41309,13349,8095,12578,45199,(2)From government
(3)社會保險受益,42595,52088,42635,39260,35473,39851,(3)Benefit of social insurance,,(3)社會保險受益,35959,45523,39767,38357,54541,(3)Benefit of social insurance
(4)從企業,1127,668,376,1598,758,1080,(4)From enterprises,,(4)從企業,1087,745,454,463,2360,(4)From enterprises
(5)從國外,888,947,466,920,1145,182,(5)From abroad,,(5)從國外,0,101,752,294,2485,(5)From abroad
6.雜項收入,74,65,47,25,25,75,6.Miscellaneous receipts,,6.雜項收入,164,60,34,124,167,6.Miscellaneous receipts
二、非消費支出,103039,304589,209963,141711,84101,80855,B.Nonconsumption expenditures,,二、非消費支出,53162,95615,81566,59452,52813,B.Nonconsumption expenditures
1.利息支出,10842,32647,19632,14614,6513,10606,1.Interest,,1.利息支出,2938,12789,8949,6051,5288,1.Interest
2.經常移轉支出,92197,271942,190331,127096,77589,70249,2.Current transfer expenditures,,2.經常移轉支出,50223,82825,72617,53401,47525,2.Current transfer expenditures
(1)對私人,28118,84484,55537,36043,18616,23611,(1)To private,,(1)對私人,21599,24947,18001,14767,21186,(1)To private
(2)對政府,20737,90704,52112,30652,12488,12379,(2)To government,,(2)對政府,8543,17418,12794,8084,9309,(2)To government
(3)社會保險,41585,83738,74821,58620,46223,33654,(3)Social insurance,,(3)社會保險,20019,39839,41540,29999,15949,(3)Social insurance
(4)對國外,1757,13015,7860,1782,263,604,(4)To abroad,,(4)對國外,62,621,282,551,1080,(4)To abroad
三、可支配所得,516765,1121482,855056,618841,444149,472830,C.Disposable income,,三、可支配所得,333622,492705,420431,341275,411914,C.Disposable income
