appleL13103年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 103 年,,2 0 1 4,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,14180085,1425339,12754746,No. of income recipients
一、所得收入總計,630690,479000,647642,A.Total receipts
1.受僱人員報酬,388086,202737,408799,1.Compensation of employees
(1)本業薪資,288763,153715,303855,(1)Full time payroll
(2)兼業薪資,23857,13563,25007,(2)Part time payroll
(3)其他收入,75466,35459,79937,(3)Other receipts or subsidies
2.產業主所得,88607,142992,82529,2.Entrepreneurial income
(1)農業淨收入,10552,94773,1141,(1)Net agricultural income
(2)營業淨收入,78055,48219,81389,(2)Net operation surplus
3.財產所得收入,28282,17154,29525,3. Property income
4.自用住宅設算租金收入,38429,26650,39745,4.Imputed rent income
5.經常移轉收入,87236,89380,86997,5.Current transfer receipts
(1)從私人,29257,22653,29995,(1)From individuals
(2)從政府,17952,28755,16744,(2)From government
(3)社會保險受益,37907,36421,38073,(3)Benefit of social insurance
(4)從企業,1329,1497,1311,(4)From enterprises
(5)從國外,791,54,874,(5)From abroad
6.雜項收入,50,87,46,6.Miscellaneous receipts
二、非消費支出,105797,66308,110210,B.Nonconsumption expenditures
1.利息支出,6723,1453,7312,1.Interest
2.經常移轉支出,99074,64855,102897,2.Current transfer expenditures
(1)對私人,24831,18138,25579,(1)To private
(2)對政府,18027,11792,18723,(2)To government
(3)社會保險,54854,34450,57134,(3)Social insurance
(4)對國外,1362,475,1461,(4)To abroad
三、可支配所得,524893,412691,537432,C.Disposable income
