L09103年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2014",,103年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2014",,103年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 103 年,,,,,2 0 1 4,,,,,民 國 103 年,,,,,2 0 1 4,,,,,民 國 103 年,,,,,2 0 1 4,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8290000,1486716,1031465,723763,904183,665443,1059475,No. of households,,家庭戶數,161730,176832,181983,377149,175808,237254,180933,No. of households,,家庭戶數,282596,81951,123835,37401,150053,153558,97872,No. of households
平均每戶人數,3.15,3.25,3.13,3.46,3.15,3.12,3.05,No. of persons per household,,平均每戶人數,3.17,3.49,3.39,3.31,3.03,2.85,2.77,No. of persons per household,,平均每戶人數,2.84,2.58,2.64,2.63,2.8,3.36,2.97,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.65,2.59,2.67,2.52,2.56,2.4900000000000002,No. of adults per household,,平均每戶成年人數,2.5499999999999998,2.69,2.71,2.67,2.46,2.34,2.2599999999999998,No. of adults per household,,平均每戶成年人數,2.36,2.02,2.17,2.2000000000000002,2.42,2.57,2.42,No. of adults per household
平均每戶就業人數,1.45,1.51,1.34,1.65,1.47,1.53,1.44,No. of persons employed per household,,平均每戶就業人數,1.3,1.65,1.53,1.54,1.37,1.29,1.25,No. of persons employed per household,,平均每戶就業人數,1.35,1.17,1.08,1.04,1.1599999999999999,1.46,1.26,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.79,1.7,1.88,1.7,1.72,1.7,No. of income recipients per household,,平均每戶所得收入者人數,1.67,1.87,1.78,1.66,1.57,1.54,1.52,No. of income recipients per household,,平均每戶所得收入者人數,1.48,1.41,1.46,1.46,1.61,1.83,1.65,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
