appleL06112年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 112 年,,,單位：元,2 0 2 3 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,9119999,1824000,1824000,1824000,1824000,1823999,No. of households
平均每戶人數,2.79,1.57,2.2000000000000002,2.84,3.43,3.89,No. of persons per household
平均每戶成年人數,2.46,1.52,2.04,2.4900000000000002,2.94,3.29,No. of adults per household
平均每戶就業人數,1.34,0.37,0.9,1.38,1.81,2.2400000000000002,No. of persons employed per household
平均每戶所得收入者人數,1.8,1.1200000000000001,1.41,1.77,2.16,2.57,No. of income recipients per household
一、所得收入總計,1375097,439006,824753,1184717,1626398,2800611,A.Total receipts
1.受僱人員報酬,758690,88971,362743,622139,956998,1762600,1.Compensation of employees
(1)本業薪資,551521,69521,269646,456074,708633,1253728,(1)Full time payroll
(2)兼業薪資,48892,6585,29888,49734,63042,95211,(2)Part time payroll
(3)其他收入,158278,12865,63209,116331,185322,413661,(3)Other receipts or subsidies
2.產業主所得,158897,25471,71724,128093,187967,381229,2.Entrepreneurial income
3.財產所得收入,63903,15177,32923,41395,55945,174078,3. Property income
4.自用住宅設算租金收入,78319,40673,63684,72174,93050,122015,4.Imputed rent income
5.經常移轉收入,315252,268644,293626,320890,332421,360681,5.Current transfer receipts
(1)從私人,71691,90027,82372,73749,58953,53355,(1)From individuals
(2)從政府,81178,73366,72018,87835,88939,83733,(2)From government
(3)社會保險受益,158721,104546,137799,156806,180666,213790,(3)Benefit of social insurance
(4)從企業,3282,410,1183,2279,3203,9335,(4)From enterprises
(5)從國外,380,295,254,220,660,468,(5)From abroad
6.雜項收入,35,69,52,26,17,8,6.Miscellaneous receipts
二、非消費支出,238389,63178,137546,207995,284403,498824,B.Nonconsumption expenditures
1.利息支出,11955,2036,6785,11621,14715,24619,1.Interest
2.經常移轉支出,226434,61142,130760,196374,269688,474205,2.Current transfer expenditures
(1)對私人,49152,15815,29808,40627,55963,103546,(1)To private
(2)對政府,36667,7752,15037,22456,31319,106772,(2)To government
(3)社會保險,139410,36995,85208,131778,181874,261198,(3)Social insurance
(4)對國外,1204,580,707,1513,532,2688,(4)To abroad
,,,,,,,
112年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 112 年,,,單位：元,2 0 2 3 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,861305,392454,627259,821836,1041542,1423435,C.Consumption expenditures
1.食品及非酒精飲料,122897,71670,98996,123261,147973,172585,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8814,4658,7287,9330,11215,11578,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22829,7841,14502,21247,28408,42147,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,207343,122413,174014,196625,236194,307469,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,187197,109397,157011,176163,212370,281044,(1)Rent and residential services
(2)水電費及燃料,20146,13016,17003,20462,23825,26425,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,24780,10242,15932,20820,30704,46205,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,152413,70895,111609,143379,183218,252965,6.Health
7.交通,75700,23866,46527,71431,93273,143405,7.Transport
(1)個人交通工具之購置,11904,1819,4155,11104,13043,29396,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46882,16311,31636,45508,60257,80697,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,8581,3040,5588,7216,9709,17350,(3)Transport services
(4)汽、機車保險費,8335,2697,5147,7602,10265,15962,(4)Insurance of vehicles
8.通訊,24268,10362,17700,24300,30736,38242,8.Communication
9.休閒與文化,34909,11760,20797,28766,40841,72384,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),11390,2554,4917,7922,12489,29065,(1)Package holidays
(2)娛樂消遣及文化服務,12567,6105,9027,11217,14624,21861,(2)Recreational and cultural services
(3)書報雜誌文具,3313,660,1810,3210,4650,6235,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7640,2441,5042,6417,9078,15223,(4)Recreational facilities
10.教育,25162,1845,8483,22443,36388,56652,10.Education
11.餐廳及旅館,119880,40056,84394,122344,151870,200733,11.Restaurants and hotels
12.什項消費,42310,16846,27019,37891,50722,79073,12.Miscellaneous goods and services
可支配所得,1136708,375828,687207,976721,1341995,2301788,Disposable income
消費支出,861305,392454,627259,821836,1041542,1423435,Consumption expenditures
儲蓄,275402,-16626,59947,154885,300453,878352,Saving
所得總額,1443071,477003,879285,1247490,1701737,2909839,Current receipts
