L10105年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 105 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(7)電視遊樂器,5.91,2.6,6.23,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.87,73.790000000000006,87.06,(8)Cable TV(MOD included)
(9)家用電腦,68.75,52.43,70.36,(9)Personal computer
(10)電話機,92.75,96.59,92.37,(10)Telephone
(11)行動電話,94.58,90.03,95.03,(11)Cell phone
(12)連網(使用電腦或其他設備),81.510000000000005,66.31,83,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 6,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,59.68,69.22,58.74,(13)Sedan vehicle
(14)機車,83.5,91.33,82.73,(14)Motorcycle
(15)電磁爐,33.24,22.07,34.340000000000003,(15)Electro-magnetic oven
(16)冷暖氣機,93.15,85.65,93.89,(16)Air conditioner
(17)除濕機,34.08,17.940000000000001,35.659999999999997,(17)Dehumidifier
(18)洗衣機,98.47,97.82,98.53,(18)Washing machine
(19)烘衣機,13.64,12.08,13.79,(19)Drier
(20)空氣清淨機,12.86,4.5599999999999996,13.68,(20)Air-clean machine
(21)濾水器,36.659999999999997,24.36,37.869999999999997,(21)Water filter machine
(22)吸塵器,42.61,27.61,44.09,(22)Vacuum cleaner
(23)熱水器,99.22,97.76,99.37,(23)Geyser
(24)開飲機,43.99,52.85,43.12,(24)Hot-warm water fountain
(25)微波爐,41.68,28.51,42.98,(25)Microwave oven
(26)報紙,13.13,17.43,12.7,(26)Newspaper
(27)期刊雜誌,4.95,2.71,5.17,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,155.24,161.94999999999999,154.58000000000001,(1)Color TV
一般彩色電視機,25.89,34.85,25.01,Non-LCD TV
液晶、電漿電視,129.34,127.1,129.57,LCD、PDP TV
(2)數位影音光碟機,22.29,10.99,23.4,(2)DVD player
(3)攝影機,4.92,2.44,5.16,(3)Movies camera
(4)音響,24.45,17.63,25.12,(4)Stereo
(5)鋼琴(含電子琴),8.01,3.54,8.4499999999999993,(5)Piano
(6)數位相機,30.64,17.399999999999999,31.94,(6)Digital camera
(7)電視遊樂器,6.29,2.6,6.66,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),87.54,74.900000000000006,88.78,(8)Cable TV(MOD included)
(9)家用電腦,97.66,67.77,100.6,(9)Personal computer
(10)電話機,97.94,101.9,97.55,(10)Telephone
(11)行動電話,240.18,230.92,241.1,(11)Cell phone
(12)汽車,71.67,95.05,69.37,(12)Sedan vehicle
(13)機車,151.87,176.17,149.47999999999999,(13)Motorcycle
(14)電磁爐,33.659999999999997,22.13,34.79,(14)Electro-magnetic oven
(15)冷暖氣機,232.01,199.59,235.2,(15)Air conditioner
(16)除濕機,41.56,22.03,43.48,(16)Dehumidifier
(17)洗衣機,100.76,101.14,100.72,(17)Washing machine
(18)烘衣機,13.68,12.17,13.83,(18)Drier
(19)空氣清淨機,14.68,5.2,15.61,(19)Air-clean machine
(20)濾水器,37.04,24.74,38.25,(20)Water filter machine
(21)吸塵器,45.63,29.03,47.26,(21)Vacuum cleaner
(22)熱水器,105.99,107.95,105.8,(22)Geyser
(23)開飲機,44.83,53.69,43.96,(23)Hot-warm water fountain
(24)微波爐,41.86,28.51,43.18,(24)Microwave oven
(25)報紙,13.54,18.010000000000002,13.1,(25)Newspaper
(26)期刊雜誌,5.6,3.11,5.84,(26)Magazine
