appleL0289年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 89 年,,,,,單位：元,2 0 0 0 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,6588644,712624,1205468,1132041,1721143,1059193,442141,178142,82232,55660,No. of households
平均每戶人數,3.62,1,2,3,4,5,6,7,8,10.1,No. of persons per household
平均每戶成年人數,2.54,1,1.92,2.4700000000000002,2.64,3.01,3.79,4.42,5.12,6.18,No. of adults per household
平均每戶就業人數,1.58,0.51,0.95,1.54,1.79,2,2.31,2.6,3.08,4.0199999999999996,No. of persons employed per household
平均每戶所得收入者人數,1.66,1,1.25,1.59,1.76,1.91,2.21,2.44,2.86,3.73,No. of income recipients per household
一、所得收入總計,1091478,467997,752882,1086856,1287860,1295969,1388493,1467093,1656963,2140170,A.Total receipts
1.受僱人員報酬,631808,210463,353480,659809,809175,760356,786320,835179,903273,1274587,1.Compensation of employees
(1)本業薪資,489553,156162,244577,509774,631821,602038,626768,677291,735747,1057939,(1)Full time payroll
(2)兼業薪資,30053,18584,54234,34926,22559,23336,22395,21002,22870,14047,(2)Part time payroll
(3)其他收入,112202,35717,54669,115109,154795,134982,137157,136885,144657,202601,(3)Other receipts or subsidies
2.產業主所得,174654,49802,95886,149040,202976,249971,264241,269001,364923,396228,2.Entrepreneurial income
3.財產所得收入,69573,40194,73244,69133,77722,72167,69211,61395,77294,91448,3. Property income
4.自用住宅設算租金收入,66676,40699,57014,67217,74397,74160,75356,75825,81980,95537,4.Imputed rent income
5.經常移轉收入,148572,126717,173055,141465,123421,139096,193087,225431,229127,282171,5.Current transfer receipts
