appleL1284年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,,民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,,,民 國 84 年,,,,,單位：元,1 9 9 5 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
(2)從政府,9912,9228,9686,9532,13202,10464,11792,(2)From government,,(2)從政府,8433,7760,8043,10550,11414,11427,9218,9535,(2)From government,,(2)從政府,12863,13559,17934,15926,11799,11100,7928,11016,8909,(2)From government
(3)從企業,23534,20636,23908,21713,33648,20580,22969,(3)From enterprises,,(3)從企業,28515,21477,22871,26906,29027,40607,25534,22446,(3)From enterprises,,(3)從企業,24329,22411,35710,20363,23180,25002,23096,20191,21434,(3)From enterprises
(4)從國外,223,302,675,365,788,404,0,(4)From abroad,,(4)從國外,28,7,0,0,0,0,0,0,(4)From abroad,,(4)從國外,0,0,0,0,761,3,0,0,294,(4)From abroad
6.雜項收入,199,871,110,46,157,51,124,6.Miscellaneous receipts,,6.雜項收入,32,207,52,6,180,105,121,77,6.Miscellaneous receipts,,6.雜項收入,162,271,16,265,10,26,64,104,11,6.Miscellaneous receipts
二、非消費支出,97241,124440,120727,106613,86986,101048,85300,B.Nonconsumption expenditures,,二、非消費支出,86402,85442,61052,77124,63525,69453,77717,81419,B.Nonconsumption expenditures,,二、非消費支出,72817,72235,80508,79487,74171,134782,125542,106300,92156,B.Nonconsumption expenditures
1.利息支出,22275,23077,29765,29717,19002,26184,17622,1.Interest,,1.利息支出,14873,16884,9453,20346,7896,12716,16252,19360,1.Interest,,1.利息支出,14439,20606,17679,15613,11228,30896,37477,26682,24616,1.Interest
2.經常移轉支出,74966,101362,90962,76896,67984,74864,67678,2.Current transfer expenditures,,2.經常移轉支出,71529,68559,51599,56778,55629,56738,61465,62059,2.Current transfer expenditures,,2.經常移轉支出,58379,51629,62829,63874,62943,103885,88065,79618,67539,2.Current transfer expenditures
(1)對私人,25734,33609,34604,24996,29615,22998,24416,(1)To private,,(1)對私人,31087,20835,14013,21568,19219,25295,22499,23090,(1)To private,,(1)對私人,22799,19194,27478,29412,22084,35321,26982,30391,20838,(1)To private
(2)對政府,15366,26304,19924,15281,10367,14562,11523,(2)To government,,(2)對政府,12944,12565,9306,9689,10336,6544,10036,10666,(2)To government,,(2)對政府,10117,9200,10200,6072,8824,25315,20251,17361,15277,(2)To government
(3)對企業,32436,39094,34565,35733,27975,33608,31045,(3)To enterprises,,(3)對企業,27083,34666,28143,25468,23779,22808,28091,28287,(3)To enterprises,,(3)對企業,24996,21920,24413,27128,31504,32640,39127,31866,31209,(3)To enterprises
(4)對國外,1430,2355,1869,887,26,3695,694,(4)To abroad,,(4)對國外,415,491,137,53,2295,2091,839,15,(4)To abroad,,(4)對國外,467,1315,738,1262,532,10610,1705,0,215,(4)To abroad
三、可支配所得,457760,651826,498736,437352,422043,448574,405871,C.Disposable income,,三、可支配所得,408483,418991,372758,394306,337798,335119,369240,380437,C.Disposable income,,三、可支配所得,425440,389412,413773,370309,423719,460861,546607,491796,417088,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,meaningless for precise statistics.,,,,
