appleL0594年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 94 年,,,,單位：元,2 0 0 5 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7206883,714811,1151511,619837,3204331,92979,1027477,395937,No. of households
平均每戶人數,3.42,1,2,2.71,3.99,3.15,5.57,2.94,No. of persons per household
平均每戶成年人數,2.57,1,2,2.1,2.78,1.97,3.89,2.72,No. of adults per household
平均每戶就業人數,1.51,0.49,0.79,1.33,1.85,0.73,2.14,1.45,No. of persons employed per household
平均每戶所得收入者人數,1.64,1,1.21,1.5,1.81,1.24,2.14,1.63,No. of income recipients per household
一、所得收入總計,1082168,456078,745889,852442,1310458,752341,1384092,996510,A.Total receipts
1.受僱人員報酬,628527,202721,304060,516779,827786,241154,801786,544595,1.Compensation of employees
(1)本業薪資,474690,148617,183127,407712,633123,136487,621596,432173,(1)Full time payroll
(2)兼業薪資,38729,20247,71678,28148,35024,79545,35148,22532,(2)Part time payroll
(3)其他收入,115107,33856,49255,80919,159639,25123,145042,89890,(3)Other receipts or subsidies
2.產業主所得,163882,51707,101865,87016,215821,75443,218727,125203,2.Entrepreneurial income
3.財產所得收入,46789,27162,68597,32168,47887,51936,42707,42177,3. Property income
4.自用住宅設算租金收入,63480,41591,58750,52875,70558,57165,70309,59842,4.Imputed rent income
5.經常移轉收入,179313,132720,212441,163432,148240,326300,250372,224493,5.Current transfer receipts
(1)從私人,50542,66055,85189,57320,26709,151082,49546,83020,(1)From individuals
(2)從政府,39030,32345,53276,34873,28331,57432,58480,47958,(2)From government
(3)社會保險受益,86911,32848,72343,67907,91081,107540,138633,83820,(3)Benefit of social insurance
(4)從企業,1564,256,377,2808,2007,901,2130,537,(4)From enterprises
(5)從國外,1265,1216,1256,523,112,9345,1582,9157,(5)From abroad
6.雜項收入,177,176,176,172,166,342,192,200,6.Miscellaneous receipts
二、非消費支出,187594,74821,121494,130795,242146,82397,222129,165942,B.Nonconsumption expenditures
1.利息支出,20469,10740,10508,16010,29440,5071,16736,14688,1.Interest
2.經常移轉支出,167125,64081,110986,114785,212706,77325,205393,151255,2.Current transfer expenditures
(1)對私人,52794,30313,45603,31672,64835,33584,52723,54615,(1)To private
(2)對政府,35835,13619,23193,23646,47174,12912,41465,30789,(2)To government
(3)社會保險,75224,19289,34340,57373,98249,30660,108112,61835,(3)Social insurance
(4)對國外,3271,860,7850,2095,2447,169,3092,4015,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
94年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 94 年,,,,單位：元,2 0 0 5 Unit:NT$,,,,
