appleL0694年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 94 年,,,單位：元,2 0 0 5 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7206883,1441377,1441377,1441377,1441377,1441375,No. of households
平均每戶人數,3.42,1.92,3.02,3.75,4.08,4.3499999999999996,No. of persons per household
平均每戶成年人數,2.57,1.68,2.2200000000000002,2.64,2.95,3.33,No. of adults per household
平均每戶就業人數,1.51,0.56000000000000005,1.18,1.56,1.92,2.31,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.04,1.26,1.6,1.92,2.36,No. of income recipients per household
一、所得收入總計,1082168,357260,670917,943328,1268267,2171066,A.Total receipts
1.受僱人員報酬,628527,96005,330320,529592,767084,1419634,1.Compensation of employees
(1)本業薪資,474690,76731,265374,413768,589827,1027752,(1)Full time payroll
(2)兼業薪資,38729,10423,21812,30347,32016,99046,(2)Part time payroll
(3)其他收入,115107,8851,43133,85477,145241,292836,(3)Other receipts or subsidies
2.產業主所得,163882,40188,107163,155092,207537,309432,2.Entrepreneurial income
3.財產所得收入,46789,14937,23826,32952,47433,114795,3. Property income
4.自用住宅設算租金收入,63480,33906,50228,60825,74965,97477,4.Imputed rent income
5.經常移轉收入,179313,171999,159199,164712,171092,229561,5.Current transfer receipts
(1)從私人,50542,74110,53348,41459,38864,44932,(1)From individuals
(2)從政府,39030,55442,42369,39633,30614,27089,(2)From government
(3)社會保險受益,86911,41831,62003,81306,98811,150604,(3)Benefit of social insurance
(4)從企業,1564,150,492,1202,1654,4324,(4)From enterprises
(5)從國外,1265,466,987,1112,1149,2612,(5)From abroad
6.雜項收入,177,225,182,155,155,168,6.Miscellaneous receipts
二、非消費支出,187594,59566,114800,164284,225136,374182,B.Nonconsumption expenditures
1.利息支出,20469,6512,14787,19603,25900,35543,1.Interest
2.經常移轉支出,167125,53054,100013,144681,199236,338640,2.Current transfer expenditures
(1)對私人,52794,20265,31428,44152,61290,106837,(1)To private
(2)對政府,35835,7399,16337,25443,40583,89412,(2)To government
(3)社會保險,75224,24109,49803,72750,94894,134564,(3)Social insurance
(4)對國外,3271,1282,2444,2336,2468,7827,(4)To abroad
,,,,,,,
94年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 94 年,,,單位：元,2 0 0 5 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,701076,299642,516758,688550,861302,1139131,C.Consumption expenditures
1.食品費,153072,73125,124441,160899,185849,221045,1.Food
2.飲料費,6461,2955,4936,6370,8119,9928,2.Beverage
3.菸草,6091,3521,5796,6708,7298,7133,3.Tobacco
4.衣著、鞋、襪類,23863,7475,15348,22176,30289,44029,4.Clothing and footwear
5.房地租及水費,144110,79456,118186,140147,167082,215680,5.Rent and water charges
6.燃料及燈光,19455,11840,16994,20298,22689,25456,6.Fuel and light
7.家具及家庭設備,12233,3857,6977,10339,15206,24785,7.Furniture and family facilities
8.家事管理,13109,4659,7632,11837,15469,25950,8.Household operations
9.保健及醫療,93982,51316,73414,93994,112005,139183,9.Health care and medical
10.運輸交通及通訊,88037,25689,56742,83856,115968,157930,10.Transport and communications
(1)交通及通訊工具之購置,12642,2161,4729,9879,17475,28966,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,40319,10839,27063,39547,53593,70555,(2)Operation of transport equipment
(3)乘交通設備之費用,8112,3700,6041,7805,9930,13084,(3)Purchased transportation
(4)其他通訊費,22041,7631,15719,21816,28517,36523,(4)Other communications
(5)汽機車保險費支出,4922,1359,3191,4809,6453,8801,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,91059,20264,56025,87409,121167,170433,"11.Recreation ,education and culture"
(1)旅遊費用,20951,5411,10363,15214,23978,49789,(1)Traveling
(2)娛樂消遣服務,9433,4866,7510,9138,11001,14648,(2)Recreation service
(3)書報雜誌文具,4419,1122,2900,4230,5419,8422,(3)Books and stationery
(4)娛樂器材及附屬品,8485,2060,4733,7108,10599,17925,(4)Recreation facilities
(5)教育與研究費,47772,6805,30519,51718,70170,79650,(5)Education and research
12.什項消費,49602,15486,30267,44516,60160,97579,12.Miscellaneous
可支配所得,894574,297694,556117,779044,1043131,1796884,Disposable income
消費支出,701076,299642,516758,688550,861302,1139131,Consumption expenditures
儲蓄,193497,-1948,39360,90494,181829,657753,Saving
所得總額,1133642,385904,712908,993098,1327824,2248478,Current receipts
