L0987年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1998",,87年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1998",,87年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1998"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 87 年,,,,,1 9 9 8,,,,,民 國 87 年,,,,,1 9 9 8,,,,,,民 國 87 年,,,,,,1 9 9 8,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,6273056,864480,463751,1046108,125727,456872,106788,No. of households,,家庭戶數,138171,374654,303982,143025,193110,148732,310252,359502,No. of households,,家庭戶數,240310,70750,101798,26439,120278,102920,281490,76999,216918,No. of households
平均每戶人數,3.77,3.61,3.77,3.85,4.0199999999999996,3.98,4.18,No. of persons per household,,平均每戶人數,4.1900000000000004,3.88,4.24,3.86,3.38,3.3,3.62,3.57,No. of persons per household,,平均每戶人數,3.78,3.27,3.37,3.09,3.66,3.75,3.84,3.5,3.81,No. of persons per household
平均每戶成年人數,2.59,2.59,2.59,2.61,2.66,2.57,2.69,No. of adults per household,,平均每戶成年人數,2.81,2.5499999999999998,2.86,2.67,2.44,2.41,2.5499999999999998,2.5099999999999998,No. of adults per household,,平均每戶成年人數,2.62,2.2799999999999998,2.29,2.2999999999999998,2.5499999999999998,2.6,2.59,2.4900000000000002,2.6,No. of adults per household
平均每戶就業人數,1.64,1.55,1.55,1.7,1.63,1.62,1.75,No. of persons employed per household,,平均每戶就業人數,1.82,1.63,1.91,1.71,1.73,1.61,1.81,1.52,No. of persons employed per household,,平均每戶就業人數,1.67,1.49,1.32,0.96,1.59,1.63,1.63,1.46,1.66,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.67,1.63,1.75,1.74,1.75,1.82,No. of income recipients per household,,平均每戶所得收入者人數,1.84,1.66,1.84,1.65,1.54,1.48,1.76,1.61,No. of income recipients per household,,平均每戶所得收入者人數,1.59,1.48,1.5,1.29,1.64,1.79,1.67,1.53,1.67,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,,1.By tenure of dwelling
(1)自有,84.61,76.27,82.71,83,91.92,85.83,91.45,(1)Self-owned,,(1)自有,92.79,85.62,91.31,88.56,93.18,91.62,90.13,82.93,(1)Self-owned,,(1)自有,92.93,82.02,83.45,85.64,84.5,80.89,83.04,79.28,80.72,(1)Self-owned
(2)租押,9.09,14.12,8.7100000000000009,13.45,3.17,8.93,5.42,(2)Rented,,(2)租押,5.13,9.0299999999999994,4.97,5.6,2.64,4.0599999999999996,5.23,5.8,(2)Rented,,(2)租押,3.36,8.59,5.67,1.73,10.07,5.67,11.24,10.39,12.02,(2)Rented
(3)其他(含配住及借用),6.31,9.6,8.59,3.56,4.92,5.23,3.14,(3)Issued、lease and others,,(3)其他(含配住及借用),2.09,5.35,3.72,5.84,4.18,4.32,4.63,11.28,(3)Issued、lease and others,,(3)其他(含配住及借用),3.71,9.39,10.88,12.63,5.44,13.45,5.71,10.32,7.27,(3)Issued、lease and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,,2.By usage of dwelling
(1)專用,93.96,95.08,93.18,95.99,96.58,93.74,87.93,(1)Independent,,(1)專用,92.79,94.38,90.84,93.01,94.12,93.96,95.98,95.85,(1)Independent,,(1)專用,94.95,89.44,91.79,95.27,98.03,93.35,88.75,92.47,88.8,(1)Independent
(2)併用,5.94,4.88,6.73,3.87,3.42,6.26,11.5,(2)Connected,,(2)併用,7.21,5.62,8.99,6.99,5.88,5.5,4.0199999999999996,4.1500000000000004,(2)Connected,,(2)併用,5.05,10.56,8.2100000000000009,3.85,0.98,6.31,11.25,7.53,11.01,(2)Connected
(3)其他,0.1,0.04,0.08,0.13,0,0,0.56999999999999995,(3)Others,,(3)其他,0,0,0.16,0,0,0.54,0,0,(3)Others,,(3)其他,0,0,0,0.88,0.99,0.34,0,0,0.2,(3)Others
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,,3.By style of building
(1)平房,16.72,4.3899999999999997,9.18,6.37,20.67,11.21,16.5,(1)One story,,(1)平房,23.15,19.04,27.22,35.9,42.61,45.14,30.01,19.850000000000001,(1)One story,,(1)平房,29.18,48.25,35.659999999999997,38.25,12.88,17.29,11.75,17.91,11.53,(1)One story
(2)二～三層樓,41.6,9.02,37.78,15.48,65.099999999999994,53.82,67.3,(2)Two or three stories,,(2)二～三層樓,71.13,66.569999999999993,63.48,58.07,54.59,49.65,60.63,58.12,(2)Two or three stories,,(2)二～三層樓,64.400000000000006,48.23,48.68,57.43,17.53,45.2,39.93,53.33,55.39,(2)Two or three stories
(3)四～五層樓,27.39,57.59,34.25,58.6,8.15,20.239999999999998,9.5399999999999991,(3)Four or five stories,,(3)四～五層樓,3.02,8.17,5.32,3.61,1.8,4.2300000000000004,2.29,12.24,(3)Four or five stories,,(3)四～五層樓,3.39,1.18,8.25,1.72,50.51,25.11,20.68,14.14,20.86,(3)Four or five stories
(4)六層樓以上,14.28,28.99,18.8,19.55,6.08,14.72,6.66,"(4)Apartment, six stories or over",,(4)六層樓以上,2.7,6.22,3.97,2.42,1.01,0.98,7.07,9.7899999999999991,"(4)Apartment, six stories or over",,(4)六層樓以上,3.03,2.34,7.42,2.59,19.079999999999998,12.4,27.64,14.62,12.22,"(4)Apartment, six stories or over"
4.具有自來水設備,92.36,99.48,98.98,97.34,84.03,90.35,66.62,4.Piped water equipment,,4.具有自來水設備,72.06,90.26,83.94,85.3,99.76,91.23,98.64,98.85,4.Piped water equipment,,4.具有自來水設備,47.36,78.400000000000006,81.739999999999995,98.36,99.06,92.46,98.29,100,99.4,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,,5.Parking lot
(1)自有停車位,39.520000000000003,13.15,24.31,26.25,55.19,40.729999999999997,63.4,(1)Self-owned,,(1)自有停車位,51.85,48.15,52.73,49.06,63.06,65.180000000000007,62.8,44.08,(1)Self-owned,,(1)自有停車位,77.989999999999995,64.53,50.01,49.7,27.67,48.43,33.46,43.3,37.99,(1)Self-owned
(2)租借停車位,6.17,15.33,4.5,10.17,4.38,5.85,2.7,(2)Rented,,(2)租借停車位,3.04,2.93,0.99,2.66,1.31,1.1499999999999999,3.1,5.18,(2)Rented,,(2)租借停車位,0.62,9.6,3.55,6.55,8.57,3.68,3.4,6.89,2.84,(2)Rented
