appleL14113年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2024"
,,,,,,,,,,,,,,,
第2表 所得收入者平均每人所得來源按職業別分,,,,Table 2. Income Sources of Income Recipients by Occupation,,,,,第2表 所得收入者平均每人所得來源按職業別分(續),,,Table 2. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 113 年,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,單位：元,2 0 2 4 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and associate pro-fessionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
所得收入者人數,16753266,467674,1552432,2126806,1492987,2318110,No. of income recipients,,所得收入者人數,494607,1326453,1312009,688605,4973582,No. of income recipients
一、所得收入總計(中位數),600078,1654139,1060099,843798,599118,574750,A.Total receipts(median),,一、所得收入總計(中位數),473895,670710,614837,485726,331766,A.Total receipts(median)
二、所得收入總計(平均數),729991,1959058,1236437,988075,650337,659305,B.Total receipts(mean),,二、所得收入總計(平均數),567680,745606,672097,526647,458237,B.Total receipts(mean)
1.受僱人員報酬,433111,1410235,991669,725533,543284,330727,1.Compensation of employees,,1.受僱人員報酬,59380,445098,461740,371672,91411,1.Compensation of employees
(1)本業薪資,315586,1032410,731892,542866,420476,273645,(1)Full time payroll,,(1)本業薪資,33450,378441,365231,323759,6177,(1)Full time payroll
(2)兼業薪資,27297,19023,9239,4372,2468,4475,(2)Part time payroll,,(2)兼業薪資,21287,2096,3866,1426,78688,(2)Part time payroll
(3)其他收入,90228,358802,250538,178295,120340,52607,(3)Other receipts or subsidies,,(3)其他收入,4643,64561,92643,46487,6546,(3)Other receipts or subsidies
2.產業主所得,88535,268915,81208,116978,10860,197962,2.Entrepreneurial income,,2.產業主所得,293034,161313,99015,24645,346,2.Entrepreneurial income
(1)農業淨收入,9145,1724,7,750,30,338,(1)Net agricultural income,,(1)農業淨收入,291903,587,2809,1534,13,(1)Net agricultural income
(2)營業淨收入,79390,267191,81200,116228,10830,197624,(2)Net operation surplus,,(2)營業淨收入,1131,160725,96206,23111,334,(2)Net operation surplus
3.財產所得收入,37123,94090,35549,27458,14060,12105,3. Property income,,3.財產所得收入,21506,13480,10316,7544,74000,3. Property income
4.自用住宅設算租金收入,41139,105064,54232,48648,21450,27135,4.Imputed rent income,,4.自用住宅設算租金收入,37047,39094,30990,25031,46127,4.Imputed rent income
5.經常移轉收入,130066,80743,73778,69448,60683,91365,5.Current transfer receipts,,5.經常移轉收入,156700,86605,70027,97744,246317,5.Current transfer receipts
(1)從私人,34613,15416,14946,12859,9426,14359,(1)From individuals,,(1)從私人,27784,11027,11235,15247,84678,(1)From individuals
(2)從政府,25826,18460,18926,16757,18778,21468,(2)From government,,(2)從政府,63660,21157,18962,27753,35725,(2)From government
(3)社會保險受益,67641,44361,38191,37334,31461,54460,(3)Benefit of social insurance,,(3)社會保險受益,64108,53518,39224,53880,122507,(3)Benefit of social insurance
(4)從企業,1685,1151,1312,2410,824,1006,(4)From enterprises,,(4)從企業,504,857,606,865,2852,(4)From enterprises
(5)從國外,301,1355,403,88,193,73,(5)From abroad,,(5)從國外,644,47,0,0,555,(5)From abroad
6.雜項收入,17,12,1,9,0,10,6.Miscellaneous receipts,,6.雜項收入,14,16,9,11,36,6.Miscellaneous receipts
三、非消費支出,124102,458323,265316,193870,129200,97799,C.Nonconsumption expenditures,,三、非消費支出,58551,119130,121157,77857,44515,C.Nonconsumption expenditures
1.利息支出,7079,28288,18570,12818,4504,5961,1.Interest,,1.利息支出,1431,6936,5590,1782,2063,1.Interest
2.經常移轉支出,117023,430036,246746,181052,124696,91838,2.Current transfer expenditures,,2.經常移轉支出,57120,112195,115567,76075,42452,2.Current transfer expenditures
(1)對私人,26346,114904,50906,39411,18288,18403,(1)To private,,(1)對私人,17639,23895,19781,12705,16027,(1)To private
(2)對政府,20436,145858,57801,28920,8462,9333,(2)To government,,(2)對政府,12109,14300,11138,6333,8991,(2)To government
(3)社會保險,69434,156118,137276,111900,97775,63365,(3)Social insurance,,(3)社會保險,27257,73891,84386,56851,17072,(3)Social insurance
(4)對國外,807,13156,763,822,171,737,(4)To abroad,,(4)對國外,115,109,263,186,361,(4)To abroad
四、可支配所得(平均數),605889,1500735,971121,794205,521137,561506,D.Disposable income(mean),,四、可支配所得(平均數),509129,626476,550940,448789,413722,D.Disposable income(mean)
五、可支配所得(中位數),499891,1288241,831919,672690,476257,480770,E.Disposable income(median),,五、可支配所得(中位數),425260,556993,500626,413248,295675,E.Disposable income(median)
