appleL0490年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 90 年,,,單位：元,2 0 0 1 Unit:NT$,,,,,民 國 90 年,,單位：元,2 0 0 1 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
家庭戶數,6730886,478795,383187,951166,370530,981381,No. of households,,家庭戶數,488691,834090,957763,295179,990104,No. of households
平均每戶人數,3.58,4,3.6,3.85,3.63,3.86,No. of persons per household,,平均每戶人數,3.21,4.22,4.09,3.63,1.97,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.66,2.54,2.64,2.73,2.68,No. of adults per household,,平均每戶成年人數,2.5099999999999998,2.84,2.76,2.67,1.73,No. of adults per household
平均每戶就業人數,1.56,1.85,1.71,1.75,1.67,1.89,No. of persons employed per household,,平均每戶就業人數,1.81,1.86,1.87,1.78,0.09,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.8,1.76,1.79,1.77,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.41,1.83,1.85,1.76,1.07,No. of income recipients per household
一、所得收入總計,1064136,1944547,1771868,1388574,1148303,1004090,A.Total receipts,,一、所得收入總計,642984,968133,972774,804575,535324,A.Total receipts
1.受僱人員報酬,602182,1054247,1248806,1013023,834762,351615,1.Compensation of employees,,1.受僱人員報酬,166011,584036,604895,516951,153309,1.Compensation of employees
(1)本業薪資,466157,824803,943018,772411,636233,280077,(1)Full time payroll,,(1)本業薪資,129186,506620,492590,432378,51489,(1)Full time payroll
(2)兼業薪資,30157,24753,47550,31464,36606,12604,(2)Part time payroll,,(2)兼業薪資,19812,13727,18800,16104,73893,(2)Part time payroll
(3)其他收入,105867,204691,258237,209148,161924,58934,(3)Other receipts or subsidies,,(3)其他收入,17014,63690,93505,68469,27926,(3)Other receipts or subsidies
2.產業主所得,176460,452934,170009,88056,33917,409869,2.Entrepreneurial income,,2.產業主所得,226876,157004,148869,72929,1238,2.Entrepreneurial income
3.財產所得收入,64933,202457,110853,68897,60090,44929,3. Property income,,3.財產所得收入,33390,31678,29566,24353,88383,3. Property income
4.自用住宅設算租金收入,67941,107500,96659,82594,76500,66783,4.Imputed rent income,,4.自用住宅設算租金收入,41946,62399,60590,53115,50593,4.Imputed rent income
5.經常移轉收入,152430,127241,145448,135901,142887,130659,5.Current transfer receipts,,5.經常移轉收入,174551,132740,128726,137006,241541,5.Current transfer receipts
(1)從私人,45484,28046,35968,33062,42008,33453,(1)From individuals,,(1)從私人,50012,30161,27801,37595,112891,(1)From individuals
(2)從政府,31559,19907,15390,19222,21314,30064,(2)From government,,(2)從政府,53193,29448,26120,30655,57253,(2)From government
(3)社會保險受益,72554,76060,90298,81003,76561,64577,(3)Benefit of social insurance,,(3)社會保險受益,70702,72404,73444,66180,64359,(3)Benefit of social insurance
(4)從企業,1387,1403,2453,1820,1403,1195,(4)From enterprises,,(4)從企業,613,712,810,681,2457,(4)From enterprises
(5)從國外,1446,1825,1339,795,1601,1371,(5)From abroad,,(5)從國外,32,15,550,1894,4581,(5)From abroad
6.雜項收入,190,168,94,104,148,234,6.Miscellaneous receipts,,6.雜項收入,210,275,128,221,259,6.Miscellaneous receipts
二、非消費支出,195485,393812,354508,271745,211787,177737,B.Nonconsumption expenditures,,二、非消費支出,95620,174794,180222,133933,76101,B.Nonconsumption expenditures
1.利息支出,42149,76002,67500,59172,45607,49154,1.Interest,,1.利息支出,11766,39466,42903,26489,12570,1.Interest
2.經常移轉支出,153336,317809,287007,212573,166180,128583,2.Current transfer expenditures,,2.經常移轉支出,83853,135328,137318,107445,63531,2.Current transfer expenditures
(1)對私人,48635,104101,96948,64491,49417,43488,(1)To private,,(1)對私人,29110,41647,38835,32199,22594,(1)To private
(2)對政府,32033,86125,85357,49906,32787,23049,(2)To government,,(2)對政府,12120,22173,22630,15487,8853,(2)To government
(3)社會保險,68588,109431,96049,92505,80645,60473,(3)Social insurance,,(3)社會保險,42332,70211,74526,58389,27654,(3)Social insurance
(4)對國外,4081,18152,8653,5672,3332,1572,(4)To abroad,,(4)對國外,291,1297,1328,1370,4431,(4)To abroad
,,,,,,,,,,,,,,,
90年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 90 年,,,單位：元,2 0 0 1 Unit:NT$,,,,,民 國 90 年,,單位：元,2 0 0 1 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,657872,1051166,936097,818984,711254,648577,C.Consumption expenditures,,三、消費支出,430460,644587,624631,538338,385692,C.Consumption expenditures
1.食品費,149253,200702,184084,173511,161978,156077,1.Food,,1.食品費,107385,163153,157887,138077,79997,1.Food
2.飲料費,5721,8850,6636,6315,5409,6160,2.Beverage,,2.飲料費,4813,6616,5956,4851,2688,2.Beverage
3.菸草,5182,5345,2700,4738,3629,6048,3.Tobacco,,3.菸草,5233,7614,6645,5934,2500,3.Tobacco
4.衣著、鞋、襪類,23961,43274,37428,32395,26893,23645,4.Clothing and footwear,,4.衣著、鞋、襪類,13888,22536,22704,17928,9708,4.Clothing and footwear
5.房地租及水費,143374,222907,201533,170345,159973,146535,5.Rent and water charges,,5.房地租及水費,82126,129815,126773,122167,111185,5.Rent and water charges
6.燃料及燈光,18453,23812,20556,20464,18930,19621,6.Fuel and light,,6.燃料及燈光,14115,19892,19418,17322,12112,6.Fuel and light
7.家具及家庭設備,11893,20864,20517,16180,13074,11602,7.Furniture and family facilities,,7.家具及家庭設備,7421,10112,10374,8486,6139,7.Furniture and family facilities
8.家事管理,13852,30462,28916,22515,14386,11018,8.Household operations,,8.家事管理,4299,10540,10090,6129,7722,8.Household operations
9.保健及醫療,75853,88067,82574,83927,72661,72738,9.Health care and medical,,9.保健及醫療,74441,75418,71236,69783,71208,9.Health care and medical
10.運輸交通及通訊,76894,139363,118757,104697,80742,69183,10.Transport and communications,,10.運輸交通及通訊,49888,80550,75932,55404,27565,10.Transport and communications
(1)交通及通訊工具之購置,10688,25036,19888,14925,10039,5441,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,6910,12125,11182,6409,3016,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,34682,59790,53796,49202,34930,32442,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,22833,37645,34328,24177,10146,(2)Operation of transport equipment
(3)乘交通設備之費用,8507,14498,12020,10734,10604,8596,(3)Purchased transportation,,(3)乘交通設備之費用,5598,7391,7335,6718,5279,(3)Purchased transportation
(4)其他通訊費,18164,31024,25517,23300,20084,18311,(4)Other communications,,(4)其他通訊費,10745,18425,18267,14848,7633,(4)Other communications
(5)汽機車保險費支出,4853,9016,7536,6535,5086,4394,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3802,4964,4820,3252,1490,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,87597,177964,155591,122691,99871,82990,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,40125,76645,77758,59932,34265,"11.Recreation ,education and culture"
(1)旅遊費用,20456,52904,48057,30182,23446,14194,(1)Traveling,,(1)旅遊費用,8548,11734,13203,8736,13563,(1)Traveling
(2)娛樂消遣服務,9332,15673,13933,11926,10902,9189,(2)Recreation service,,(2)娛樂消遣服務,4909,8779,8678,7698,5316,(2)Recreation service
(3)書報雜誌文具,5145,9812,10730,7248,5562,4904,(3)Books and stationery,,(3)書報雜誌文具,2471,4171,4206,3299,2387,(3)Books and stationery
(4)娛樂器材及附屬品,8322,18345,18790,12829,8832,6547,(4)Recreation facilities,,(4)娛樂器材及附屬品,4155,6192,6648,5055,3108,(4)Recreation facilities
(5)教育與研究費,44342,81229,64080,60506,51129,48157,(5)Education and research,,(5)教育與研究費,20042,45769,45023,35145,9891,(5)Education and research
12.什項消費,45840,89556,76806,61208,53708,42961,12.Miscellaneous,,12.什項消費,26728,41695,39858,32324,20602,12.Miscellaneous
可支配所得,868651,1550735,1417360,1116829,936517,826354,Disposable income,,可支配所得,547364,793340,792552,670642,459223,Disposable income
消費支出,657872,1051166,936097,818984,711254,648577,Consumption expenditures,,消費支出,430460,644587,624631,538338,385692,Consumption expenditures
儲蓄,210779,499569,481263,297845,225263,177777,Saving,,儲蓄,116904,148753,167921,132304,73531,Saving
