appleL1583年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,
第4表 所得收入者平均每人所得來源依可支配所得按所得收入者五等分位分,Table 4. Income Sources of Income Recipients by Five Equal Divisionsof Recipients according to Disposable Income,,,,,,
,,,,,,,
民 國 83 年,,,單位：元,1 9 9 4 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,按 所 得 收 入 者 五 等 分 位 分,,,,
,,Five equal divisions of,recipients according to disposable income,,,,
,General average,1,2,3,4,5,
所得收入者人數,9568121,1913624,1913624,1913624,1913624,1913625,No. of income recipients
一、所得收入總計,514432,182258,310366,443151,599426,1036961,A.Total receipts
1.受僱人員報酬,320694,105927,224078,311399,399398,562670,1.Compensation of employees
(1)本業薪資,257116,88742,186179,258087,325583,426991,(1)Full time payroll
(2)兼業薪資,12150,8268,10568,11105,10443,20368,(2)Part time payroll
(3)其他收入,51427,8917,27331,42207,63372,115311,(3)Other receipts or subsidies
2.產業主所得,99737,25873,33226,62120,103638,273827,2.Entrepreneurial income
(1)農業淨收入,13611,13865,10097,10070,9833,24189,(1)Net agricultural income
(2)營業淨收入,81478,11794,22466,50653,91693,230783,(2)Net operation surplus
(3)執行業務淨收入,4648,214,663,1397,2112,18855,(3)Net professional income
3.財產所得收入,29067,7503,11130,15820,23824,87058,3. Property income
4.自用住宅設算租金收入,27160,7720,11118,20963,35481,60519,4.Imputed rent income
5.經常移轉收入,37672,35175,30764,32772,36954,52697,5.Current transfer receipts
(1)從私人,16100,16027,13010,12479,15426,23560,(1)From individuals
(2)從政府,4034,7270,3847,3446,2911,2695,(2)From government
(3)從企業,17317,11854,13877,16767,18319,25767,(3)From enterprises
(4)從國外,221,24,29,80,298,675,(4)From abroad
6.雜項收入,102,61,51,78,130,189,6.Miscellaneous receipts
二、非消費支出,74853,34708,43421,66124,87058,142955,B.Nonconsumption expenditures
1.利息支出,19480,9237,11517,19073,24072,33502,1.Interest
2.經常移轉支出,55373,25472,31904,47051,62986,109453,2.Current transfer expenditures
(1)對私人,23949,11261,13240,20259,27756,47230,(1)To private
(2)對政府,13925,2667,4647,9647,15512,37155,(2)To government
(3)對企業,15956,9369,13145,16571,19124,21572,(3)To enterprises
(4)對國外,1542,2175,873,574,594,3497,(4)To abroad
三、可支配所得,439579,147550,266945,377027,512368,894007,C.Disposable income
