appleL06110年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2021"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 110 年,,,單位：元,2 0 2 1 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8919896,1783979,1783979,1783979,1783979,1783980,No. of households
平均每戶人數,2.89,1.62,2.2999999999999998,2.95,3.52,4.03,No. of persons per household
平均每戶成年人數,2.46,1.56,2.0499999999999998,2.4900000000000002,2.87,3.31,No. of adults per household
平均每戶就業人數,1.35,0.39,0.92,1.38,1.79,2.2799999999999998,No. of persons employed per household
平均每戶所得收入者人數,1.79,1.1299999999999999,1.39,1.77,2.1,2.56,No. of income recipients per household
一、所得收入總計,1314023,420018,788968,1129483,1561998,2669647,A.Total receipts
1.受僱人員報酬,732783,87323,338987,608639,947490,1681477,1.Compensation of employees
(1)本業薪資,539122,69602,251007,457828,703671,1213501,(1)Full time payroll
(2)兼業薪資,47219,5592,33120,44713,60106,92564,(2)Part time payroll
(3)其他收入,146442,12129,54860,106098,183713,375411,(3)Other receipts or subsidies
2.產業主所得,154289,26593,79289,122088,172125,371349,2.Entrepreneurial income
3.財產所得收入,57048,14370,28870,36532,47968,157498,3. Property income
4.自用住宅設算租金收入,76477,40221,63281,69636,90052,119193,4.Imputed rent income
5.經常移轉收入,293389,251436,278501,292559,304335,340111,5.Current transfer receipts
(1)從私人,69363,86169,84642,68015,56150,51840,(1)From individuals
(2)從政府,73931,73648,74795,74095,75540,71575,(2)From government
(3)社會保險受益,146818,91109,117689,148222,169408,207662,(3)Benefit of social insurance
(4)從企業,2390,331,1008,1694,2439,6481,(4)From enterprises
(5)從國外,886,180,367,534,797,2553,(5)From abroad
6.雜項收入,38,75,40,29,27,19,6.Miscellaneous receipts
二、非消費支出,223469,61424,126527,194468,270969,463956,B.Nonconsumption expenditures
1.利息支出,10684,2150,6186,10175,13032,21877,1.Interest
2.經常移轉支出,212785,59274,120342,184292,257937,442079,2.Current transfer expenditures
(1)對私人,46078,15496,26534,36876,53759,97724,(1)To private
(2)對政府,34601,7514,14263,22283,30618,98329,(2)To government
(3)社會保險,130305,35659,78901,123076,171048,242839,(3)Social insurance
(4)對國外,1801,605,643,2058,2512,3187,(4)To abroad
,,,,,,,
110年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2021"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 110 年,,,單位：元,2 0 2 1 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,815442,376058,590705,783577,985296,1341575,C.Consumption expenditures
1.食品及非酒精飲料,119642,69584,94541,123534,142113,168440,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9381,5213,8200,9869,10849,12774,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22299,7878,13655,20434,27807,41722,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,200444,116933,170382,190573,228948,295383,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,183294,105579,155812,173102,209196,272783,(1)Rent and water charges
(2)電費及燃料,17149,11355,14570,17471,19751,22599,(2)Power and fuel
5.家具設備及家務維護,23978,8947,14778,20950,28570,46646,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,144966,67129,101552,141151,178031,236964,6.Health
7.交通,73598,23296,43513,67956,89871,143355,7.Transport
(1)個人交通工具之購置,13345,1634,4689,9346,14813,36244,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45749,16357,29570,45210,57362,80244,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,7442,2747,4926,7078,9039,13421,(3)Transport services
(4)汽、機車保險費,7062,2558,4328,6322,8657,13446,(4)Insurance of vehicles
8.通訊,23833,10272,17121,23680,29529,38561,8.Communication
9.休閒與文化,25018,10165,15600,22385,29000,47937,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),2591,1159,1495,1959,2881,5460,(1)Package holidays
(2)娛樂消遣及文化服務,11610,5775,7952,10624,12744,20957,(2)Recreational and cultural services
(3)書報雜誌文具,3542,792,1984,3501,4911,6519,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7275,2440,4169,6300,8464,15000,(4)Recreational facilities
10.教育,26701,2478,10333,22990,39463,58240,10.Education
11.餐廳及旅館,104169,37949,73832,102810,132547,173706,11.Restaurants and hotels
12.什項消費,41414,16213,27197,37246,48567,77847,12.Miscellaneous goods and services
可支配所得,1090554,358594,662440,935016,1291029,2205691,Disposable income
消費支出,815442,376058,590705,783577,985296,1341575,Consumption expenditures
儲蓄,275112,-17465,71736,151439,305733,864115,Saving
所得總額,1378390,456634,840865,1189748,1636711,2767990,Current receipts
