appleL13109年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 109 年,,2 0 2 0,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,15580006,1056202,14523804,No. of income recipients
一、所得收入總計,680987,543972,690951,A.Total receipts
1.受僱人員報酬,408215,197480,423540,1.Compensation of employees
(1)本業薪資,304508,147326,315938,(1)Full time payroll
(2)兼業薪資,24708,12206,25617,(2)Part time payroll
(3)其他收入,78999,37948,81984,(3)Other receipts or subsidies
2.產業主所得,88298,178261,81755,2.Entrepreneurial income
(1)農業淨收入,9775,130264,1013,(1)Net agricultural income
(2)營業淨收入,78523,47998,80742,(2)Net operation surplus
3.財產所得收入,29748,16289,30726,3. Property income
4.自用住宅設算租金收入,40860,29239,41705,4.Imputed rent income
5.經常移轉收入,113849,122683,113206,5.Current transfer receipts
(1)從私人,33066,24118,33717,(1)From individuals
(2)從政府,22875,42565,21443,(2)From government
(3)社會保險受益,56250,54537,56374,(3)Benefit of social insurance
(4)從企業,1389,1463,1383,(4)From enterprises
(5)從國外,269,0,289,(5)From abroad
6.雜項收入,18,19,18,6.Miscellaneous receipts
二、非消費支出,109469,68831,112424,B.Nonconsumption expenditures
1.利息支出,5889,1276,6224,1.Interest
2.經常移轉支出,103580,67556,106200,2.Current transfer expenditures
(1)對私人,25060,17152,25635,(1)To private
(2)對政府,18707,12409,19165,(2)To government
(3)社會保險,59047,37977,60579,(3)Social insurance
(4)對國外,766,18,821,(4)To abroad
三、可支配所得,571518,475141,578527,C.Disposable income
