2020-08-14T00:00:00L03108年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 108 年,,,,單位：元
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8734575.9999,661287.21992,8073288.78,No. of households
平均每戶人數,3.02,3.2,3,No. of persons per household
平均每戶成年人數,2.52,2.77,2.5,No. of adults per household
平均每戶就業人數,1.4,1.85,1.37,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.81,1.77,No. of income recipients per household
一、所得收入總計,1274195.6699,1082704.4014,1289880.8178,A.Total receipts
1.受僱人員報酬,724606.62939,378573.10703,752950.41248,1.Compensation of employees
(1)本業薪資,535854.75208,280425.53383,556777.0902,(1)Full time payroll
(2)兼業薪資,45782.034052,29356.06923,47127.493246,(2)Part time payroll
(3)其他收入,142969.84326,68791.50397,149045.82903,(3)Other receipts or subsidies
2.產業主所得,157174.3657,315489.42926,144206.69774,2.Entrepreneurial income
3.財產所得收入,56964.164684,32482.148848,58969.499143,3. Property income
4.自用住宅設算租金收入,75450.399164,55957.475876,77047.074496,4.Imputed rent income
5.經常移轉收入,259929.95688,300085.10481,256640.82814,5.Current transfer receipts
(1)從私人,72422.426611,68053.738255,72780.268113,(1)From individuals
(2)從政府,48088.672556,89504.745793,44696.260779,(2)From government
(3)社會保險受益,136111.3222,140435.50238,135757.12639,(3)Benefit of social insurance
(4)從企業,2358.2081349,2091.1183765,2380.0855939,(4)From enterprises
(5)從國外,949.32737352,0,1027.087265,(5)From abroad
6.雜項收入,70.154075826,117.13561352,66.305794005,6.Miscellaneous receipts
二、非消費支出,214464.76108,148588.2925,219860.73637,B.Nonconsumption expenditures
1.利息支出,10795.056782,2463.0671959,11477.534318,1.Interest
2.經常移轉支出,203669.7043,146125.22531,208383.20205,2.Current transfer expenditures
(1)對私人,46693.894503,32934.905562,47820.900336,(1)To private
(2)對政府,34401.475626,23231.331113,35316.427885,(2)To government
(3)社會保險,120840.44944,89655.202104,123394.84903,(3)Social insurance
(4)對國外,1733.8847268,303.78652637,1851.0248031,(4)To abroad
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 9,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,829198.82563,716877.39836,838399.13129,C.Consumption expenditures
1.食品及非酒精飲料,116605.16931,122704.8928,116105.53783,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9479.0004254,13324.409365,9164.0210091,"2.Tobacco,alcoholic beverages        and betel nuts"
3.衣著鞋襪及服飾用品,23219.992024,18223.719588,23629.239259,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,195833.5362,136788.57578,200669.93916,"4.Housing,water,electricity,       gas and other fuels"
(1)房地租及水費,177839.58332,118312.53147,182715.47464,(1)Rent and water charges
(2)電費及燃料,17993.95288,18476.04431,17954.464524,(2)Power and fuel
5.家具設備及家務維護,21626.436024,15551.726542,22124.01859,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,132718.65681,141777.11593,131976.67378,6.Health
7.交通,77372.283218,75996.253541,77484.994514,7.Transport
(1)個人交通工具之購置,13724.676606,13669.018166,13729.235617,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46314.68739,48878.405559,46104.691921,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10865.000412,5851.8167478,11275.632855,(3)Transport services
(4)汽、機車保險費,6467.9188097,7597.0130691,6375.4341205,(4)Insurance of vehicles
8.通訊,23973.354171,20661.197283,24244.654638,8.Communication
9.休閒與文化,50567.531745,30690.666423,52195.655966,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),27986.722704,15178.669615,29035.836894,(1)Package holidays
(2)娛樂消遣及文化服務,11982.539492,7984.0012547,12310.061807,(2)Recreational and cultural services
(3)書報雜誌文具,3967.3793855,3119.7455241,4036.8095094,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6630.890163,4408.2500289,6812.9477551,(4)Recreational facilities
10.教育,28485.132526,18624.188088,29292.847537,10.Education
11.餐廳及旅館,106022.53139,80283.244483,108130.84956,11.Restaurants and hotels
12.什項消費,43295.201798,42251.408532,43380.699439,12.Miscellaneous goods and services
可支配所得,1059730.9088,934116.10893,1070020.0814,Disposable income
消費支出,829198.82563,716877.39836,838399.13129,Consumption expenditures
儲蓄,230532.08317,217238.71057,231620.95013,Saving
所得總額,1335845.1713,1125014.2184,1353114.4427,Current receipts
