appleL0289年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2000",,89年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2000",,89年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 89 年,,,,單位：元,2 0 0 0 Unit:NT$,,,,,民 國 89 年,,,,單位：元,2 0 0 0 Unit:NT$,,,,,,民 國 89 年,,,,,單位：元,2 0 0 0 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,6588644,885492,491739,1115962,131604,496353,114249,No. of households,,家庭戶數,144591,393351,316168,149363,198213,153673,322909,374419,No. of households,,家庭戶數,247300,72483,105693,27358,128073,110400,302877,79151,227223,No. of households
平均每戶人數,3.62,3.66,3.44,3.51,3.63,3.88,4.13,No. of persons per household,,平均每戶人數,3.92,3.86,4.04,3.71,3.13,3.53,3.6,3.54,No. of persons per household,,平均每戶人數,3.45,3.16,3.28,3.05,3.44,3.81,3.57,3.46,3.52,No. of persons per household
平均每戶成年人數,2.54,2.66,2.48,2.46,2.56,2.6,2.9,No. of adults per household,,平均每戶成年人數,2.76,2.59,2.8,2.5,2.31,2.57,2.5499999999999998,2.4700000000000002,No. of adults per household,,平均每戶成年人數,2.4700000000000002,2.25,2.2999999999999998,2.34,2.54,2.67,2.48,2.4500000000000002,2.4500000000000002,No. of adults per household
平均每戶就業人數,1.58,1.55,1.44,1.59,1.53,1.65,1.85,No. of persons employed per household,,平均每戶就業人數,1.74,1.65,1.81,1.63,1.57,1.59,1.64,1.55,No. of persons employed per household,,平均每戶就業人數,1.55,1.35,1.28,1.07,1.52,1.74,1.5,1.4,1.53,No. of persons employed per household
平均每戶所得收入者人數,1.66,1.7,1.55,1.68,1.66,1.78,1.91,No. of income recipients per household,,平均每戶所得收入者人數,1.77,1.68,1.76,1.64,1.5,1.55,1.68,1.63,No. of income recipients per household,,平均每戶所得收入者人數,1.51,1.51,1.42,1.4,1.63,1.9,1.57,1.55,1.58,No. of income recipients per household
一、所得收入總計,1091478,1530735,1158981,1095192,972996,1209363,1232173,A.Total receipts,,一、所得收入總計,935836,975765,897000,874344,810634,857615,876841,864235,A.Total receipts,,一、所得收入總計,913848,780967,933625,831230,1052113,1395702,1119928,1005451,1014589,A.Total receipts
1.受僱人員報酬,631808,927251,662108,685297,487503,736954,790430,1.Compensation of employees,,1.受僱人員報酬,502219,564353,474226,444063,376018,379394,492267,525039,1.Compensation of employees,,1.受僱人員報酬,464693,407204,418737,440959,671954,849078,592866,550216,564080,1.Compensation of employees
(1)本業薪資,489553,711856,505781,538209,373655,567374,619065,(1)Full time payroll,,(1)本業薪資,381110,447364,394631,346241,312795,281376,395884,414302,(1)Full time payroll,,(1)本業薪資,355347,292085,296232,304204,518094,589430,450480,425545,432638,(1)Full time payroll
(2)兼業薪資,30053,39329,32330,22204,34483,26412,18523,(2)Part time payroll,,(2)兼業薪資,25015,33481,9797,31849,20682,36245,20537,25460,(2)Part time payroll,,(2)兼業薪資,34260,43761,47805,72436,35999,83120,32954,20929,35929,(2)Part time payroll
(3)其他收入,112202,176065,123997,124884,79365,143168,152841,(3)Other receipts or subsidies,,(3)其他收入,96094,83508,69797,65974,42542,61773,75845,85276,(3)Other receipts or subsidies,,(3)其他收入,75086,71357,74701,64319,117861,176528,109432,103742,95513,(3)Other receipts or subsidies
2.產業主所得,174654,175044,197686,161277,167389,171027,123792,2.Entrepreneurial income,,2.產業主所得,146453,181340,193936,181360,186731,188020,144525,138855,2.Entrepreneurial income,,2.產業主所得,203491,155796,206945,108263,126116,161976,241835,176560,194958,2.Entrepreneurial income
3.財產所得收入,69573,150808,85839,66096,65811,59953,36511,3. Property income,,3.財產所得收入,51279,52273,42005,42183,29385,44887,35705,22507,3. Property income,,3.財產所得收入,62298,34671,54816,70524,42440,102753,79249,71108,61615,3. Property income
4.自用住宅設算租金收入,66676,98795,67420,64729,47353,101967,132529,4.Imputed rent income,,4.自用住宅設算租金收入,50416,44465,55272,45811,45582,40974,53198,44225,4.Imputed rent income,,4.自用住宅設算租金收入,33440,33615,58206,13112,58892,73281,79246,53066,67033,4.Imputed rent income
5.經常移轉收入,148572,178308,145725,117710,204804,139353,148534,5.Current transfer receipts,,5.經常移轉收入,185314,133255,131084,160881,172867,204259,151055,133547,5.Current transfer receipts,,5.經常移轉收入,149644,148719,194781,197868,152585,208547,126693,154384,126864,5.Current transfer receipts
(1)從私人,46162,85303,47519,37149,53624,32507,28249,(1)From individuals,,(1)從私人,61133,33202,34475,39155,52599,52559,35792,34258,(1)From individuals,,(1)從私人,44778,36396,57934,46228,37688,50399,41013,52558,34135,(1)From individuals
(2)從政府,32519,27771,26414,26623,42833,33730,44805,(2)From government,,(2)從政府,38999,27949,32559,37812,50046,52815,40396,30826,(2)From government,,(2)從政府,38573,49599,42657,76040,40096,32558,24455,25767,28057,(2)From government
(3)社會保險受益,68184,63704,67118,52732,106888,70852,75213,(3)Benefit of social insurance,,(3)社會保險受益,82593,71645,61930,83583,70141,98884,74535,68075,(3)Benefit of social insurance,,(3)社會保險受益,66184,62457,92695,75600,73598,122021,54765,75603,61979,(3)Benefit of social insurance
(4)從企業,986,379,2270,610,391,1779,268,(4)From enterprises,,(4)從企業,2590,76,831,331,81,0,332,385,(4)From enterprises,,(4)從企業,110,267,1494,0,1202,2154,5948,114,28,(4)From enterprises
(5)從國外,721,1151,2404,596,1068,485,0,(5)From abroad,,(5)從國外,0,384,1289,0,0,0,0,3,(5)From abroad,,(5)從國外,0,0,0,0,0,1415,512,342,2664,(5)From abroad
6.雜項收入,195,529,203,83,135,109,377,6.Miscellaneous receipts,,6.雜項收入,155,79,476,46,51,81,91,62,6.Miscellaneous receipts,,6.雜項收入,282,962,141,504,128,67,40,117,39,6.Miscellaneous receipts
二、非消費支出,200033,292958,218895,212558,167908,223937,210255,B.Nonconsumption expenditures,,二、非消費支出,147677,169836,139182,144907,116271,131629,156115,166204,B.Nonconsumption expenditures,,二、非消費支出,146741,139669,191748,133915,188740,296367,200283,196748,190246,B.Nonconsumption expenditures
1.利息支出,42411,46065,52801,53740,25132,57655,31854,1.Interest,,1.利息支出,15753,36682,23386,31376,17568,22680,35166,40441,1.Interest,,1.利息支出,14308,28862,51263,19708,43621,78429,41524,44201,57134,1.Interest
2.經常移轉支出,157622,246893,166094,158818,142777,166281,178400,2.Current transfer expenditures,,2.經常移轉支出,131924,133154,115796,113530,98703,108949,120948,125762,2.Current transfer expenditures,,2.經常移轉支出,132434,110807,140486,114207,145118,217938,158758,152547,133113,2.Current transfer expenditures
(1)對私人,51472,89307,54694,51115,55345,50993,52569,(1)To private,,(1)對私人,44315,36659,22424,38051,35475,37018,33328,37222,(1)To private,,(1)對私人,54523,41779,52736,45188,52509,96107,39511,55434,41738,(1)To private
