L11106年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,
第10表家庭住宅及主要設備概況依可支配所得按戶數五等分位分,,,,Table 10. Household Housing and Household Facilities by Five Equal Divisions,,,
,,,,of Households according to Disposable Income,,,
民 國 106 年,,,,2 0 1 7,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
(2)數位影音光碟機,20.83,8.5399999999999991,14.18,20.13,24.94,36.340000000000003,(2)DVD player
(3)攝影機,4.6900000000000004,0.88,2.4900000000000002,3.74,4.72,11.59,(3)Movies camera
(4)音響,24.22,11.36,16.55,23.04,28.19,41.95,(4)Stereo
(5)鋼琴(含電子琴),7.51,1.64,3.84,6.48,8.15,17.440000000000001,(5)Piano
(6)數位相機,27.55,6.46,15.21,25.7,34.51,55.86,(6)Digital camera
(7)電視遊樂器,6.91,1.01,2.7,6.64,8.4,15.8,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),88.04,75.78,85.3,89.72,92.84,96.55,(8)Cable TV(MOD included)
(9)家用電腦,99.01,28.73,67.7,99.16,126.37,173.09,(9)Personal computer
(10)電話機,96.07,85.71,91.27,96.49,100.39,106.49,(10)Telephone
(11)行動電話,243.14,113.84,193.91,253.6,305.33,349.05,(11)Cell phone
(12)汽車,72.209999999999994,28.03,52.9,72.760000000000005,91.03,116.33,(12)Sedan vehicle
(13)機車,152.9,86.71,130.72999999999999,160.54,191.1,195.4,(13)Motorcycle
(14)電磁爐,35.58,19.73,30.88,34.94,42.31,50.03,(14)Electro-magnetic oven
(15)冷暖氣機,236.34,144.66999999999999,198.49,240.58,273.08,324.88,(15)Air conditioner
(16)除濕機,45.61,18.07,32.22,43.69,54.03,80.05,(16)Dehumidifier
(17)洗衣機,101.4,96.14,99.81,101.79,102.63,106.64,(17)Washing machine
(18)烘衣機,14.6,5.38,9.74,13.65,18.52,25.71,(18)Drier
(19)空氣清淨機,18.25,4.53,8.92,15.49,23.15,39.17,(19)Air-clean machine
(20)濾水器,37.630000000000003,18.64,28.87,36.97,45.06,58.62,(20)Water filter machine
(21)吸塵器,49.63,18.8,36.659999999999997,49.6,61.25,81.849999999999994,(21)Vacuum cleaner
(22)熱水器,107.2,100.81,104.53,106.32,109.15,115.21,(22)Geyser
(23)開飲機,44.49,37.049999999999997,42.96,46.45,47.31,48.66,(23)Hot-warm water fountain
(24)微波爐,42.94,23.93,37,44,50.7,59.06,(24)Microwave oven
(25)報紙,11.12,6.12,10.19,10.49,12.06,16.760000000000002,(25)Newspaper
(26)期刊雜誌,4.72,0.47,1.98,3.45,5.24,12.45,(26)Magazine
