appleL0690年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 90 年,,,單位：元,2 0 0 1 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,6730886,1346177,1346177,1346177,1346177,1346178,No. of households
平均每戶人數,3.58,2.0099999999999998,3.18,3.88,4.24,4.5999999999999996,No. of persons per household
平均每戶成年人數,2.5499999999999998,1.68,2.2200000000000002,2.61,2.9,3.32,No. of adults per household
平均每戶就業人數,1.56,0.66,1.23,1.62,1.96,2.35,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.06,1.3,1.59,1.91,2.34,No. of income recipients per household
一、所得收入總計,1064136,352329,658277,916753,1242356,2150962,A.Total receipts
1.受僱人員報酬,602182,100768,322330,488981,746353,1352476,1.Compensation of employees
(1)本業薪資,466157,80564,257724,391241,589642,1011615,(1)Full time payroll
(2)兼業薪資,30157,11197,24181,24113,23760,67535,(2)Part time payroll
(3)其他收入,105867,9008,40425,73627,132951,273326,(3)Other receipts or subsidies
2.產業主所得,176460,44020,114700,183041,210819,329720,2.Entrepreneurial income
3.財產所得收入,64933,21195,32289,41632,59915,169636,3. Property income
4.自用住宅設算租金收入,67941,37053,52696,64890,79124,105941,4.Imputed rent income
5.經常移轉收入,152430,149088,136069,138028,145945,193021,5.Current transfer receipts
(1)從私人,45484,63419,46424,37905,36079,43595,(1)From individuals
(2)從政府,31559,45383,32123,29787,26045,24460,(2)From government
(3)社會保險受益,72554,39650,55813,67914,80633,118758,(3)Benefit of social insurance
(4)從企業,1387,94,594,523,1008,4718,(4)From enterprises
(5)從國外,1446,543,1116,1900,2180,1491,(5)From abroad
6.雜項收入,190,205,193,182,201,168,6.Miscellaneous receipts
二、非消費支出,195485,72925,133511,176700,228878,365412,B.Nonconsumption expenditures
1.利息支出,42149,19903,38492,44472,49145,58731,1.Interest
2.經常移轉支出,153336,53022,95019,132227,179732,306681,2.Current transfer expenditures
(1)對私人,48635,18380,29756,40536,58003,96498,(1)To private
(2)對政府,32033,6440,14387,22432,34293,82611,(2)To government
(3)社會保險,68588,24912,48368,66690,86160,116811,(3)Social insurance
(4)對國外,4081,3290,2508,2570,1276,10760,(4)To abroad
,,,,,,,
90年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 90 年,,,單位：元,2 0 0 1 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,657872,283920,480451,629430,792556,1103002,C.Consumption expenditures
1.食品費,149253,70290,119616,152161,180481,223715,1.Food
2.飲料費,5721,2438,4288,5632,7062,9183,2.Beverage
3.菸草,5182,3259,4774,5780,6219,5879,3.Tobacco
4.衣著、鞋、襪類,23961,7610,15446,22151,29345,45253,4.Clothing and footwear
5.房地租及水費,143374,79908,113687,137648,165460,220169,5.Rent and water charges
6.燃料及燈光,18453,11180,15824,19142,21121,24997,6.Fuel and light
7.家具及家庭設備,11893,3365,7313,10052,14730,24005,7.Furniture and family facilities
8.家事管理,13852,3998,7963,10241,16799,30257,8.Household operations
9.保健及醫療,75853,44524,62148,74838,87981,109773,9.Health care and medical
10.運輸交通及通訊,76894,22510,50297,70984,95493,145187,10.Transport and communications
(1)交通及通訊工具之購置,10688,1310,4989,6731,12483,27928,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,34682,9493,23201,33767,44268,62681,(2)Operation of transport equipment
(3)乘交通設備之費用,8507,3765,6324,7742,10130,14572,(3)Purchased transportation
(4)其他通訊費,18164,6506,12563,18129,22606,31017,(4)Other communications
(5)汽機車保險費支出,4853,1436,3221,4614,6006,8990,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,87597,20317,52549,82603,111836,170680,"11.Recreation ,education and culture"
(1)旅遊費用,20456,5044,9563,14341,23313,50020,(1)Traveling
(2)娛樂消遣服務,9332,4204,7162,8833,10890,15572,(2)Recreation service
(3)書報雜誌文具,5145,1406,3273,4797,6398,9850,(3)Books and stationery
(4)娛樂器材及附屬品,8322,1923,4843,7044,10226,17575,(4)Recreation facilities
(5)教育與研究費,44342,7740,27708,47589,61009,77664,(5)Education and research
12.什項消費,45840,14522,26546,38198,56029,93906,12.Miscellaneous
可支配所得,868651,279404,524766,740054,1013478,1785550,Disposable income
消費支出,657872,283920,480451,629430,792556,1103002,Consumption expenditures
儲蓄,210779,-4516,44315,110623,220922,682548,Saving
所得總額,1108461,377559,691902,958381,1293283,2221177,Current receipts
