L09109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020",,109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020",,109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 109 年,,,,,2 0 2 0,,,,,民 國 109 年,,,,,2 0 2 0,,,,,民 國 109 年,,,,,2 0 2 0,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8829466,1594111,1060320,834453,993132,699095,1113881,No. of households,,家庭戶數,171495,202656,192076,394507,179226,242888,184112,No. of households,,家庭戶數,290649,83395,127030,41378,155018,169186,100858,No. of households
平均每戶人數,2.92,2.86,3.01,3.25,2.99,2.82,2.9,No. of persons per household,,平均每戶人數,2.94,3.24,3.02,2.82,2.79,2.85,2.5499999999999998,No. of persons per household,,平均每戶人數,2.8,2.2599999999999998,2.6,2.46,2.64,3.01,2.87,No. of persons per household
平均每戶成年人數,2.48,2.4900000000000002,2.59,2.61,2.5099999999999998,2.38,2.46,No. of adults per household,,平均每戶成年人數,2.4700000000000002,2.67,2.5299999999999998,2.41,2.41,2.4,2.25,No. of adults per household,,平均每戶成年人數,2.37,1.98,2.2200000000000002,2.09,2.29,2.44,2.39,No. of adults per household
平均每戶就業人數,1.37,1.34,1.4,1.54,1.41,1.37,1.35,No. of persons employed per household,,平均每戶就業人數,1.29,1.57,1.31,1.34,1.3,1.41,1.26,No. of persons employed per household,,平均每戶就業人數,1.34,1.2,1.07,1.1399999999999999,1.08,1.3,1.1499999999999999,No. of persons employed per household
平均每戶所得收入者人數,1.76,1.88,1.89,1.91,1.75,1.64,1.72,No. of income recipients per household,,平均每戶所得收入者人數,1.83,1.86,1.66,1.62,1.62,1.61,1.53,No. of income recipients per household,,平均每戶所得收入者人數,1.63,1.48,1.58,1.53,1.6,1.73,1.61,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
