L09104年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2015",,104年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2015",,104年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 104 年,,,,,2 0 1 5,,,,,民 國 104 年,,,,,2 0 1 5,,,,,民 國 104 年,,,,,2 0 1 5,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8386495,1503844,1041379,742046,920195,670228,1069177,No. of households,,家庭戶數,163974,181120,183736,380058,176609,238079,181653,No. of households,,家庭戶數,283712,82246,124617,37981,150947,156266,98628,No. of households
平均每戶人數,3.1,3.14,3.08,3.45,3.11,3.11,2.96,No. of persons per household,,平均每戶人數,3.23,3.31,3.15,3.15,3.01,2.9,3.09,No. of persons per household,,平均每戶人數,2.91,2.5299999999999998,2.71,2.5499999999999998,2.84,3.33,3.09,No. of persons per household
平均每戶成年人數,2.5299999999999998,2.58,2.6,2.69,2.54,2.52,2.46,No. of adults per household,,平均每戶成年人數,2.56,2.5099999999999998,2.52,2.59,2.4700000000000002,2.41,2.46,No. of adults per household,,平均每戶成年人數,2.37,1.98,2.25,2.16,2.4,2.58,2.4500000000000002,No. of adults per household
平均每戶就業人數,1.43,1.44,1.31,1.6,1.46,1.52,1.4,No. of persons employed per household,,平均每戶就業人數,1.46,1.49,1.35,1.56,1.43,1.41,1.42,No. of persons employed per household,,平均每戶就業人數,1.39,1.1200000000000001,1.1100000000000001,0.96,1.25,1.39,1.27,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.76,1.76,1.87,1.7,1.75,1.71,No. of income recipients per household,,平均每戶所得收入者人數,1.79,1.73,1.69,1.74,1.63,1.56,1.63,No. of income recipients per household,,平均每戶所得收入者人數,1.56,1.4,1.53,1.5,1.65,1.8,1.61,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
