appleL0684年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 84 年,,,單位：元,1 9 9 5 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,5731179,1146236,1146236,1146236,1146236,1146235,No. of households
平均每戶人數,3.94,2.3199999999999998,3.76,4.26,4.4800000000000004,4.8600000000000003,No. of persons per household
平均每戶成年人數,2.58,1.74,2.2799999999999998,2.59,2.9,3.4,No. of adults per household
平均每戶就業人數,1.72,0.85,1.39,1.73,2.06,2.54,No. of persons employed per household
平均每戶所得收入者人數,1.7,1.0900000000000001,1.34,1.65,1.96,2.46,No. of income recipients per household
一、所得收入總計,985929,374326,656824,871677,1148828,1877993,A.Total receipts
1.受僱人員報酬,570468,144939,335474,498498,696535,1176896,1.Compensation of employees
(1)本業薪資,449488,108578,269941,404395,558272,906256,(1)Full time payroll
(2)兼業薪資,25901,21534,20952,17395,17307,52319,(2)Part time payroll
(3)其他收入,95078,14827,44580,76708,120956,218321,(3)Other receipts or subsidies
2.產業主所得,182869,58220,145267,173852,206673,330332,2.Entrepreneurial income
3.財產所得收入,57197,20857,27987,37115,60774,139254,3. Property income
4.自用住宅設算租金收入,54432,28166,42528,53467,63236,84765,4.Imputed rent income
5.經常移轉收入,120564,121913,105284,108418,121178,146024,5.Current transfer receipts
(1)從私人,34717,51218,29767,26830,30822,34948,(1)From individuals
(2)從政府,23795,29127,24110,22814,21542,21383,(2)From government
(3)從企業,61632,41070,51402,58657,68042,88989,(3)From enterprises
(4)從國外,419,499,5,117,771,704,(4)From abroad
6.雜項收入,399,232,284,326,432,721,6.Miscellaneous receipts
二、非消費支出,174591,78160,131075,166964,200344,296412,B.Nonconsumption expenditures
1.利息支出,38349,21629,35318,39489,41585,53723,1.Interest
2.經常移轉支出,136242,56531,95757,127474,158758,242689,2.Current transfer expenditures
(1)對私人,45092,20955,32095,41624,51656,79131,(1)To private
(2)對政府,26442,6629,12687,19466,29659,63769,(2)To government
(3)對企業,62151,26479,50520,64134,75617,94005,(3)To enterprises
(4)對國外,2557,2468,455,2251,1827,5784,(4)To abroad
,,,,,,,
84年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 84 年,,,單位：元,1 9 9 5 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,591035,270859,451990,567437,685390,979498,C.Consumption expenditures
1.食品費,139736,73392,122416,145145,163031,194695,1.Food
2.飲料費,6046,3128,4918,6161,7072,8949,2.Beverage
3.菸草,4950,3319,4520,5278,5403,6230,3.Tobacco
4.衣著、鞋、襪類,27213,9695,18800,25345,32395,49829,4.Clothing and footwear
5.房地租及水費,130722,72254,105841,126269,146941,202306,5.Rent and water charges
6.燃料及燈光,16506,9844,14658,16871,18625,22534,6.Fuel and light
7.家具及家庭設備,15823,4934,9124,13463,18419,33175,7.Furniture and family facilities
8.家事管理,11215,3280,6113,9273,12718,24691,8.Household operations
9.保健及醫療,61271,38466,50919,58245,71000,87728,9.Health care and medical
10.運輸交通及通訊,59089,17576,38289,55584,69927,114068,10.Transport and communications
(1)交通及通訊工具之購置,15453,1982,6845,13144,17085,38210,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,25020,7459,17639,24891,31301,43808,(2)Operation of transport equipment
(3)乘交通設備之費用,8880,4182,7094,8583,10271,14271,(3)Purchased transportation
(4)其他通訊費,5819,3182,4704,5630,6543,9037,(4)Other communications
(5)汽機車保險費支出,3917,771,2007,3336,4726,8743,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,77519,21411,51315,71608,93906,149355,"11.Recreation ,education and culture"
(1)旅遊費用,24041,6233,10682,15562,25408,62318,(1)Traveling
(2)娛樂消遣服務,7752,3309,5946,7567,9070,12867,(2)Recreation service
(3)書報雜誌文具,5124,1892,3930,5041,6249,8511,(3)Books and stationery
(4)娛樂器材及附屬品,7719,2301,4871,6788,9679,14953,(4)Recreation facilities
(5)教育與研究費,32884,7676,25886,36651,43500,50706,(5)Education and research
12.什項消費,40945,13561,25077,34195,45953,85940,12.Miscellaneous
可支配所得,811338,296166,525749,704713,948484,1581581,Disposable income
消費支出,591035,270859,451990,567437,685390,979498,Consumption expenditures
儲蓄,220303,25307,73759,137276,263094,602083,Saving
所得總額,1029053,399427,691114,914241,1198315,1942171,Current receipts
