appleL0583年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 83 年,,,,單位：元,1 9 9 4 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,5567351,389100,556099,351006,3023501,52235,955988,239422,No. of households
平均每戶人數,4.0199999999999996,1,2,2.96,4.28,3.42,6.15,3.43,No. of persons per household
平均每戶成年人數,2.61,1,2,2.0099999999999998,2.5299999999999998,1.99,4.03,3,No. of adults per household
平均每戶就業人數,1.75,0.56999999999999995,1.06,1.53,1.84,0.91,2.4700000000000002,1.88,No. of persons employed per household
平均每戶所得收入者人數,1.72,1,1.25,1.61,1.74,1.22,2.2400000000000002,1.88,No. of income recipients per household
一、所得收入總計,904135,342278,590809,675958,996917,542105,1126658,898309,A.Total receipts
1.受僱人員報酬,553262,176845,282244,428974,632672,224794,674667,560783,1.Compensation of employees
(1)本業薪資,441959,127479,196713,354989,507707,150573,551248,447070,(1)Full time payroll
(2)兼業薪資,22864,27340,40362,15408,19345,44417,20440,35283,(2)Part time payroll
(3)其他收入,88439,22026,45169,58577,105620,29804,102979,78431,(3)Other receipts or subsidies
2.產業主所得,171475,39968,93850,95981,196995,48044,232890,135594,2.Entrepreneurial income
3.財產所得收入,52079,27408,58996,32770,52356,61795,64769,48118,3. Property income
4.自用住宅設算租金收入,47829,24178,38612,37527,51747,38858,54745,47631,4.Imputed rent income
5.經常移轉收入,79238,73753,116866,80525,62874,168351,99308,105929,5.Current transfer receipts
(1)從私人,33960,44631,69473,39559,22254,116286,34500,53624,(1)From individuals
(2)從政府,10221,13958,16456,11710,6597,19080,15337,10887,(2)From government
(3)從企業,34669,15008,30383,27474,33951,29619,48975,40170,(3)From enterprises
(4)從國外,388,156,554,1782,71,3366,495,1248,(4)From abroad
6.雜項收入,254,126,241,182,272,264,279,255,6.Miscellaneous receipts
二、非消費支出,134380,51569,92808,88068,154058,70559,151502,130473,B.Nonconsumption expenditures
1.利息支出,33747,11303,17997,26577,41768,15769,31955,27089,1.Interest
2.經常移轉支出,100633,40265,74811,61491,112289,54790,119547,103384,2.Current transfer expenditures
(1)對私人,42363,22451,32673,23987,47961,27617,45149,45573,(1)To private
(2)對政府,24257,6543,17312,13399,28452,8881,27721,21654,(2)To government
(3)對企業,31261,8986,18754,23327,33444,15143,43945,33459,(3)To enterprises
(4)對國外,2751,2285,6072,778,2433,3149,2731,2698,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
83年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 83 年,,,,單位：元,1 9 9 4 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,545987,204822,343861,415202,611886,361803,659247,517414,C.Consumption expenditures
1.食品費,130964,43323,72678,103364,143775,96313,174320,121900,1.Food
2.飲料費,6205,3158,3858,4340,6672,3992,8098,6353,2.Beverage
3.菸草,5068,2800,3343,3658,5094,2880,7363,5816,3.Tobacco
4.衣著、鞋、襪類,26769,8117,14618,18885,30438,14773,33524,26175,4.Clothing and footwear
5.房地租及水費,124366,67003,94970,104380,137361,94989,132723,124096,5.Rent and water charges
6.燃料及燈光,15676,6702,10739,12809,16968,12217,19707,14277,6.Fuel and light
7.家具及家庭設備,14320,4216,10441,9398,16291,5771,16647,14657,7.Furniture and family facilities
8.家事管理,10542,3253,5336,6430,13062,5845,11191,7107,8.Household operations
9.保健及醫療,46365,21302,40491,35731,45650,43911,66431,45778,9.Health care and medical
10.運輸交通及通訊,53894,14358,27810,34729,62694,24833,65153,57091,10.Transport and communications
(1)交通及通訊工具之購置,13322,1647,5134,7177,16181,4227,15720,16636,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,22880,5312,11056,13604,26593,8939,29521,22130,(2)Operation of transport equipment
(3)乘交通設備之費用,8617,4176,5873,8051,9686,6010,8912,8943,(3)Purchased transportation
(4)其他通訊費,5152,2461,3986,4351,5584,4836,5744,5665,(4)Other communications
(5)汽機車保險費支出,3922,763,1761,1547,4650,821,5256,3717,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,73582,17474,32050,51475,91609,37874,78805,52938,"11.Recreation ,education and culture"
(1)旅遊費用,22844,9893,20073,13515,25644,12025,24586,24044,(1)Traveling
(2)娛樂消遣服務,7096,2898,4343,6225,8168,3691,7598,6790,(2)Recreation service
(3)書報雜誌文具,5175,1554,2718,3837,6258,2993,5610,3793,(3)Books and stationery
(4)娛樂器材及附屬品,7515,2716,4554,5010,9028,3245,7756,6730,(4)Recreation facilities
(5)教育與研究費,30952,414,363,22888,42510,15921,33254,11580,(5)Education and research
12.什項消費,38236,13114,27527,30003,42271,18405,45286,41227,12.Miscellaneous
可支配所得,769755,290709,498001,587890,842860,471546,975156,767836,Disposable income
消費支出,545987,204822,343861,415202,611886,361803,659247,517414,Consumption expenditures
儲蓄,223768,85887,154140,172688,230974,109743,315909,250422,Saving
所得總額,948941,362954,626388,710068,1045798,576881,1178213,943222,Current receipts
