appleL0290年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,,民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,,,民 國 90 年,,,,,單位：元,2 0 0 1 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,6730886,892578,502485,1151775,133841,514067,117923,No. of households,,家庭戶數,147589,400204,321451,152241,202618,156628,327217,380170,No. of households,,家庭戶數,250440,73323,107250,27933,130835,113749,314134,80514,231921,No. of households
平均每戶人數,3.58,3.59,3.46,3.66,3.56,3.84,3.76,No. of persons per household,,平均每戶人數,3.98,3.81,3.8,3.55,3.26,3.49,3.45,3.39,No. of persons per household,,平均每戶人數,3.37,3.11,3.28,2.94,3.5,3.62,3.55,3.47,3.5,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.6,2.54,2.57,2.5499999999999998,2.65,2.66,No. of adults per household,,平均每戶成年人數,2.82,2.5299999999999998,2.63,2.67,2.36,2.5099999999999998,2.46,2.4300000000000002,No. of adults per household,,平均每戶成年人數,2.4700000000000002,2.27,2.29,2.21,2.52,2.5099999999999998,2.5,2.48,2.5299999999999998,No. of adults per household
平均每戶就業人數,1.56,1.5,1.46,1.62,1.35,1.67,1.7,No. of persons employed per household,,平均每戶就業人數,1.75,1.66,1.66,1.61,1.57,1.62,1.56,1.52,No. of persons employed per household,,平均每戶就業人數,1.53,1.44,1.3,0.94,1.47,1.61,1.53,1.48,1.53,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.63,1.6,1.7,1.52,1.76,1.85,No. of income recipients per household,,平均每戶所得收入者人數,1.81,1.64,1.64,1.65,1.53,1.53,1.6,1.58,No. of income recipients per household,,平均每戶所得收入者人數,1.57,1.53,1.41,1.35,1.64,1.75,1.64,1.59,1.59,No. of income recipients per household
一、所得收入總計,1064136,1505506,1169386,1098408,877199,1143050,1106603,A.Total receipts,,一、所得收入總計,944066,902725,845708,836262,873803,783819,821843,783331,A.Total receipts,,一、所得收入總計,838027,760989,933484,732306,964170,1419946,1251144,975877,943224,A.Total receipts
1.受僱人員報酬,602182,877108,672054,671048,422063,691763,689725,1.Compensation of employees,,1.受僱人員報酬,520583,515041,418837,413711,403835,358974,431495,461166,1.Compensation of employees,,1.受僱人員報酬,423343,416653,458204,358763,597006,877981,622029,498886,525535,1.Compensation of employees
(1)本業薪資,466157,672658,517063,533401,312325,534197,516039,(1)Full time payroll,,(1)本業薪資,402328,412278,340246,306811,311941,265285,337368,370417,(1)Full time payroll,,(1)本業薪資,331989,303709,326598,273343,469665,604681,468194,378491,403277,(1)Full time payroll
(2)兼業薪資,30157,36895,42254,23943,41514,25884,44695,(2)Part time payroll,,(2)兼業薪資,25023,22948,17099,40427,28632,39266,31300,21016,(2)Part time payroll,,(2)兼業薪資,18416,41671,42103,23829,26793,37466,36019,26291,36018,(2)Part time payroll
(3)其他收入,105867,167555,112738,113704,68224,131682,128991,(3)Other receipts or subsidies,,(3)其他收入,93232,79814,61492,66473,63262,54422,62826,69732,(3)Other receipts or subsidies,,(3)其他收入,72938,71273,89503,61591,100548,235834,117816,94103,86240,(3)Other receipts or subsidies
2.產業主所得,176460,204835,189354,158531,140831,178081,105717,2.Entrepreneurial income,,2.產業主所得,160004,159745,204410,167048,189151,156951,139918,127229,2.Entrepreneurial income,,2.產業主所得,180861,119997,191793,116484,118262,190599,308330,173014,184106,2.Entrepreneurial income
3.財產所得收入,64933,139142,85183,60887,50418,46916,27284,3. Property income,,3.財產所得收入,45814,35281,33731,51067,63052,39950,36500,25814,3. Property income,,3.財產所得收入,43727,39889,38337,67275,34112,84202,104301,89967,50204,3. Property income
4.自用住宅設算租金收入,67941,103540,64617,78787,52598,91012,113422,4.Imputed rent income,,4.自用住宅設算租金收入,52638,45888,56475,41204,47046,41351,52842,39607,4.Imputed rent income,,4.自用住宅設算租金收入,35120,32167,57260,17286,52499,76901,72140,61335,62767,4.Imputed rent income
5.經常移轉收入,152430,180490,157711,129101,211146,135150,170118,5.Current transfer receipts,,5.經常移轉收入,164909,146680,132088,163213,170688,186288,160923,129481,5.Current transfer receipts,,5.經常移轉收入,154680,151888,187723,171702,162137,190264,144113,152378,120550,5.Current transfer receipts
(1)從私人,45484,79080,57842,37504,58418,33384,43225,(1)From individuals,,(1)從私人,42637,33495,35162,31047,50953,42188,39478,30467,(1)From individuals,,(1)從私人,49289,27279,51220,52323,44428,52217,39464,47815,29186,(1)From individuals
(2)從政府,31559,28796,24677,25018,41185,30124,46803,(2)From government,,(2)從政府,36569,26125,32498,43542,47575,47411,42577,31079,(2)From government,,(2)從政府,39072,46539,34939,51246,39048,31142,26331,27521,24718,(2)From government
(3)社會保險受益,72554,68262,71110,64886,108405,70766,79887,(3)Benefit of social insurance,,(3)社會保險受益,85147,79949,64175,84457,72118,92649,76989,64404,(3)Benefit of social insurance,,(3)社會保險受益,64387,77902,100298,62925,78291,98551,71985,74465,66327,(3)Benefit of social insurance
(4)從企業,1387,1626,3391,389,2654,645,196,(4)From enterprises,,(4)從企業,556,4718,253,538,43,1197,387,2488,(4)From enterprises,,(4)從企業,724,167,1262,5208,371,7841,290,1451,0,(4)From enterprises
(5)從國外,1446,2727,691,1304,485,232,7,(5)From abroad,,(5)從國外,0,2393,0,3629,0,2842,1491,1043,(5)From abroad,,(5)從國外,1209,0,4,0,0,512,6043,1125,318,(5)From abroad
6.雜項收入,190,391,467,54,142,128,338,6.Miscellaneous receipts,,6.雜項收入,117,90,167,18,30,306,165,36,6.Miscellaneous receipts,,6.雜項收入,296,396,167,797,155,0,233,299,61,6.Miscellaneous receipts
二、非消費支出,195485,287574,205717,202221,151309,219749,183927,B.Nonconsumption expenditures,,二、非消費支出,166725,161825,139014,142233,141520,123436,141952,151410,B.Nonconsumption expenditures,,二、非消費支出,158306,133984,188833,136759,188472,318118,224382,190295,172441,B.Nonconsumption expenditures
1.利息支出,42149,48579,47432,53078,24752,52962,27334,1.Interest,,1.利息支出,22921,36861,23605,22217,25094,21463,28939,36511,1.Interest,,1.利息支出,23022,26258,46252,18600,51051,61839,63366,39430,46320,1.Interest
2.經常移轉支出,153336,238995,158286,149143,126557,166787,156594,2.Current transfer expenditures,,2.經常移轉支出,143804,124964,115409,120017,116425,101973,113013,114898,2.Current transfer expenditures,,2.經常移轉支出,135284,107726,142581,118159,137421,256279,161016,150865,126121,2.Current transfer expenditures
(1)對私人,48635,84479,52153,46720,46042,47356,51421,(1)To private,,(1)對私人,44149,29585,27165,35900,39329,31047,31403,34973,(1)To private,,(1)對私人,56938,41644,54701,53827,45376,87790,42729,48062,36686,(1)To private
(2)對政府,32033,59895,34718,27984,20174,33580,31219,(2)To government,,(2)對政府,29471,25411,26133,24227,22395,17584,21072,19485,(2)To government,,(2)對政府,21984,14322,26672,13005,20891,62753,39922,34725,24306,(2)To government
(3)社會保險,68588,83674,66243,72943,59223,77524,73944,(3)Social insurance,,(3)社會保險,66798,66941,60948,55043,54412,53195,60179,59829,(3)Social insurance,,(3)社會保險,56144,51384,58269,49905,64964,82520,75819,62342,62803,(3)Social insurance
(4)對國外,4081,10948,5172,1495,1118,8326,8,(4)To abroad,,(4)對國外,3386,3027,1162,4847,289,146,359,612,(4)To abroad,,(4)對國外,218,375,2940,1422,6190,23217,2546,5736,2326,(4)To abroad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,meaningless for precise statistics.,,,,
90年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續三),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.3),,,,,第2表 平均每戶家庭收支按區域別分(續四),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.4),,,,,,第2表 平均每戶家庭收支按區域別分(續完),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.End),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,,民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,,,民 國 90 年,,,,,單位：元,2 0 0 1 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、消費支出,657872,955897,672098,693068,547440,693702,643622,C.Consumption expenditures,,三、消費支出,596454,602026,522152,498200,506641,502445,502808,464689,C.Consumption expenditures,,三、消費支出,500335,429335,577981,390512,641952,850319,737772,634707,623671,C.Consumption expenditures
1.食品費,149253,204324,166562,159459,100948,153688,104068,1.Food,,1.食品費,113031,131245,137779,121807,120470,133255,122237,112798,1.Food,,1.食品費,116406,93160,115305,83086,158488,179963,159519,157950,151673,1.Food
2.飲料費,5721,8306,5773,6258,5216,5945,6152,2.Beverage,,2.飲料費,5950,4348,5095,4493,4767,5065,4351,3646,2.Beverage,,2.飲料費,5153,4256,6744,4597,5374,4831,5776,4222,4880,2.Beverage
3.菸草,5182,4265,5223,6290,5036,6144,5934,3.Tobacco,,3.菸草,6253,4038,4268,5370,5519,5130,5107,4945,3.Tobacco,,3.菸草,4766,4770,5382,4892,5871,4874,4854,4176,4442,3.Tobacco
4.衣著、鞋、襪類,23961,32542,20697,27988,18941,30104,23978,4.Clothing and footwear,,4.衣著、鞋、襪類,25040,26573,17524,18441,18094,16319,14367,15281,4.Clothing and footwear,,4.衣著、鞋、襪類,16811,16169,18860,16782,26197,30184,23646,21941,22901,4.Clothing and footwear
5.房地租及水費,143374,253778,137431,156598,99153,138324,174100,5.Rent and water charges,,5.房地租及水費,113480,117447,98469,98729,85518,76004,99132,98856,5.Rent and water charges,,5.房地租及水費,92553,80098,110917,79841,126463,178078,168020,135842,132818,5.Rent and water charges
6.燃料及燈光,18453,21674,18115,22922,18965,19134,18394,6.Fuel and light,,6.燃料及燈光,19626,14617,15888,14809,15499,14330,14936,15109,6.Fuel and light,,6.燃料及燈光,13301,14180,16970,19316,18267,18026,18041,20277,18176,6.Fuel and light
7.家具及家庭設備,11893,19248,13966,11747,9076,12046,13299,7.Furniture and family facilities,,7.家具及家庭設備,14614,8516,9730,8760,8419,12452,7787,6219,7.Furniture and family facilities,,7.家具及家庭設備,9710,6511,11201,9976,12748,19529,10320,12575,9569,7.Furniture and family facilities
