appleL0698年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 98 年,,,單位：元,2 0 0 9 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7688014,1537603,1537603,1537603,1537603,1537602,No. of households
平均每戶人數,3.34,1.89,2.93,3.57,3.96,4.34,No. of persons per household
平均每戶成年人數,2.57,1.66,2.23,2.66,2.98,3.33,No. of adults per household
平均每戶就業人數,1.46,0.53,1.1399999999999999,1.53,1.85,2.25,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.06,1.28,1.61,1.9,2.36,No. of income recipients per household
一、所得收入總計,1074180,343064,663508,932259,1267653,2164415,A.Total receipts
1.受僱人員報酬,608940,85526,308523,503135,750782,1396733,1.Compensation of employees
(1)本業薪資,457531,69742,245792,395349,574972,1001799,(1)Full time payroll
(2)兼業薪資,40335,8757,24481,31008,40875,96554,(2)Part time payroll
(3)其他收入,111074,7028,38249,76778,134935,298380,(3)Other receipts or subsidies
2.產業主所得,145223,30046,93283,137977,180646,284163,2.Entrepreneurial income
3.財產所得收入,50660,13514,22370,35266,52907,129241,3. Property income
4.自用住宅設算租金收入,66407,37479,52573,62275,76864,102846,4.Imputed rent income
5.經常移轉收入,202780,176247,186578,193468,206329,251275,5.Current transfer receipts
(1)從私人,55435,68164,56922,50033,47926,54130,(1)From individuals
(2)從政府,60086,67524,64173,61745,57694,49296,(2)From government
(3)社會保險受益,84337,40052,64173,79224,98326,139909,(3)Benefit of social insurance
(4)從企業,1895,220,623,939,1242,6450,(4)From enterprises
(5)從國外,1027,287,688,1527,1141,1491,(5)From abroad
6.雜項收入,170,251,181,138,125,157,6.Miscellaneous receipts
二、非消費支出,186575,60804,118975,160687,218412,373997,B.Nonconsumption expenditures
1.利息支出,14531,4636,11515,14399,18103,24001,1.Interest
2.經常移轉支出,172044,56168,107461,146288,200308,349997,2.Current transfer expenditures
(1)對私人,48303,17056,29117,38269,55194,101877,(1)To private
(2)對政府,32492,7353,14907,21555,34380,84262,(2)To government
(3)社會保險,87784,31155,61609,84236,108592,153327,(3)Social insurance
(4)對國外,3466,604,1827,2228,2143,10530,(4)To abroad
,,,,,,,
98年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 98 年,,,單位：元,2 0 0 9 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,705680,312957,520079,674549,856788,1164025,C.Consumption expenditures
1.食品及非酒精飲料,107850,58132,88406,111295,128617,152800,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9862,6168,9272,10552,11042,12278,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22483,7205,14110,19975,27784,43342,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,171482,101438,139567,165307,194953,256146,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,150999,88306,121689,144271,171426,229306,(1)Rent and water charges
(2)電費及燃料,20483,13132,17877,21036,23528,26839,(2)Power and fuel
5.家具設備及家務維護,17850,6352,11815,15228,20376,35479,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,101969,50640,78073,98025,125674,157432,6.Health
7.交通,66326,19442,42725,58290,85164,126009,7.Transport
(1)個人交通工具之購置,8898,1249,2797,3879,11697,24867,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43567,13009,30328,42106,56504,75887,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9575,3806,6701,8448,11528,17390,(3)Transport services
(4)汽、機車保險費,4287,1377,2898,3857,5435,7865,(4)Insurance of vehicles
8.通訊,23526,8689,17533,23446,29964,38000,8.Communication
9.休閒與文化,35389,11354,20799,28538,40743,75511,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),12091,2793,4677,6940,12642,33404,(1)Package holidays
(2)娛樂消遣及文化服務,8720,4880,7134,8378,9876,13331,(2)Recreational and cultural services
(3)書報雜誌文具,6610,1611,4556,6859,8556,11466,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7968,2070,4431,6361,9669,17311,(4)Recreational facilities
10.教育,42510,6730,25526,45261,59717,75314,10.Education
11.餐廳及旅館,66112,23148,46551,64840,83162,112857,11.Restaurants and hotels
12.什項消費,40321,13659,25703,33792,49592,78858,12.Miscellaneous goods and services
可支配所得,887605,282260,544532,771572,1049242,1790418,Disposable income
消費支出,705680,312957,520079,674549,856788,1164025,Consumption expenditures
儲蓄,181925,-30697,24453,97023,192454,626394,Saving
所得總額,1128201,374298,706053,984267,1328893,2247496,Current receipts
