L0992年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2003",,92年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2003",,92年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 92 年,,,,,2 0 0 3,,,,,民 國 92 年,,,,,2 0 0 3,,,,,,民 國 92 年,,,,,2 0 0 3,,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,6961560,910176,523086,1203920,136750,545185,125001,No. of households,,家庭戶數,151880,412528,329560,156293,206801,159422,334377,389949,No. of households,,家庭戶數,255202,75014,110045,28781,135536,119829,328823,83374,240028,No. of households
平均每戶人數,3.53,3.37,3.4,3.53,3.7,3.86,3.99,No. of persons per household,,平均每戶人數,3.9,3.69,3.95,3.55,3.36,3.41,3.41,3.36,No. of persons per household,,平均每戶人數,3.29,2.88,3.31,3.1,3.44,3.58,3.49,3.5,3.49,No. of persons per household
平均每戶成年人數,2.6,2.56,2.52,2.61,2.61,2.77,2.84,No. of adults per household,,平均每戶成年人數,2.82,2.66,2.85,2.54,2.4900000000000002,2.5299999999999998,2.54,2.54,No. of adults per household,,平均每戶成年人數,2.4700000000000002,2.0699999999999998,2.39,2.2000000000000002,2.57,2.56,2.5299999999999998,2.4900000000000002,2.63,No. of adults per household
平均每戶就業人數,1.54,1.42,1.44,1.62,1.44,1.6,1.88,No. of persons employed per household,,平均每戶就業人數,1.83,1.64,1.77,1.61,1.65,1.54,1.56,1.44,No. of persons employed per household,,平均每戶就業人數,1.45,1.21,1.3,0.99,1.39,1.55,1.47,1.4,1.54,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.6,1.59,1.72,1.63,1.75,1.97,No. of income recipients per household,,平均每戶所得收入者人數,1.83,1.67,1.77,1.6,1.56,1.54,1.63,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.49,1.39,1.47,1.27,1.54,1.72,1.59,1.52,1.6,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,,1.By tenure of dwelling
(1)自有,85.11,77.94,81.58,82.7,93.83,87.42,94.03,(1)Self-owned,,(1)自有,91.87,84.8,91.52,87,91.03,94.64,90.25,85.28,(1)Self-owned,,(1)自有,90.63,87.61,85.56,85.02,82.88,88.7,80.66,88.57,82.11,(1)Self-owned
(2)租押,8.52,12.03,8.9700000000000006,13.07,4.47,7.38,3.39,(2)Rented,,(2)租押,4.01,8.61,4.4800000000000004,5.39,5.86,2.33,5.28,6.66,(2)Rented,,(2)租押,2.48,6.17,7.92,2.99,9.64,6.3,10.29,6.56,9.89,(2)Rented
(3)其他(含配住及借用),6.37,10.02,9.4499999999999993,4.2300000000000004,1.7,5.2,2.57,(3)Issued、lease and others,,(3)其他(含配住及借用),4.13,6.59,4,7.61,3.11,3.02,4.47,8.06,(3)Issued、lease and others,,(3)其他(含配住及借用),6.89,6.22,6.52,11.98,7.48,5,9.0500000000000007,4.8600000000000003,8,(3)Issued、lease and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,,2.By usage of dwelling
(1)專用,95.07,95.86,97.68,97.52,89.59,95.5,93.42,(1)Independent,,(1)專用,94.12,95.07,93.73,91.67,97.42,89.31,94.05,97.81,(1)Independent,,(1)專用,95.05,90.31,90.22,94.47,98.68,95.73,90.35,95.2,88.42,(1)Independent
(2)併用,4.93,4.1399999999999997,2.3199999999999998,2.48,10.41,4.5,6.58,(2)Connected,,(2)併用,5.88,4.93,6.27,8.33,2.58,10.69,5.95,2.19,(2)Connected,,(2)併用,4.95,9.69,9.7799999999999994,5.53,1.32,4.2699999999999996,9.65,4.8,11.58,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,,3.By style of building
(1)平房,13.72,4.2699999999999996,6.16,5.94,15.14,8.61,13,(1)One story,,(1)平房,18.55,12.93,22.29,29.18,32.15,37.64,27.95,17.989999999999998,(1)One story,,(1)平房,26.84,45.16,32.1,24.59,10.33,5.6,9.44,17.36,11.15,(1)One story
(2)二～三層樓,42.72,10.050000000000001,34.68,13.68,72.55,57.1,71.33,(2)Two or three stories,,(2)二～三層樓,75.19,65.55,67.59,62.5,62.52,59.73,61.43,59.15,(2)Two or three stories,,(2)二～三層樓,65.17,51.26,57.93,69.489999999999995,20.95,47.93,36.83,54.21,54.35,(2)Two or three stories
(3)四～五層樓,26.75,52.78,33.799999999999997,51.59,8.3000000000000007,20.02,10.29,(3)Four or five stories,,(3)四～五層樓,5.27,13.18,6.42,6.33,4.5999999999999996,2.2999999999999998,7.37,14.52,(3)Four or five stories,,(3)四～五層樓,4.4000000000000004,0.39,6.28,5.41,52.3,24.92,22.78,13.37,23.29,(3)Four or five stories
(4)六層樓以上,16.809999999999999,32.9,25.35,28.79,4.01,14.27,5.38,"(4)Apartment, six stories or over",,(4)六層樓以上,0.99,8.35,3.7,1.99,0.73,0.32,3.25,8.34,"(4)Apartment, six stories or over",,(4)六層樓以上,3.59,3.19,3.7,0.51,16.420000000000002,21.55,30.95,15.07,11.21,"(4)Apartment, six stories or over"
4.具有自來水設備,93.48,99.8,98.99,98.44,88.33,92.36,77.86,4.Piped water equipment,,4.具有自來水設備,78.08,88.05,87.58,85.47,99.52,97.97,99.37,94.51,4.Piped water equipment,,4.具有自來水設備,48.83,86,80.95,98.75,100,95.74,99.67,100,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,,5.Parking lot
(1)自有停車位,45.62,22.1,30.44,37.6,60.96,47.36,59.89,(1)Self-owned,,(1)自有停車位,59.6,49.16,60.19,51.13,65.63,63.06,66.5,45.73,(1)Self-owned,,(1)自有停車位,78.760000000000005,62.54,44.55,67.14,25.01,50.74,37.479999999999997,56.13,47.12,(1)Self-owned
(2)租借停車位,7.51,20.170000000000002,7.75,16.100000000000001,1.76,3.6,0.73,(2)Rented,,(2)租借停車位,4.3499999999999996,2.09,0.97,4.2699999999999996,2.04,1.38,2.23,3.72,(2)Rented,,(2)租借停車位,1.67,2.87,1.73,6.76,6.85,10.74,7.28,3.14,1.23,(2)Rented
(3)無停車位,46.87,57.73,61.81,46.3,37.28,49.04,39.380000000000003,(3)None,,(3)無停車位,36.049999999999997,48.75,38.85,44.6,32.340000000000003,35.56,31.27,50.55,(3)None,,(3)無停車位,19.57,34.58,53.72,26.1,68.14,38.520000000000003,55.25,40.729999999999997,51.66,(3)None
