appleL0497年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2008",,97年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 97 年,,,單位：元,2 0 0 8 Unit:NT$,,,,,民 國 97 年,,單位：元,2 0 0 8 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
家庭戶數,7544629,460852,507188,1151928,443408,1088940,No. of households,,家庭戶數,411789,833931,967950,352364,1326280,No. of households
平均每戶人數,3.35,3.83,3.42,3.65,3.42,3.48,No. of persons per household,,平均每戶人數,3.16,4,3.96,3.4,1.98,No. of persons per household
平均每戶成年人數,2.56,2.75,2.54,2.67,2.69,2.62,No. of adults per household,,平均每戶成年人數,2.6,2.87,2.97,2.67,1.78,No. of adults per household
平均每戶就業人數,1.49,1.86,1.67,1.73,1.59,1.84,No. of persons employed per household,,平均每戶就業人數,1.85,1.85,1.9,1.68,0.06,No. of persons employed per household
平均每戶所得收入者人數,1.65,1.84,1.8,1.82,1.73,1.61,No. of income recipients per household,,平均每戶所得收入者人數,1.49,1.83,1.93,1.75,1.1000000000000001,No. of income recipients per household
一、所得收入總計,1099994,2053481,1859356,1394605,1116275,1031671,A.Total receipts,,一、所得收入總計,719869,1036126,1023591,801683,566259,A.Total receipts
1.受僱人員報酬,623282,1258272,1360284,988776,759933,392593,1.Compensation of employees,,1.受僱人員報酬,181917,570142,633332,487929,146147,1.Compensation of employees
(1)本業薪資,472570,954745,1021143,748126,562964,310830,(1)Full time payroll,,(1)本業薪資,138099,491655,520325,405806,33223,(1)Full time payroll
(2)兼業薪資,39310,40390,51061,35314,48895,16869,(2)Part time payroll,,(2)兼業薪資,24481,16818,18446,22660,91531,(2)Part time payroll
(3)其他收入,111401,263137,288080,205336,148073,64894,(3)Other receipts or subsidies,,(3)其他收入,19337,61669,94561,59463,21393,(3)Other receipts or subsidies
2.產業主所得,149688,385010,131615,86600,34190,353228,2.Entrepreneurial income,,2.產業主所得,243406,181379,119012,51970,447,2.Entrepreneurial income
3.財產所得收入,51913,113023,94059,54279,55816,33677,3. Property income,,3.財產所得收入,18939,23069,18797,16900,88022,3. Property income
4.自用住宅設算租金收入,66852,112681,97836,80222,71211,59899,4.Imputed rent income,,4.自用住宅設算租金收入,41124,57799,57972,47842,56931,4.Imputed rent income
5.經常移轉收入,208079,184390,175454,184649,194996,192091,5.Current transfer receipts,,5.經常移轉收入,234198,203520,194321,196795,274431,5.Current transfer receipts
(1)從私人,53337,30830,43251,40164,47472,41448,(1)From individuals,,(1)從私人,48211,31995,30824,38490,123567,(1)From individuals
(2)從政府,42666,23095,22242,26856,29401,38911,(2)From government,,(2)從政府,84579,40302,35870,45587,71186,(2)From government
(3)社會保險受益,108210,126861,107300,112164,112390,107121,(3)Benefit of social insurance,,(3)社會保險受益,99491,129224,124528,110728,75054,(3)Benefit of social insurance
(4)從企業,2386,2471,1760,3864,1537,4133,(4)From enterprises,,(4)從企業,1918,1870,1661,1496,1395,(4)From enterprises
(5)從國外,1479,1134,901,1602,4196,478,(5)From abroad,,(5)從國外,0,129,1439,493,3229,(5)From abroad
6.雜項收入,181,105,108,78,130,183,6.Miscellaneous receipts,,6.雜項收入,285,218,158,246,282,6.Miscellaneous receipts
二、非消費支出,186308,416922,364242,258789,182947,160934,B.Nonconsumption expenditures,,二、非消費支出,101581,165562,163936,117082,71204,B.Nonconsumption expenditures
1.利息支出,18247,38991,33602,25978,19111,18826,1.Interest,,1.利息支出,3941,16966,16468,10610,6262,1.Interest
2.經常移轉支出,168061,377931,330640,232811,163837,142107,2.Current transfer expenditures,,2.經常移轉支出,97640,148596,147468,106472,64942,2.Current transfer expenditures
(1)對私人,49801,112655,101189,67732,44806,45079,(1)To private,,(1)對私人,33096,40399,35570,25992,26093,(1)To private
(2)對政府,35322,109622,86587,52505,31742,24048,(2)To government,,(2)對政府,14513,25378,24209,15500,11519,(2)To government
(3)社會保險,79897,140203,130482,108488,86034,71998,(3)Social insurance,,(3)社會保險,49868,81726,86881,64393,26397,(3)Social insurance
(4)對國外,3040,15452,12382,4086,1255,982,(4)To abroad,,(4)對國外,164,1093,807,588,932,(4)To abroad
,,,,,,,,,,,,,,,
97年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2008",,97年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 97 年,,,單位：元,2 0 0 8 Unit:NT$,,,,,民 國 97 年,,單位：元,2 0 0 8 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,705413,1130818,983944,865896,732389,677600,C.Consumption expenditures,,三、消費支出,493887,706198,693330,561322,437792,C.Consumption expenditures
1.食品費,161927,216977,191650,189031,169821,164380,1.Food,,1.食品費,121334,180854,181457,149368,93022,1.Food
2.飲料費,6304,9547,6727,7065,6201,6711,2.Beverage,,2.飲料費,6168,7981,6639,5548,2998,2.Beverage
3.菸草,5562,6140,2854,4683,3786,6256,3.Tobacco,,3.菸草,7120,9219,7599,7189,2483,3.Tobacco
4.衣著、鞋、襪類,22447,42821,35581,30701,23711,20977,4.Clothing and footwear,,4.衣著、鞋、襪類,13480,21939,21508,15484,9601,4.Clothing and footwear
5.房地租及水費,147287,232204,212078,173379,157765,143421,5.Rent and water charges,,5.房地租及水費,84491,129344,129506,117275,121740,5.Rent and water charges
6.燃料及燈光,20389,25886,22557,22231,21006,20777,6.Fuel and light,,6.燃料及燈光,17750,22509,21692,18950,14441,6.Fuel and light
7.家具及家庭設備,11915,24209,24641,16773,11050,10407,7.Furniture and family facilities,,7.家具及家庭設備,6844,9280,9525,6748,6435,7.Furniture and family facilities
8.家事管理,13043,28443,27681,19140,13981,10190,8.Household operations,,8.家事管理,4750,8691,8566,7217,8951,8.Household operations
9.保健及醫療,103285,128715,116251,116019,99640,92874,9.Health care and medical,,9.保健及醫療,101212,103154,103051,91634,92187,9.Health care and medical
10.運輸交通及通訊,84499,155793,121230,114725,88173,79171,10.Transport and communications,,10.運輸交通及通訊,58443,91837,85784,59025,31879,10.Transport and communications
(1)交通及通訊工具之購置,7197,18718,11489,10224,7816,5623,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,3098,7714,7354,2609,2057,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,41907,77277,62162,58545,40468,38441,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,31996,47078,42933,28431,13405,(2)Operation of transport equipment
(3)乘交通設備之費用,8011,13638,11475,10787,10420,7372,(3)Purchased transportation,,(3)乘交通設備之費用,5153,7371,6329,6171,5045,(3)Purchased transportation
(4)其他通訊費,22855,37166,29486,29146,25213,23574,(4)Other communications,,(4)其他通訊費,14617,24710,24490,18948,9739,(4)Other communications
