L1099年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 99 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(6)數位相機,50.53,31.63,52.65,(6)Digital camera
(7)電視遊樂器,10.19,3.12,10.98,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),82.98,67.790000000000006,84.68,(8)Cable TV(MOD included)
(9)家用電腦,71.319999999999993,50.11,73.7,(9)Personal computer
(10)電話機,95.72,97.46,95.53,(10)Telephone
(11)行動電話,90.58,80.77,91.68,(11)Cell phone
(12)連網(使用電腦或其他設備),67.87,46.79,70.239999999999995,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2010"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 0,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,57.78,60.29,57.5,(13)Sedan vehicle
(14)機車,82.25,88.66,81.53,(14)Motorcycle
(15)電磁爐,39.39,27.04,40.770000000000003,(15)Electro-magnetic oven
(16)冷暖氣機,89.05,77.930000000000007,90.3,(16)Air conditioner
(17)除濕機,30.29,12.62,32.270000000000003,(17)Dehumidifier
(18)洗衣機,97.76,96.76,97.88,(18)Washing machine
(19)烘衣機,16.98,13.35,17.39,(19)Drier
(20)空氣清淨機,10.28,2.31,11.18,(20)Air-clean machine
(21)濾水器,32.729999999999997,23.62,33.75,(21)Water filter machine
(22)吸塵器,39.65,23.81,41.43,(22)Vacuum cleaner
(23)熱水器,97.11,94.92,97.36,(23)Geyser
(24)開飲機,52.75,56.27,52.35,(24)Hot-warm water fountain
(25)微波爐,44.36,29.45,46.04,(25)Microwave oven
(26)報紙,21.09,20.81,21.12,(26)Newspaper
(27)期刊雜誌,8.8699999999999992,4.25,9.39,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,154.31,152.62,154.5,(1)Color TV
一般彩色電視機,100.73,117.78,98.81,Non-LCD TV
液晶、電漿電視,53.58,34.840000000000003,55.68,LCD、PDP TV
(2)數位影音光碟機,43.02,21.76,45.41,(2)DVD player
(3)攝影機,8.52,3.05,9.1300000000000008,(3)Movies camera
(4)音響,37.4,24.77,38.82,(4)Stereo
(5)鋼琴(含電子琴),9.9600000000000009,3.64,10.67,(5)Piano
(6)數位相機,58.94,35.58,61.56,(6)Digital camera
(7)電視遊樂器,11,3.12,11.89,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.27,68.180000000000007,87.18,(8)Cable TV(MOD included)
(9)家用電腦,98.03,62.17,102.06,(9)Personal computer
(10)電話機,107.27,103.8,107.66,(10)Telephone
(11)行動電話,226.16,196.78,229.46,(11)Cell phone
(12)汽車,67.84,79.08,66.58,(12)Sedan vehicle
(13)機車,143.33000000000001,162.16,141.21,(13)Motorcycle
(14)電磁爐,39.840000000000003,27.12,41.27,(14)Electro-magnetic oven
(15)冷暖氣機,204.18,161.28,209,(15)Air conditioner
(16)除濕機,35.869999999999997,13.54,38.380000000000003,(16)Dehumidifier
(17)洗衣機,99.69,99.75,99.68,(17)Washing machine
(18)烘衣機,17.02,13.35,17.43,(18)Drier
(19)空氣清淨機,11.44,2.4300000000000002,12.45,(19)Air-clean machine
(20)濾水器,33.26,23.98,34.299999999999997,(20)Water filter machine
(21)吸塵器,41.42,24.84,43.28,(21)Vacuum cleaner
(22)熱水器,103.52,102.8,103.61,(22)Geyser
(23)開飲機,54.13,58.2,53.67,(23)Hot-warm water fountain
(24)微波爐,44.61,29.53,46.3,(24)Microwave oven
(25)報紙,21.99,21.33,22.07,(25)Newspaper
(26)期刊雜誌,10.51,4.6900000000000004,11.17,(26)Magazine
