L09105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)四～五層樓,29.19,47.41,54.69,24.71,19.95,20.64,29.95,(3)Four or five stories,,(3)四～五層樓,16.95,17.41,11.24,10.1,7.34,6.13,8.2200000000000006,(3)Four or five stories,,(3)四～五層樓,6.12,0.71,8.32,11.67,47.93,31.7,26.37,(3)Four or five stories
(4)六層樓以上,21.33,34.630000000000003,31.86,27.31,24.64,12.03,22.24,"(4)Apartment, six stories or over",,(4)六層樓以上,6.61,21.09,4.03,4.68,1.6,1.79,0.3,"(4)Apartment, six stories or over",,(4)六層樓以上,3.36,1.06,3.68,1.01,18.87,31.16,12.86,"(4)Apartment, six stories or over"
4.具有自來水設備,96.37,99.68,99.95,97.15,99.35,99.64,97.6,4.Piped water equipment,,4.具有自來水設備,95.15,77.67,84.78,96.03,92.08,100,98.75,4.Piped water equipment,,4.具有自來水設備,61.22,90.5,85.89,100,100,99.66,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,52.03,43.2,28.66,62.46,48.34,59.68,50.33,(1)Self-owned,,(1)自有停車位,63.03,62.3,51.18,61.61,50.89,56.04,64.72,(1)Self-owned,,(1)自有停車位,77.83,54.23,63.35,52.62,38.54,59.89,52.64,(1)Self-owned
(2)租借停車位,12.73,27.49,29.91,9.19,8.58,5.58,10.82,(2)Rented,,(2)租借停車位,9.0299999999999994,5.45,4.1399999999999997,4.26,6.61,3.03,4.91,(2)Rented,,(2)租借停車位,5,1.2,4.07,5.26,15.72,14.12,7.4,(2)Rented
(3)無停車位,35.24,29.31,41.43,28.34,43.08,34.74,38.85,(3)None,,(3)無停車位,27.93,32.25,44.68,34.130000000000003,42.5,40.92,30.38,(3)None,,(3)無停車位,17.170000000000002,44.57,32.58,42.12,45.74,25.99,39.97,(3)None
6.每戶建坪平均數(坪),44.33,32.380000000000003,31.47,50.2,50.15,47.55,48.75,6.Space per household average (pin),,6.每戶建坪平均數(坪),50.99,56.15,57.48,51.59,53.1,52.91,48.86,6.Space per household average (pin),,6.每戶建坪平均數(坪),49.74,44.96,44.19,44.01,31.19,51,55.98,6.Space per household average (pin)
7.每戶建坪中位數(坪),38,30,30,44,45,45,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),50,50,55,50,50,50,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),49,42,40,42,30,46,50,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
