appleL0696年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 96 年,,,單位：元,2 0 0 7 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7414281,1482856,1482856,1482856,1482856,1482857,No. of households
平均每戶人數,3.38,1.93,2.94,3.65,4.07,4.32,No. of persons per household
平均每戶成年人數,2.57,1.7,2.21,2.62,3,3.32,No. of adults per household
平均每戶就業人數,1.5,0.6,1.1399999999999999,1.56,1.93,2.29,No. of persons employed per household
平均每戶所得收入者人數,1.66,1.07,1.3,1.6,1.95,2.36,No. of income recipients per household
一、所得收入總計,1108674,369598,688956,963523,1290311,2230979,A.Total receipts
1.受僱人員報酬,640733,97697,334962,533592,769200,1468213,1.Compensation of employees
(1)本業薪資,485369,78863,266883,414022,593084,1073990,(1)Full time payroll
(2)兼業薪資,37132,10404,22948,33469,32870,85966,(2)Part time payroll
(3)其他收入,118233,8430,45131,86101,143246,308256,(3)Other receipts or subsidies
2.產業主所得,160457,36920,99990,158370,213503,293500,2.Entrepreneurial income
3.財產所得收入,54538,16913,28321,38729,56107,132620,3. Property income
4.自用住宅設算租金收入,65747,36895,53856,65445,75049,97492,4.Imputed rent income
5.經常移轉收入,187030,180983,171643,167235,176289,239000,5.Current transfer receipts
(1)從私人,53986,73488,57563,43416,40734,54728,(1)From individuals
(2)從政府,42184,63488,45333,40118,33079,28902,(2)From government
(3)社會保險受益,86893,43098,66189,81313,98956,144908,(3)Benefit of social insurance
(4)從企業,2279,207,430,892,2264,7601,(4)From enterprises
(5)從國外,1689,702,2128,1495,1257,2862,(5)From abroad
6.雜項收入,168,189,185,152,162,154,6.Miscellaneous receipts
二、非消費支出,184800,57452,117828,164106,220426,364188,B.Nonconsumption expenditures
1.利息支出,18278,5392,14996,19949,22499,28553,1.Interest
2.經常移轉支出,166522,52060,102832,144157,197927,335635,2.Current transfer expenditures
(1)對私人,51717,19588,33741,43722,59894,101642,(1)To private
(2)對政府,35131,7375,16326,25134,38597,88225,(2)To government
(3)社會保險,76943,24693,51380,73649,97477,137515,(3)Social insurance
(4)對國外,2731,405,1386,1652,1959,8253,(4)To abroad
,,,,,,,
96年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 96 年,,,單位：元,2 0 0 7 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,716094,313309,530417,699698,868505,1168540,C.Consumption expenditures
1.食品費,160563,76684,128225,166358,195831,235715,1.Food
2.飲料費,6525,2907,4906,6393,7878,10539,2.Beverage
3.菸草,6212,3755,5838,6639,7453,7373,3.Tobacco
4.衣著、鞋、襪類,23431,7260,14669,21308,29065,44852,4.Clothing and footwear
5.房地租及水費,147927,85649,123455,145033,166025,219475,5.Rent and water charges
6.燃料及燈光,20465,12817,17871,21287,23759,26590,6.Fuel and light
7.家具及家庭設備,12358,3432,7255,10605,14511,25985,7.Furniture and family facilities
8.家事管理,12151,4173,7819,10197,14255,24309,8.Household operations
9.保健及醫療,102407,55184,81496,99367,122307,153682,9.Health care and medical
10.運輸交通及通訊,89256,26762,58622,85682,114452,160762,10.Transport and communications
(1)交通及通訊工具之購置,8632,1138,2778,6218,9993,23034,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,45103,12538,30082,44151,59687,79058,(2)Operation of transport equipment
(3)乘交通設備之費用,7929,3752,5988,7354,9304,13245,(3)Purchased transportation
(4)其他通訊費,22769,7905,16846,23418,29220,36457,(4)Other communications
(5)汽機車保險費支出,4822,1428,2928,4542,6248,8968,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,89680,19681,52840,87166,118323,170390,"11.Recreation ,education and culture"
(1)旅遊費用,22149,5170,10627,15698,24626,54623,(1)Traveling
(2)娛樂消遣服務,8372,4776,6924,8282,9559,12320,(2)Recreation service
(3)書報雜誌文具,3871,974,2462,3663,4996,7262,(3)Books and stationery
(4)娛樂器材及附屬品,9045,1977,4668,8028,11451,19099,(4)Recreation facilities
(5)教育與研究費,46243,6784,28160,51495,67690,77086,(5)Education and research
12.什項消費,45120,15004,27421,39663,54647,88867,12.Miscellaneous
可支配所得,923874,312145,571128,799418,1069885,1866791,Disposable income
消費支出,716094,313309,530417,699698,868505,1168540,Consumption expenditures
儲蓄,207780,-1164,40711,99720,201380,698251,Saving
所得總額,1162366,400420,733111,1017091,1349591,2311618,Current receipts
