appleL06100年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 100 年,,,單位：元,2 0 1 1 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7959828,1591966,1591966,1591966,1591966,1591964,No. of households
平均每戶人數,3.29,1.89,2.83,3.5,3.95,4.2699999999999996,No. of persons per household
平均每戶成年人數,2.59,1.68,2.2400000000000002,2.64,3.03,3.35,No. of adults per household
平均每戶就業人數,1.49,0.54,1.1100000000000001,1.58,1.92,2.29,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.06,1.29,1.64,1.98,2.4300000000000002,No. of income recipients per household
一、所得收入總計,1104265,359677,664448,958751,1320218,2218234,A.Total receipts
1.受僱人員報酬,646849,91991,316872,540208,830875,1454299,1.Compensation of employees
(1)本業薪資,480402,75010,251269,420944,625086,1029702,(1)Full time payroll
(2)兼業薪資,42558,8857,21651,32020,46386,103878,(2)Part time payroll
(3)其他收入,123888,8123,43952,87244,159402,320719,(3)Other receipts or subsidies
2.產業主所得,147071,32452,86746,150982,176160,289015,2.Entrepreneurial income
3.財產所得收入,49553,14101,23547,31451,50100,128570,3. Property income
4.自用住宅設算租金收入,66895,35799,50284,62584,79207,106602,4.Imputed rent income
5.經常移轉收入,193724,185052,186810,173374,183722,239663,5.Current transfer receipts
(1)從私人,57463,77802,65487,48219,43334,52470,(1)From individuals
(2)從政府,47620,60671,54638,44970,41991,35829,(2)From government
(3)社會保險受益,85583,46010,65478,78029,95381,143017,(3)Benefit of social insurance
(4)從企業,1650,388,769,1008,1504,4583,(4)From enterprises
(5)從國外,1408,180,439,1149,1511,3763,(5)From abroad
6.雜項收入,173,283,189,153,155,85,6.Miscellaneous receipts
二、非消費支出,196278,63325,117546,172427,237210,390880,B.Nonconsumption expenditures
1.利息支出,12891,3486,8065,13140,17444,22318,1.Interest
2.經常移轉支出,183387,59839,109481,159288,219766,368562,2.Current transfer expenditures
(1)對私人,47848,17042,28431,39707,57524,96534,(1)To private
(2)對政府,33365,7183,13502,21558,33235,91345,(2)To government
(3)社會保險,99120,34454,65859,95617,124889,174781,(3)Social insurance
(4)對國外,3055,1161,1690,2405,4118,5901,(4)To abroad
,,,,,,,
100年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 100 年,,,單位：元,2 0 1 1 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,729010,325660,522084,695209,875496,1226601,C.Consumption expenditures
1.食品及非酒精飲料,108514,59725,88246,111509,128326,154763,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9750,5482,8636,10857,11630,12143,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22623,7072,13392,20322,28177,44151,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,177787,106340,143121,171097,204420,263956,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,156995,92887,125030,149572,180668,236819,(1)Rent and water charges
(2)電費及燃料,20792,13453,18091,21525,23753,27137,(2)Power and fuel
5.家具設備及家務維護,18174,6515,10904,15472,22362,35616,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,106607,53498,80757,99237,125815,173726,6.Health
7.交通,70598,21076,42910,64901,84976,139129,7.Transport
(1)個人交通工具之購置,10984,2054,4377,6775,9008,32706,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45422,13997,29068,44727,58743,80577,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9862,3643,6812,9270,11961,17624,(3)Transport services
(4)汽、機車保險費,4330,1382,2653,4127,5264,8222,(4)Insurance of vehicles
8.通訊,24162,8724,17136,24162,30965,39825,8.Communication
9.休閒與文化,38503,11146,20486,30200,45021,85664,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),14752,2812,5308,8378,15843,41418,(1)Package holidays
(2)娛樂消遣及文化服務,10330,4923,7274,9444,11749,18260,(2)Recreational and cultural services
(3)書報雜誌文具,5690,1420,3804,5927,7567,9731,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7732,1991,4100,6451,9861,16254,(4)Recreational facilities
10.教育,37193,5642,21082,39891,51984,67369,10.Education
11.餐廳及旅館,74073,26499,50694,72712,94071,126390,11.Restaurants and hotels
12.什項消費,41026,13941,24721,34849,47748,83869,12.Miscellaneous goods and services
可支配所得,907988,296352,546903,786324,1083008,1827354,Disposable income
消費支出,729010,325660,522084,695209,875496,1226601,Consumption expenditures
儲蓄,178978,-29308,24819,91114,207512,600753,Saving
所得總額,1157895,390673,705711,1009082,1382400,2301612,Current receipts
