appleL0286年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 86 年,,,,,單位：元,1 9 9 7 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,6104309,540630,952166,1000643,1596364,1144874,494014,220578,82359,72681,No. of households
平均每戶人數,3.84,1,2,3,4,5,6,7,8,10.09,No. of persons per household
平均每戶成年人數,2.6,0.99,1.91,2.4300000000000002,2.5499999999999998,2.94,3.72,4.34,5.1100000000000003,6.23,No. of adults per household
平均每戶就業人數,1.69,0.53,1.01,1.58,1.82,2,2.39,2.65,3.37,3.97,No. of persons employed per household
平均每戶所得收入者人數,1.71,1,1.24,1.59,1.76,1.88,2.2400000000000002,2.42,2.98,3.52,No. of income recipients per household
一、所得收入總計,1054049,430285,705296,1006167,1197451,1214325,1308857,1385967,1519846,1980513,A.Total receipts
1.受僱人員報酬,609840,210671,327426,602920,753494,694880,761231,746509,884444,1124340,1.Compensation of employees
(1)本業薪資,475677,150675,233818,461479,591790,549738,612214,603112,737047,929224,(1)Full time payroll
(2)兼業薪資,25953,28588,39906,35159,18273,19917,19927,27109,12492,13285,(2)Part time payroll
(3)其他收入,108210,31408,53701,106282,143431,125226,129091,116288,134904,181831,(3)Other receipts or subsidies
2.產業主所得,189659,37367,108088,154893,205670,260205,260504,309583,322312,411050,2.Entrepreneurial income
3.財產所得收入,64651,36144,63009,65925,64719,72566,66715,75786,57540,114760,3. Property income
4.自用住宅設算租金收入,64449,35903,54489,63963,70540,70671,71174,76646,70001,93109,4.Imputed rent income
5.經常移轉收入,125034,110073,151506,118239,102571,115638,148786,177007,185292,236967,5.Current transfer receipts
(1)從私人,39824,52037,69922,41067,26536,28847,33254,40569,39434,45175,(1)From individuals
(2)從政府,28132,31555,33705,24684,20765,25088,35382,48712,49313,51180,(2)From government
(3)社會保險受益,55962,25574,46422,52069,53461,60744,79435,87112,96301,140392,(3)Benefit of social insurance
(4)從企業,629,38,534,138,1273,789,230,404,244,220,(4)From enterprises
(5)從國外,487,870,924,281,537,171,484,209,0,0,(5)From abroad
6.雜項收入,416,128,778,227,457,364,446,435,257,287,6.Miscellaneous receipts
二、非消費支出,190622,74199,120037,185498,223834,222733,229708,235491,247820,349899,B.Nonconsumption expenditures
1.利息支出,43332,18321,27086,45903,54047,50974,45471,36554,36346,65070,1.Interest
2.經常移轉支出,147289,55877,92951,139596,169787,171759,184237,198937,211475,284829,2.Current transfer expenditures
(1)對私人,48991,26245,36765,50343,56081,53077,53356,54971,61934,77173,(1)To private
(2)對政府,30439,10254,18951,30308,37766,35321,33300,36499,33355,53932,(2)To government
(3)社會保險,65621,16582,32104,55211,75289,82812,94726,105461,116159,153690,(3)Social insurance
(4)對國外,2238,2797,5132,3733,651,549,2856,2006,27,34,(4)To abroad
,,,,,,,,,,,
86年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分(續),,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household (Cont.),,,
民 國 86 年,,,,,單位：元,1 9 9 7 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
三、消費支出,634477,257748,424650,586684,716414,752591,789786,866321,863910,1164137,C.Consumption expenditures
1.食品費,151355,50420,88357,130058,166839,188460,210166,237073,246121,328831,1.Food
2.飲料費,6849,3153,4241,6110,7535,8215,8863,9743,11359,14547,2.Beverage
3.菸草,5103,2524,3581,4610,5109,5700,7055,7920,11226,12726,3.Tobacco
4.衣著、鞋、襪類,28540,9682,16373,25551,32602,34560,37496,42351,46744,61854,4.Clothing and footwear
