appleL05101年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 101 年,,,,單位：元,2 0 1 2 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8077323,889740,1354483,788576,3148846,103655,1192850,599174,No. of households
平均每戶人數,3.23,1,2,2.5,3.79,2.96,5.38,3.02,No. of persons per household
平均每戶成年人數,2.5499999999999998,1,2,2.0299999999999998,2.85,1.87,3.87,2.72,No. of adults per household
平均每戶就業人數,1.46,0.48,0.76,1.24,1.84,0.7,2.16,1.51,No. of persons employed per household
平均每戶所得收入者人數,1.68,1,1.27,1.46,1.87,1.27,2.2599999999999998,1.76,No. of income recipients per household
一、所得收入總計,1122379,460846,839889,813533,1396409,691549,1450728,1130523,A.Total receipts
1.受僱人員報酬,647332,194387,334390,491364,891583,218525,844769,630134,1.Compensation of employees
(1)本業薪資,480144,141958,193174,390659,667701,142755,651243,480891,(1)Full time payroll
(2)兼業薪資,42664,18778,81585,18814,42005,47364,35772,37917,(2)Part time payroll
(3)其他收入,124524,33652,59631,81891,181877,28406,157755,111327,(3)Other receipts or subsidies
2.產業主所得,148332,46519,112877,72389,198676,57544,195619,136612,2.Entrepreneurial income
3.財產所得收入,47446,24015,76549,21255,49752,48864,41803,49782,3. Property income
4.自用住宅設算租金收入,67398,42910,65902,51454,77354,55813,73549,65563,4.Imputed rent income
5.經常移轉收入,211718,152841,250006,176901,178893,310430,294853,248334,5.Current transfer receipts
(1)從私人,57935,74472,89613,57109,32505,163256,57062,80016,(1)From individuals
(2)從政府,50284,37362,56643,48540,40015,59642,77566,55426,(2)From government
(3)社會保險受益,101259,40386,101054,70251,105102,86508,157143,104017,(3)Benefit of social insurance
(4)從企業,1434,335,2138,1000,1263,103,1941,2163,(4)From enterprises
(5)從國外,807,285,558,0,9,920,1142,6711,(5)From abroad
6.雜項收入,154,174,165,169,150,372,134,98,6.Miscellaneous receipts
二、非消費支出,198796,76055,134744,128723,266482,85071,243634,192773,B.Nonconsumption expenditures
1.利息支出,12149,6638,7413,9861,17158,3740,11359,10758,1.Interest
2.經常移轉支出,186646,69417,127331,118862,249324,81332,232275,182016,2.Current transfer expenditures
(1)對私人,48192,28261,44825,24586,62392,25884,44499,53059,(1)To private
(2)對政府,33848,12728,27026,17819,47236,12415,35595,31610,(2)To government
(3)社會保險,102423,27371,51155,75435,137358,42917,151070,95135,(3)Social insurance
